rule_name,target,subperiod,n_events,event_frequency,precision,baseline_precision,precision_lift,avg_forward_return,baseline_avg_forward_return,return_lift
rule_int_mom13_x_lowvol13__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2010_2015,712,0.06652962063165764,0.24578651685393257,0.2632218276957578,-0.01743531084182523,0.005069068058083524,0.003483188124790297,0.0015858799332932267
rule_int_mom13_x_lowvol13__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2016_2020,572,0.06261631089217295,0.1853146853146853,0.2571428571428571,-0.0718281718281718,0.0055896131541867166,0.006819623226853916,-0.0012300100726671996
rule_int_mom13_x_lowvol13__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2021_2026,348,0.0365546218487395,0.14942528735632185,0.2571428571428571,-0.10771756978653527,-0.0007065064900942291,0.006374794816463079,-0.007081301306557308
rule_int_mom13_x_lowvol13__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2010_2015,712,0.06652962063165764,0.20365168539325842,0.2632218276957578,-0.05957014230249938,0.007382969791926118,0.007222038265470979,0.00016093152645513947
rule_int_mom13_x_lowvol13__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2016_2020,572,0.06261631089217295,0.1486013986013986,0.2571428571428571,-0.10854145854145852,0.00872152610264815,0.013835204278374246,-0.005113678175726095
rule_int_mom13_x_lowvol13__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2021_2026,346,0.036886993603411515,0.17341040462427745,0.2571428571428571,-0.08373245251857966,4.194275738902563e-05,0.01297451572413913,-0.012932572966750103
rule_int_mom13_x_lowvol13__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2010_2015,712,0.06657316503038803,0.3707865168539326,0.26339410939691443,0.10739240745701817,0.005069068058083524,0.0035440503000185226,0.001525017758065001
rule_int_mom13_x_lowvol13__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2016_2020,572,0.06261631089217295,0.3548951048951049,0.2571428571428571,0.09775224775224778,0.0055896131541867166,0.006819623226853916,-0.0012300100726671996
rule_int_mom13_x_lowvol13__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2021_2026,348,0.0365546218487395,0.2614942528735632,0.2571428571428571,0.004351395730706087,-0.0007065064900942291,0.006374794816463079,-0.007081301306557308
rule_int_mom13_x_lowvol13__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2010_2015,712,0.06657316503038803,0.3455056179775281,0.26339410939691443,0.08211150858061367,0.007382969791926118,0.007314297407118801,6.867238480731674e-05
rule_int_mom13_x_lowvol13__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2016_2020,572,0.06261631089217295,0.3409090909090909,0.2571428571428571,0.08376623376623377,0.00872152610264815,0.013835204278374246,-0.005113678175726095
rule_int_mom13_x_lowvol13__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2021_2026,346,0.036886993603411515,0.2774566473988439,0.2571428571428571,0.020313790255986786,4.194275738902563e-05,0.01297451572413913,-0.012932572966750103
rule_int_mom26_x_lowvol26__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2010_2015,586,0.0547561203513362,0.22013651877133106,0.2632218276957578,-0.043085308924426746,0.004589406446403056,0.003483188124790297,0.001106218321612759
rule_int_mom26_x_lowvol26__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2016_2020,586,0.06414887794198139,0.13651877133105803,0.2571428571428571,-0.12062408581179909,0.0068593475618776096,0.006819623226853916,3.9724335023693345e-05
rule_int_mom26_x_lowvol26__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2021_2026,220,0.023109243697478993,0.19090909090909092,0.2571428571428571,-0.0662337662337662,-0.0005009639732278784,0.006374794816463079,-0.006875758789690958
rule_int_mom26_x_lowvol26__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2010_2015,586,0.0547561203513362,0.18430034129692832,0.2632218276957578,-0.07892148639882948,0.006682305613694878,0.007222038265470979,-0.0005397326517761003
rule_int_mom26_x_lowvol26__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2016_2020,586,0.06414887794198139,0.1296928327645051,0.2571428571428571,-0.127450024378352,0.012798963661952791,0.013835204278374246,-0.0010362406164214546
rule_int_mom26_x_lowvol26__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2021_2026,220,0.023454157782515993,0.22727272727272727,0.2571428571428571,-0.029870129870129852,0.005002065626680706,0.01297451572413913,-0.007972450097458424
rule_int_mom26_x_lowvol26__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2010_2015,586,0.05479195885928004,0.3532423208191126,0.26339410939691443,0.08984821142219818,0.004589406446403056,0.0035440503000185226,0.0010453561463845333
rule_int_mom26_x_lowvol26__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2016_2020,586,0.06414887794198139,0.3447098976109215,0.2571428571428571,0.0875670404680644,0.0068593475618776096,0.006819623226853916,3.9724335023693345e-05
