rule_name,interaction_feature,features_used,rule_formula,economic_interpretation,target,model_source,oos_metric_lift,event_frequency,stability,redundancy_warning,next_recommended_phase,mean_abs_model_importance,subperiods_with_events,positive_return_lift_share,positive_precision_lift_share,min_subperiod_events
rule_int_mom13_x_lowvol13__forward_top_quantile_4w,int_mom13_x_lowvol13,z_mom_13w|z_vol_13w,z_mom_13w > 0.5 and z_vol_13w < -0.5,high 13w momentum with unusually low realized volatility,target_etf_forward_top_quantile_4w,explicit_interaction_feature plus nonlinear model importance,-0.0014391282053133787,0.05559151139421603,0.16666666666666666,,,0.03147288199157972,3,0.3333333333333333,0.0,348
rule_int_mom13_x_lowvol13__forward_top_quantile_8w,int_mom13_x_lowvol13,z_mom_13w|z_vol_13w,z_mom_13w > 0.5 and z_vol_13w < -0.5,high 13w momentum with unusually low realized volatility,target_etf_forward_top_quantile_8w,explicit_interaction_feature plus nonlinear model importance,-0.004842106385911919,0.05578943765615908,0.16666666666666666,,,0.037427356033321285,3,0.3333333333333333,0.0,346
rule_int_mom13_x_lowvol13__forward_risk_adjusted_top_quantile_4w,int_mom13_x_lowvol13,z_mom_13w|z_vol_13w,z_mom_13w > 0.5 and z_vol_13w < -0.5,high 13w momentum with unusually low realized volatility,target_etf_forward_risk_adjusted_top_quantile_4w,explicit_interaction_feature plus nonlinear model importance,-0.0014617773449502915,0.05560477001703577,0.6666666666666666,,,0.061786712582137526,3,0.3333333333333333,1.0,348
rule_int_mom13_x_lowvol13__forward_risk_adjusted_top_quantile_8w,int_mom13_x_lowvol13,z_mom_13w|z_vol_13w,z_mom_13w > 0.5 and z_vol_13w < -0.5,high 13w momentum with unusually low realized volatility,target_etf_forward_risk_adjusted_top_quantile_8w,explicit_interaction_feature plus nonlinear model importance,-0.004876824390546139,0.055802807257788425,0.6666666666666666,,,0.039099412489890586,3,0.3333333333333333,1.0,346
rule_int_mom26_x_lowvol26__forward_top_quantile_4w,int_mom26_x_lowvol26,z_mom_26w|z_vol_26w,z_mom_26w > 0.5 and z_vol_26w < -0.5,high 26w momentum with low medium-horizon volatility,target_etf_forward_top_quantile_4w,explicit_interaction_feature plus nonlinear model importance,-0.0007185989715762144,0.04741628913036073,0.3333333333333333,,,0.019942367619813224,3,0.6666666666666666,0.0,220
rule_int_mom26_x_lowvol26__forward_top_quantile_8w,int_mom26_x_lowvol26,z_mom_26w|z_vol_26w,z_mom_26w > 0.5 and z_vol_26w < -0.5,high 26w momentum with low medium-horizon volatility,target_etf_forward_top_quantile_8w,explicit_interaction_feature plus nonlinear model importance,-0.002144800459803928,0.047643495225382484,0.0,,,0.03073177756515109,3,0.0,0.0,220
rule_int_mom26_x_lowvol26__forward_risk_adjusted_top_quantile_4w,int_mom26_x_lowvol26,z_mom_26w|z_vol_26w,z_mom_26w > 0.5 and z_vol_26w < -0.5,high 26w momentum with low medium-horizon volatility,target_etf_forward_risk_adjusted_top_quantile_4w,explicit_interaction_feature plus nonlinear model importance,-0.0007412481112131272,0.04742759795570699,0.6666666666666666,,,0.016567193984389526,3,0.6666666666666666,0.6666666666666666,220
rule_int_mom26_x_lowvol26__forward_risk_adjusted_top_quantile_8w,int_mom26_x_lowvol26,z_mom_26w|z_vol_26w,z_mom_26w > 0.5 and z_vol_26w < -0.5,high 26w momentum with low medium-horizon volatility,target_etf_forward_risk_adjusted_top_quantile_8w,explicit_interaction_feature plus nonlinear model importance,-0.0021795184644381477,0.04765491270112975,0.5,,,0.02135875632087858,3,0.0,1.0,220
rule_int_mom13_x_drawdown_repair__forward_top_quantile_4w,int_mom13_x_drawdown_repair,z_mom_13w|z_drawdown_26w,z_mom_13w > 0.5 and z_drawdown_26w > 0.5,positive momentum after relatively repaired drawdown,target_etf_forward_top_quantile_4w,explicit_interaction_feature plus nonlinear model importance,-0.003324232542411771,0.09425350001703171,0.3333333333333333,,,0.02160077456924084,3,0.3333333333333333,0.3333333333333333,631
rule_int_mom13_x_drawdown_repair__forward_top_quantile_8w,int_mom13_x_drawdown_repair,z_mom_13w|z_drawdown_26w,z_mom_13w > 0.5 and z_drawdown_26w > 0.5,positive momentum after relatively repaired drawdown,target_etf_forward_top_quantile_8w,explicit_interaction_feature plus nonlinear model importance,-0.005628123760068475,0.0946709107711264,0.16666666666666666,,,0.01694964777873529,3,0.3333333333333333,0.0,630
