target,model,feature_family,mean_abs_importance,n_refits,feature_count
target_etf_forward_risk_adjusted_top_quantile_4w,decision_tree_depth3,drawdown_stress,0.3428565624735971,18,1
target_etf_forward_risk_adjusted_top_quantile_4w,decision_tree_depth3,style_layer1,0.21568352944730904,22,4
target_etf_forward_risk_adjusted_top_quantile_4w,decision_tree_depth3,volatility_quality,0.19349741464637127,31,6
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_interactions,volatility_quality,0.15204146382505776,33,11
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_base,volatility_quality,0.13184094052122425,33,11
target_etf_forward_risk_adjusted_top_quantile_4w,decision_tree_depth3,explicit_interaction,0.11028726467614826,30,7
target_etf_forward_risk_adjusted_top_quantile_4w,decision_tree_depth3,relative_strength_leadlag,0.0780559054185649,11,6
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_interactions,style_layer1,0.0761351624146901,33,9
target_etf_forward_risk_adjusted_top_quantile_4w,decision_tree_depth3,trend_breadth,0.07306405140138664,22,7
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_base,style_layer1,0.07170558495910208,33,9
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_interactions,momentum,0.06087847454077141,33,11
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_interactions,drawdown_stress,0.05918443794593663,33,3
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_interactions,explicit_interaction,0.058176626104673564,33,22
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_base,momentum,0.05611134990097913,33,11
target_etf_forward_risk_adjusted_top_quantile_4w,random_forest_depth4,drawdown_stress,0.0531079677755831,33,2
target_etf_forward_risk_adjusted_top_quantile_4w,decision_tree_depth3,momentum,0.05058925017510435,4,2
target_etf_forward_risk_adjusted_top_quantile_4w,random_forest_depth4,volatility_quality,0.04131444485921658,33,8
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_interactions,trend_breadth,0.03246498482032641,33,24
target_etf_forward_risk_adjusted_top_quantile_4w,random_forest_depth4,style_layer1,0.022530741611244687,33,7
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_base,drawdown_stress,0.021005615214890302,33,3
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_interactions,relative_strength_leadlag,0.019658911710746803,33,26
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_base,trend_breadth,0.015998183756820435,33,33
target_etf_forward_risk_adjusted_top_quantile_4w,random_forest_depth4,explicit_interaction,0.011474406483075444,33,18
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_base,relative_strength_leadlag,0.009363960739237986,33,26
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_interactions,regime_state_context,0.008420606298532298,5,1
target_etf_forward_risk_adjusted_top_quantile_4w,random_forest_depth4,trend_breadth,0.008296004339285974,33,18
target_etf_forward_risk_adjusted_top_quantile_4w,random_forest_depth4,momentum,0.007328276306917484,33,11
target_etf_forward_risk_adjusted_top_quantile_4w,random_forest_depth4,relative_strength_leadlag,0.005902197834488458,33,27
target_etf_forward_risk_adjusted_top_quantile_8w,decision_tree_depth3,drawdown_stress,0.23987972153952267,19,1
target_etf_forward_risk_adjusted_top_quantile_8w,decision_tree_depth3,volatility_quality,0.19821226984257798,33,6
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,volatility_quality,0.18499859986683156,33,11
target_etf_forward_risk_adjusted_top_quantile_8w,decision_tree_depth3,style_layer1,0.17811224527234876,27,5
target_etf_forward_risk_adjusted_top_quantile_8w,decision_tree_depth3,explicit_interaction,0.17441013197900224,25,6
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_base,volatility_quality,0.16205816943898246,33,11
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,style_layer1,0.10127497509143014,33,9
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_base,style_layer1,0.09854294548857408,33,9
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,drawdown_stress,0.09737890450529242,33,3
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,explicit_interaction,0.07097082676390297,33,22
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,momentum,0.07039890840639984,33,11
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_base,momentum,0.06616771835869299,33,11
target_etf_forward_risk_adjusted_top_quantile_8w,decision_tree_depth3,trend_breadth,0.05993743681011762,24,11
target_etf_forward_risk_adjusted_top_quantile_8w,decision_tree_depth3,relative_strength_leadlag,0.05321729588132298,5,3
target_etf_forward_risk_adjusted_top_quantile_8w,random_forest_depth4,drawdown_stress,0.05106686455586324,33,3
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_base,drawdown_stress,0.047922709332487476,33,3
target_etf_forward_risk_adjusted_top_quantile_8w,random_forest_depth4,volatility_quality,0.044120661503750706,33,8
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,trend_breadth,0.04170795276238346,33,23
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,relative_strength_leadlag,0.030424329452409582,33,24
target_etf_forward_risk_adjusted_top_quantile_8w,random_forest_depth4,style_layer1,0.02852063595913117,33,7
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_base,trend_breadth,0.023401575547202527,33,32
target_etf_forward_risk_adjusted_top_quantile_8w,decision_tree_depth3,momentum,0.02204197464204226,2,2
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,regime_state_context,0.017765798114922883,8,1
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_base,relative_strength_leadlag,0.014157843050312886,33,27
target_etf_forward_risk_adjusted_top_quantile_8w,random_forest_depth4,explicit_interaction,0.011779899560713384,33,19
target_etf_forward_risk_adjusted_top_quantile_8w,random_forest_depth4,trend_breadth,0.007533841367277288,33,22
target_etf_forward_risk_adjusted_top_quantile_8w,random_forest_depth4,momentum,0.005256517382512253,33,11
target_etf_forward_risk_adjusted_top_quantile_8w,random_forest_depth4,relative_strength_leadlag,0.004313987151104236,33,27
target_etf_forward_top_quantile_4w,decision_tree_depth3,volatility_quality,0.3034143305492101,33,6
target_etf_forward_top_quantile_4w,decision_tree_depth3,relative_strength_leadlag,0.10348873340148639,28,7
target_etf_forward_top_quantile_4w,decision_tree_depth3,momentum,0.09655739458631779,10,4
target_etf_forward_top_quantile_4w,logistic_l2_interactions,volatility_quality,0.09320922640530135,33,10
target_etf_forward_top_quantile_4w,logistic_l2_interactions,style_layer1,0.09242745484988243,33,9
target_etf_forward_top_quantile_4w,logistic_l2_base,volatility_quality,0.08560048587354316,33,11
target_etf_forward_top_quantile_4w,logistic_l2_interactions,drawdown_stress,0.08471976445786683,33,3
target_etf_forward_top_quantile_4w,decision_tree_depth3,trend_breadth,0.0816229758592638,30,13
target_etf_forward_top_quantile_4w,decision_tree_depth3,explicit_interaction,0.07740180096764859,14,6
target_etf_forward_top_quantile_4w,logistic_l2_base,style_layer1,0.07677126663580117,33,9
target_etf_forward_top_quantile_4w,decision_tree_depth3,style_layer1,0.061992021266370254,12,4
target_etf_forward_top_quantile_4w,logistic_l2_interactions,explicit_interaction,0.0575803664572067,33,22
target_etf_forward_top_quantile_4w,decision_tree_depth3,drawdown_stress,0.05626839590949829,8,2
target_etf_forward_top_quantile_4w,logistic_l2_interactions,momentum,0.053866223616653865,33,11
target_etf_forward_top_quantile_4w,logistic_l2_base,momentum,0.05102252442184932,33,11
target_etf_forward_top_quantile_4w,logistic_l2_base,drawdown_stress,0.04811243828874454,33,3
target_etf_forward_top_quantile_4w,random_forest_depth4,volatility_quality,0.04481964694194457,33,10
target_etf_forward_top_quantile_4w,random_forest_depth4,drawdown_stress,0.03844979850891297,33,2
target_etf_forward_top_quantile_4w,logistic_l2_interactions,relative_strength_leadlag,0.02619614275600252,33,22
