split_id,train_start_date,train_end_date,test_start_date,test_end_date,n_train_dates,n_test_dates
0,2005-01-07,2009-12-25,2010-01-01,2010-06-25,260,26
1,2005-01-07,2010-06-25,2010-07-02,2010-12-24,286,26
2,2005-01-07,2010-12-24,2010-12-31,2011-06-24,312,26
3,2005-01-07,2011-06-24,2011-07-01,2011-12-23,338,26
4,2005-01-07,2011-12-23,2011-12-30,2012-06-22,364,26
5,2005-01-07,2012-06-22,2012-06-29,2012-12-21,390,26
6,2005-01-07,2012-12-21,2012-12-28,2013-06-21,416,26
7,2005-01-07,2013-06-21,2013-06-28,2013-12-20,442,26
8,2005-01-07,2013-12-20,2013-12-27,2014-06-20,468,26
9,2005-01-07,2014-06-20,2014-06-27,2014-12-19,494,26
10,2005-01-07,2014-12-19,2014-12-26,2015-06-19,520,26
11,2005-01-07,2015-06-19,2015-06-26,2015-12-18,546,26
12,2005-01-07,2015-12-18,2015-12-25,2016-06-17,572,26
13,2005-01-07,2016-06-17,2016-06-24,2016-12-16,598,26
14,2005-01-07,2016-12-16,2016-12-23,2017-06-16,624,26
15,2005-01-07,2017-06-16,2017-06-23,2017-12-15,650,26
16,2005-01-07,2017-12-15,2017-12-22,2018-06-15,676,26
17,2005-01-07,2018-06-15,2018-06-22,2018-12-14,702,26
18,2005-01-07,2018-12-14,2018-12-21,2019-06-14,728,26
19,2005-01-07,2019-06-14,2019-06-21,2019-12-13,754,26
20,2005-01-07,2019-12-13,2019-12-20,2020-06-12,780,26
21,2005-01-07,2020-06-12,2020-06-19,2020-12-11,806,26
22,2005-01-07,2020-12-11,2020-12-18,2021-06-11,832,26
23,2005-01-07,2021-06-11,2021-06-18,2021-12-10,858,26
24,2005-01-07,2021-12-10,2021-12-17,2022-06-10,884,26
25,2005-01-07,2022-06-10,2022-06-17,2022-12-09,910,26
26,2005-01-07,2022-12-09,2022-12-16,2023-06-09,936,26
27,2005-01-07,2023-06-09,2023-06-16,2023-12-08,962,26
28,2005-01-07,2023-12-08,2023-12-15,2024-06-07,988,26
29,2005-01-07,2024-06-07,2024-06-14,2024-12-06,1014,26
30,2005-01-07,2024-12-06,2024-12-13,2025-06-06,1040,26
31,2005-01-07,2025-06-06,2025-06-13,2025-12-05,1066,26
32,2005-01-07,2025-12-05,2025-12-12,2026-04-10,1092,18
