rule_name,target,incrementality_flag,max_abs_correlation,max_corr_comparison,max_corr_comparison_type,max_event_overlap,max_overlap_comparison,event_frequency,n_events,return_lift,precision_lift,positive_subperiod_return_lift_share,tradeable_actionable
rule_int_mom13_x_lowvol13__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,INSUFFICIENT_EVIDENCE,0.2315049432040289,z_l1_quality_quality_score_tradable,volatility_quality,0.10916747651441529,state_lag1_stressed_panic,0.05559151139421603,1632,-0.0014391282053133787,-0.05531480867375055,0.3333333333333333,True
rule_int_mom13_x_lowvol13__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,INSUFFICIENT_EVIDENCE,0.2315049432040289,z_l1_quality_quality_score_tradable,volatility_quality,0.10916747651441529,state_lag1_stressed_panic,0.05578943765615908,1630,-0.004842106385911919,-0.0814554346983887,0.3333333333333333,True
rule_int_mom13_x_lowvol13__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,INSUFFICIENT_EVIDENCE,0.2315049432040289,z_l1_quality_quality_score_tradable,volatility_quality,0.10916747651441529,state_lag1_stressed_panic,0.05560477001703577,1632,-0.0014617773449502915,0.08249098106022651,0.3333333333333333,True
rule_int_mom13_x_lowvol13__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,INSUFFICIENT_EVIDENCE,0.2315049432040289,z_l1_quality_quality_score_tradable,volatility_quality,0.10916747651441529,state_lag1_stressed_panic,0.055802807257788425,1630,-0.004876824390546139,0.07001615128863758,0.3333333333333333,True
rule_int_mom26_x_lowvol26__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,INSUFFICIENT_EVIDENCE,0.2510441862640233,z_l1_quality_quality_score_tradable,volatility_quality,0.10135022503750625,state_lag1_stressed_panic,0.04741628913036073,1392,-0.0007185989715762144,-0.07904283436678639,0.6666666666666666,True
rule_int_mom26_x_lowvol26__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,INSUFFICIENT_EVIDENCE,0.2510441862640233,z_l1_quality_quality_score_tradable,volatility_quality,0.10135022503750625,state_lag1_stressed_panic,0.047643495225382484,1392,-0.002144800459803928,-0.09126609685197448,0.0,True
rule_int_mom26_x_lowvol26__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,INSUFFICIENT_EVIDENCE,0.2510441862640233,z_l1_quality_quality_score_tradable,volatility_quality,0.10135022503750625,state_lag1_stressed_panic,0.04742759795570699,1392,-0.0007412481112131272,0.0746309404922752,0.6666666666666666,True
rule_int_mom26_x_lowvol26__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,INSUFFICIENT_EVIDENCE,0.2510441862640233,z_l1_quality_quality_score_tradable,volatility_quality,0.10135022503750625,state_lag1_stressed_panic,0.04765491270112975,1392,-0.0021795184644381477,0.08826944795318875,0.0,True
rule_int_mom13_x_drawdown_repair__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,INSUFFICIENT_EVIDENCE,0.24622058850753034,z_l1_breadth_confirmation_breadth_confirmed_momentum_score_tradable,momentum,0.11470834496232207,state_lag1_stressed_panic,0.09425350001703171,2767,-0.003324232542411771,-0.02806149227671831,0.3333333333333333,True
rule_int_mom13_x_drawdown_repair__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,INSUFFICIENT_EVIDENCE,0.24622058850753034,z_l1_breadth_confirmation_breadth_confirmed_momentum_score_tradable,momentum,0.11470834496232207,state_lag1_stressed_panic,0.0946709107711264,2766,-0.005628123760068475,-0.046065134426462734,0.3333333333333333,True
