target,feature,mean_importance,mean_abs_importance,sign_stability,n_models,n_refits,interaction_source
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__z_l1_carry_carry_yield_trailing_52w_tradable,453.0,453.0,,,29,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_tradable__PAIR__z_downside_vol_13w,399.0,399.0,,,32,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__z_trend_consistency_13w,327.0,327.0,,,27,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__z_drawdown_26w,321.0,321.0,,,27,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__int_mom13_x_lowvol13,313.0,313.0,,,24,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__z_mom_52w,308.0,308.0,,,26,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__z_l1_carry_carry_score_asset_class_neutral_tradable,287.0,287.0,,,27,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__z_vol_13w,272.0,272.0,,,29,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__z_trend_consistency_13w,267.0,267.0,,,29,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__int_mom26_x_lowvol26,252.0,252.0,,,26,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__z_drawdown_26w,246.0,246.0,,,26,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_quality_quality_score_tradable__PAIR__z_drawdown_26w,244.0,244.0,,,31,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__z_l1_quality_quality_score_tradable,241.0,241.0,,,29,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__int_trend_consistency_x_lowdownsidevol,225.0,225.0,,,26,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__z_l1_carry_carry_score_tradable,216.0,216.0,,,27,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_mom_52w__PAIR__int_carry_x_lowvol,215.0,215.0,,,24,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_quality_quality_score_asset_class_neutral_tradable__PAIR__z_drawdown_26w,213.0,213.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_quality_quality_score_tradable__PAIR__int_carry_x_lowvol,213.0,213.0,,,31,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_rel_strength_SPY_13w__PAIR__z_drawdown_26w,213.0,213.0,,,26,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_rel_strength_HYG_13w__PAIR__z_l1_quality_quality_score_tradable,212.0,212.0,,,22,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_carry_carry_yield_trailing_52w_tradable__PAIR__z_downside_vol_13w,208.0,208.0,,,25,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_tradable__PAIR__ooo3_leadlag_EFA_minus_SPY_13w_signal__percentile,206.0,206.0,,,25,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_multi_horizon_mom_multi_mom_equal_score_tradable__PAIR__z_downside_vol_26w,203.0,203.0,,,14,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_tradable__PAIR__z_vol_13w,202.0,202.0,,,30,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_tradable__PAIR__int_quality_x_highvol,200.0,200.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__z_l1_multi_horizon_mom_multi_mom_invvol_score_tradable,197.0,197.0,,,17,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__z_mom_52w,196.0,196.0,,,29,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_carry_carry_yield_trailing_52w_tradable__PAIR__int_quality_x_highvol,194.0,194.0,,,25,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__z_l1_quality_quality_score_asset_class_neutral_tradable,189.0,189.0,,,28,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__z_downside_vol_13w,185.0,185.0,,,33,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_tradable__PAIR__z_l1_carry_carry_score_tradable,182.0,182.0,,,24,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__int_bab_x_highvol,181.0,181.0,,,21,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__z_l1_bab_bab_score_tradable,180.0,180.0,,,29,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__z_downside_vol_13w,179.0,179.0,,,28,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_tradable__PAIR__ooo3_market_trend_positive_signal__strength_scaled_score,175.0,175.0,,,28,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_downside_vol_26w__PAIR__z_l1_carry_carry_yield_trailing_52w_tradable,173.0,173.0,,,31,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_drawdown_26w__PAIR__z_mom_26w,173.0,173.0,,,32,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_tradable__PAIR__z_vol_26w,173.0,173.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_asset_class_neutral_tradable__PAIR__int_real_asset_strength_x_stress,172.0,172.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_tradable__PAIR__ooo3_breadth_ret13_positive_x_recovery_confirmed_signal__percentile,171.0,171.0,,,29,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_quality_quality_score_tradable__PAIR__z_l1_carry_carry_yield_trailing_52w_tradable,168.0,168.0,,,26,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__ooo3_market_trend_positive_signal__zscore,165.0,165.0,,,25,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__int_mom13_x_drawdown_repair,162.0,162.0,,,21,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_carry_carry_yield_trailing_52w_tradable__PAIR__z_vol_26w,161.0,161.0,,,20,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_rel_strength_HYG_13w__PAIR__int_trend_consistency_x_lowdownsidevol,159.0,159.0,,,20,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_carry_carry_score_asset_class_neutral_tradable__PAIR__z_vol_13w,157.0,157.0,,,25,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_carry_carry_yield_trailing_52w_tradable__PAIR__z_drawdown_26w,157.0,157.0,,,20,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_carry_carry_yield_trailing_52w_tradable__PAIR__int_carry_x_lowvol,156.0,156.0,,,20,tree_path_pair
