bucket,state,n_weeks,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,avg_bucket_weight
offense,calm_trend,295,0.03797306916118669,0.0980482039304162,0.38728979868041014,-0.1762415631337576,0.21546035161051783,-0.03382930275953888,0.4860551496231372
offense,neutral_healthy_proxy,293,0.09960572488456876,0.08997211754537861,1.107073253381319,-0.08996278897165122,1.1071880498942313,-0.028934757863426197,0.4253970555563971
offense,neutral_mixed,200,0.1382767359670639,0.09520440271333556,1.452419552312312,-0.09093253331967721,1.5206519704113612,-0.030138047832930302,0.34552910137255316
offense,recovery_confirmed,44,0.032922473259670446,0.07180670809459634,0.4584874329052825,-0.05642740078083874,0.5834483390000492,-0.021504900314444103,0.42720297040177857
offense,recovery_fragile,49,0.08976207227589421,0.06583030713083518,1.3635371941603671,-0.03326564275305799,2.698341737817247,-0.018144154708697416,0.45843794814584216
offense,stressed_panic,229,0.07187544959704853,0.14307052205635046,0.5023777684178667,-0.17628936791885408,0.40771290092850504,-0.044181445693957204,0.2419112275012731
defense,calm_trend,295,0.05539727981802929,0.09742605142660618,0.5686084882518475,-0.12282870350243613,0.4510124933210792,-0.033209969257160486,0.16945186108466728
defense,neutral_healthy_proxy,293,0.10325436480363367,0.09184872092615605,1.124178581503029,-0.08965745916255596,1.1516539255972609,-0.02913106880065555,0.15053865180273343
defense,neutral_mixed,200,0.15728363357050645,0.11672106284522779,1.3475171467472384,-0.1011121584601935,1.5555363070646633,-0.03571731108043641,0.11154105320324462
defense,recovery_confirmed,44,0.031958966102353374,0.07882111273176139,0.405462001166032,-0.05065479102536585,0.6309169469547239,-0.02556665234349657,0.17788775316154726
defense,recovery_fragile,49,0.07708444380442232,0.0872805465086326,0.883180123039195,-0.047448411282799974,1.624594833006883,-0.0224557574216276,0.1390698256782358
defense,stressed_panic,229,-0.04714153114159367,0.1841951989024094,-0.2559324641603187,-0.3943720179318103,-0.11953568964861186,-0.06500287536746918,0.07616459990740157
composite,calm_trend,295,0.03433778747443121,0.09290658269570803,0.36959477442944955,-0.19976875044281694,0.17188768212403807,-0.03122195560092348,0.31097656350895186
composite,neutral_healthy_proxy,293,0.09716978328610026,0.07503592408744177,1.2949768323352053,-0.09286193083183969,1.0463898652081822,-0.02441025077763588,0.2748308920328668
composite,neutral_mixed,200,0.13007904477614568,0.08334912954796152,1.560652708452035,-0.07847896006059829,1.6575021467626978,-0.02612180888522293,0.21126220643528348
composite,recovery_confirmed,44,0.016458643514350946,0.07092059665991654,0.23207141915732318,-0.06255147192949684,0.2631216022046907,-0.0212270566897438,0.3310716607801548
composite,recovery_fragile,49,0.03789544231256033,0.052725439439596615,0.7187316543084322,-0.026670116508187514,1.4208952668402004,-0.0145749194674865,0.2789790554315232
composite,stressed_panic,229,0.040226405429370456,0.061677678709596395,0.6522036216501068,-0.08225597111235916,0.48903933520427845,-0.02131259875568015,0.17259945067106483
cash,calm_trend,295,0.011538403980027258,0.002993611193783909,3.854342876585378,-0.0010038942885395308,11.493644412314937,-0.00042755236534220006,0.033516425783243604
cash,neutral_healthy_proxy,293,0.011490787371309054,0.0029870724699806853,3.846839166705371,-0.004142063485975234,2.7741697852329246,-0.00034006860971386665,0.14923340060800244
cash,neutral_mixed,200,0.0077153626431937,0.002448296774098033,3.151318387876439,-0.0021395169730568098,3.6061235972203884,-0.0003452994968078455,0.3316676389889186
cash,recovery_confirmed,44,0.015441093369065474,0.002387517593570144,6.467426003749707,-0.00021851474932765846,70.66384954139579,-2.4278647635922223e-05,0.06383761565651912
cash,recovery_fragile,49,0.01235296557719502,0.0031418128052515593,3.931795540634045,-0.001529008780154495,8.07906778399719,-0.0004074039170241,0.12351317074439862
cash,stressed_panic,229,0.014931122219207046,0.005073548908103737,2.9429345197319927,-0.004572550310282475,3.2653817248616908,-0.0013294026813610582,0.5093247219202602
