cik10,company_name,recent_cagr,cagr_change,cash_sleeve_member,other_selected_sleeves
0001107843,"QUALYS, INC.",1.107020201131634,-0.0875352479173328,True,
0001653482,GITLAB INC.,1.1097648797834792,-0.08479056926548756,True,
0001393052,VEEVA SYSTEMS INC,1.1172917982406596,-0.0772636508083071,True,
0001713683,"ZSCALER, INC.",1.1185839285953514,-0.07597152045361533,True,
0001327567,PALO ALTO NETWORKS INC,1.1207687990840887,-0.07378664996487805,True,
0001373715,"SERVICENOW, INC.",1.1259387126217475,-0.06861673642721922,True,
0001773383,"DYNATRACE, INC.",1.1272378989071985,-0.06731755014176821,True,
0001044777,ONESPAN INC.,1.1311308731723742,-0.06342457587659256,True,
0001124804,VERADIGM INC.,1.1374742319066682,-0.057081217142298524,True,
0001792849,"HIGHPEAK ENERGY, INC.",1.1395652583089344,-0.05499019074003231,True,
0001361113,VARONIS SYSTEMS INC,1.1421884190126925,-0.05236703003627419,True,
0000851310,HARMONIC INC.,1.142536043627524,-0.05201940542144268,True,
0000033213,EQT CORP,1.1445949950919645,-0.049960453957002215,True,
0001493761,TURTLE BEACH CORP,1.1458933239042564,-0.048662125144710355,True,
0001855747,"BLEND LABS, INC.",1.148186742079587,-0.04636870696937967,True,
0000874499,GULFPORT ENERGY CORP,1.1488689286761367,-0.04568652037283005,True,
0001070412,CNX RESOURCES CORP,1.1499164707641927,-0.044638978284774034,True,
0001013462,ANSYS INC,1.1523950262201645,-0.04216042282880217,True,
0001108524,"SALESFORCE, INC.",1.1528321699698623,-0.04172327907910445,True,
0001528129,"VITAL ENERGY, INC.",1.1555679685518547,-0.03898748049711198,True,
0001104485,"NORTHERN OIL & GAS, INC.",1.1813924744757003,-0.013162974573266428,True,
0001828161,"FTC SOLAR, INC.",1.1823907297702387,-0.012164719278727976,False,shareholder_discipline
0001031308,BENTLEY SYSTEMS INC,1.1861897348061992,-0.008365714242767552,True,
0001013857,PEGASYSTEMS INC,1.1895541931315963,-0.00500125591737044,True,
0000821483,"PAR PACIFIC HOLDINGS, INC.",1.1910098284783182,-0.0035456205706485555,False,shareholder_discipline
0001650372,ATLASSIAN CORP,1.1925944094228909,-0.0019610396260758556,True,
0001314727,SONOS INC,1.1935252899556241,-0.0010301590933425864,True,
0001834494,"MERIDIANLINK, INC.",1.193755709368289,-0.0007997396806778134,True,
0001724965,TALOS ENERGY INC.,1.193983882180924,-0.0005715668680426056,True,
0001658566,PERMIAN RESOURCES CORP,1.1939925823498352,-0.0005628666991315256,True,
0001585521,"ZOOM COMMUNICATIONS, INC.",1.1945554490489623,-4.440892098500626e-15,True,
0001422930,"PUBMATIC, INC.",1.1945554490489627,-3.9968028886505635e-15,False,shareholder_discipline
0001442145,"VERISK ANALYTICS, INC.",1.1945554490489632,-3.552713678800501e-15,True,shareholder_discipline
0001657788,"KIMBELL ROYALTY PARTNERS, LP",1.1945554490489632,-3.552713678800501e-15,True,
0001674101,VERTIV HOLDINGS CO,1.1945554490489632,-3.552713678800501e-15,False,shareholder_discipline
0001679268,"MAMMOTH ENERGY SERVICES, INC.",1.194555449048964,-2.6645352591003757e-15,True,
0001615165,"VERITONE, INC.",1.194555449048964,-2.6645352591003757e-15,True,
0001022652,INSEEGO CORP.,1.1945554490489645,-2.220446049250313e-15,False,shareholder_discipline
0001171486,NATURAL RESOURCE PARTNERS LP,1.194555449048965,-1.7763568394002505e-15,True,
0001114995,IMPINJ INC,1.194555449048965,-1.7763568394002505e-15,True,
0001133421,NORTHROP GRUMMAN CORP /DE/,1.194555449048965,-1.7763568394002505e-15,False,shareholder_discipline
0001830043,BUMBLE INC.,1.1945554490489667,0.0,False,shareholder_discipline
0001819974,"SKYWATER TECHNOLOGY, INC",1.1951229100255074,0.0005674609765407013,True,
0001520006,MATADOR RESOURCES CO,1.1953388891401824,0.0007834400912156703,True,
0000031791,"REVVITY, INC.",1.1959226000963876,0.0013671510474209114,False,shareholder_discipline
0001035002,VALERO ENERGY CORP/TX,1.1964884200259007,0.001932970976934012,False,shareholder_discipline
0001621434,"BLACK STONE MINERALS, L.P.",1.197262119142532,0.0027066700935653998,True,
0000785786,PLEXUS CORP,1.1972635861968852,0.00270813714791851,True,
0001509589,"CIVITAS RESOURCES, INC.",1.1976120029222717,0.0030565538733049458,False,shareholder_discipline
0000093410,CHEVRON CORP,1.1979261880510514,0.0033707390020847328,False,shareholder_discipline
0001510295,MARATHON PETROLEUM CORP,1.1981600713819285,0.003604622332961771,False,shareholder_discipline
0001037646,METTLER TOLEDO INTERNATIONAL INC/,1.1983024060708454,0.0037469570218786608,False,shareholder_discipline
0001475115,"EVENTBRITE, INC.",1.1984428147504604,0.003887365701493728,True,
0001459417,"2U, INC.",1.1991940505361773,0.004638601487210625,True,shareholder_discipline
0001800227,IAC INC.,1.2003474056239347,0.005791956574968005,False,shareholder_discipline
0001764046,CLARIVATE PLC,1.2030408006264377,0.00848535157747099,False,shareholder_discipline
0001770561,CORONADO GLOBAL RESOURCES INC.,1.2035947643450524,0.009039315296085704,False,shareholder_discipline
0000851205,COGNEX CORP,1.206448812065677,0.011893363016710179,False,shareholder_discipline
0001861795,DEFINITIVE HEALTHCARE CORP.,1.2071306584819315,0.012575209432964751,True,
0000049938,IMPERIAL OIL LTD,1.2075785612517422,0.013023112202775522,False,shareholder_discipline
0000717423,MURPHY OIL CORP,1.2096614533903738,0.015106004341407075,False,shareholder_discipline
0001486159,CHORD ENERGY CORP,1.210067715598401,0.015512266549434273,False,shareholder_discipline
0000917273,RAMBUS INC,1.2167051338789214,0.02214968482995472,True,
