candidate,removed_sleeve,recent_cagr
cash100_control,cash_conversion,1.1293348809519004
cash75__profitability25,cash_conversion,1.1256211164670797
cash75__profitability25,profitability,1.1771563619188137
cash50__profitability50,cash_conversion,1.1214928652817253
cash50__profitability50,profitability,1.161668770653443
cash25__profitability75,cash_conversion,1.1169552691562195
cash25__profitability75,profitability,1.1457264993796255
cash75__balance_sheet_quality25,cash_conversion,1.1145843821791255
cash75__balance_sheet_quality25,balance_sheet_quality,1.1771563619188137
cash50__balance_sheet_quality50,cash_conversion,1.099777867967056
cash50__balance_sheet_quality50,balance_sheet_quality,1.161668770653443
cash25__balance_sheet_quality75,cash_conversion,1.0849170956149563
cash25__balance_sheet_quality75,balance_sheet_quality,1.1457264993796255
cash75__shareholder_discipline25,cash_conversion,1.1467830590615615
cash75__shareholder_discipline25,shareholder_discipline,1.1771563619188137
cash50__shareholder_discipline50,cash_conversion,1.1638237248980405
cash50__shareholder_discipline50,shareholder_discipline,1.161668770653443
cash25__shareholder_discipline75,cash_conversion,1.1804498726225945
cash25__shareholder_discipline75,shareholder_discipline,1.1457264993796255
cash75__quality_acceleration25,cash_conversion,1.1292583757364856
cash75__quality_acceleration25,quality_acceleration,1.1771563619188137
cash50__quality_acceleration50,cash_conversion,1.1290787079724085
cash50__quality_acceleration50,quality_acceleration,1.161668770653443
cash25__quality_acceleration75,cash_conversion,1.1287958674104375
cash25__quality_acceleration75,quality_acceleration,1.1457264993796255
cash75__equal_independent,cash_conversion,1.1291592892627658
cash75__equal_independent,profitability,1.177489907695552
cash75__equal_independent,balance_sheet_quality,1.179874745874923
cash75__equal_independent,shareholder_discipline,1.1721709765539883
cash75__equal_independent,quality_acceleration,1.1763650024268486
cash50__equal_independent,cash_conversion,1.1288561714373078
cash50__equal_independent,profitability,1.1625644615923036
cash50__equal_independent,balance_sheet_quality,1.1674777803964465
cash50__equal_independent,shareholder_discipline,1.1519682620968044
cash50__equal_independent,quality_acceleration,1.160425599347744
cash25__equal_independent,cash_conversion,1.128425509485555
cash25__equal_independent,profitability,1.1473863030226483
cash25__equal_independent,balance_sheet_quality,1.154987881610647
cash25__equal_independent,shareholder_discipline,1.131552105713963
cash25__equal_independent,quality_acceleration,1.144346834270252
cash00__equal_independent,profitability,1.1319639757790503
cash00__equal_independent,balance_sheet_quality,1.1423963774961576
cash00__equal_independent,shareholder_discipline,1.1109255018840183
cash00__equal_independent,quality_acceleration,1.1281405055770923
cash50__invvol13w,cash_conversion,1.1358818371844368
cash50__invvol13w,profitability,1.171059454519645
cash50__invvol13w,balance_sheet_quality,1.1717334753643995
cash50__invvol13w,shareholder_discipline,1.1534964717925242
cash50__invvol13w,quality_acceleration,1.166573864294766
cash25__invvol13w,cash_conversion,1.1388523528667673
cash25__invvol13w,profitability,1.1602109165940884
cash25__invvol13w,balance_sheet_quality,1.161414292713494
cash25__invvol13w,shareholder_discipline,1.133763410782389
cash25__invvol13w,quality_acceleration,1.1536270888207731
cash50__invvol26w,cash_conversion,1.1345826801104915
cash50__invvol26w,profitability,1.1689141033291488
cash50__invvol26w,balance_sheet_quality,1.170147914628414
cash50__invvol26w,shareholder_discipline,1.1544621800107904
cash50__invvol26w,quality_acceleration,1.1655812432890293
cash25__invvol26w,cash_conversion,1.1369258365359887
cash25__invvol26w,profitability,1.1569813142137901
cash25__invvol26w,balance_sheet_quality,1.159034263216872
cash25__invvol26w,shareholder_discipline,1.1352839333260398
cash25__invvol26w,quality_acceleration,1.1521409094973216
