sleeve,first_hash,second_hash,hash_equal
dual_momentum_topn,43fdf6b7c0fe62a32a805f9c9e9999616771771ad426b2fc597d58fa784f36f6,43fdf6b7c0fe62a32a805f9c9e9999616771771ad426b2fc597d58fa784f36f6,True
cta_trend_long_only,ce8aad06a542537bf3a213059ff9c505c614068d9fb563a171a683b2459d6bba,ce8aad06a542537bf3a213059ff9c505c614068d9fb563a171a683b2459d6bba,True
composite_selective_signals,e0bdcd636de3ff0b257cfcbd9ebe9ab10a9fb80b93b52c0bb993174c92e88919,e0bdcd636de3ff0b257cfcbd9ebe9ab10a9fb80b93b52c0bb993174c92e88919,True
taa_10m_sma,b3f6f9e6461d0bb13d7a0e2830d1b5e308466c39f26eeac333b92080deeeb807,b3f6f9e6461d0bb13d7a0e2830d1b5e308466c39f26eeac333b92080deeeb807,True
composite_regime_conditioned,308a90f72e8100742e4a3c5cdbf3d1141928adfeb27f333a87c7b0bf14588226,308a90f72e8100742e4a3c5cdbf3d1141928adfeb27f333a87c7b0bf14588226,True
