sleeve,maximum_position_difference,index_equal,columns_equal,historical_equivalence_pass
dual_momentum_topn,5.551115123125783e-17,True,True,True
cta_trend_long_only,3.1086244689504383e-15,True,True,True
composite_selective_signals,0.0,True,True,True
taa_10m_sma,5.551115123125783e-17,True,True,True
composite_regime_conditioned,0.0,True,True,True
