sleeve,cutoff,maximum_prefix_difference,missingness_differences,prefix_invariance_pass
dual_momentum_topn,2023-12-29,0.0,0,True
cta_trend_long_only,2023-12-29,0.0,0,True
composite_selective_signals,2023-12-29,0.0,0,True
taa_10m_sma,2023-12-29,0.0,0,True
composite_regime_conditioned,2023-12-29,0.0,0,True
dual_momentum_topn,2024-12-27,0.0,0,True
cta_trend_long_only,2024-12-27,0.0,0,True
composite_selective_signals,2024-12-27,0.0,0,True
taa_10m_sma,2024-12-27,0.0,0,True
composite_regime_conditioned,2024-12-27,0.0,0,True
dual_momentum_topn,2025-12-26,0.0,0,True
cta_trend_long_only,2025-12-26,0.0,0,True
composite_selective_signals,2025-12-26,0.0,0,True
taa_10m_sma,2025-12-26,0.0,0,True
composite_regime_conditioned,2025-12-26,0.0,0,True
