sleeve,maximum_path_difference,return_path_equivalence_pass
dual_momentum_topn,5.1514348342607263e-14,True
cta_trend_long_only,1.3766765505351941e-14,True
composite_selective_signals,3.4638958368304884e-14,True
taa_10m_sma,3.375077994860476e-14,True
composite_regime_conditioned,2.6645352591003757e-14,True
