weeks,start,end,cagr,total_return,sharpe_zero_rf,max_drawdown,peak_largest_stock_weight,peak_mu_weight,ending_mu_weight,annual_cap_turnover,scenario,mu_cap_multiple,cap_name,cost_bps,window
188,2023-01-06,2026-08-07,0.4049029189964557,2.4182058665884085,1.6908829416551625,-0.18701606345716215,0.06453345403906216,0.06037477518475698,0.03894774200477296,0.08532588157259985,base,1.0,mu_cap_1.00x,50,full_recent
157,2023-08-11,2026-08-07,0.4187813092109445,1.8751984568085702,1.6722980619839805,-0.18701606345716215,0.06453345403906216,0.06037477518475698,0.03894774200477296,0.09167410401733375,base,1.0,mu_cap_1.00x,50,since_incumbent_holdout_start
105,2024-08-09,2026-08-07,0.5727569388526623,1.4951989206769323,1.9589863435016028,-0.18701606345716215,0.06223898580753242,0.06037477518475698,0.03894774200477296,0.09783587071554614,base,1.0,mu_cap_1.00x,50,trailing_2y
53,2025-08-08,2026-08-07,0.8062621707612139,0.826917258381439,2.3797190492109213,-0.12416504992793032,0.06037477518475698,0.06037477518475698,0.03894774200477296,0.1182260540602224,base,1.0,mu_cap_1.00x,50,trailing_1y
32,2026-01-02,2026-08-07,0.6791935938879283,0.3756994067564534,1.9460261509793448,-0.12416504992793043,0.06037477518475698,0.06037477518475698,0.03894774200477296,0.1431095498973176,base,1.0,mu_cap_1.00x,50,ytd
188,2023-01-06,2026-08-07,0.40771652733055186,2.4430204602994605,1.6935073618975705,-0.18701606345716215,0.07813881141297588,0.07813881141297588,0.05846387004219363,0.07655979045303872,base,1.5,mu_cap_1.50x,50,full_recent
157,2023-08-11,2026-08-07,0.4221844255508418,1.8960710678592219,1.6757820842302316,-0.18701606345716215,0.07813881141297588,0.07813881141297588,0.05846387004219363,0.08117712866397393,base,1.5,mu_cap_1.50x,50,since_incumbent_holdout_start
105,2024-08-09,2026-08-07,0.5784009916411528,1.5133129108406265,1.9632336723860055,-0.18701606345716215,0.07813881141297588,0.07813881141297588,0.05846387004219363,0.08214039328242718,base,1.5,mu_cap_1.50x,50,trailing_2y
53,2025-08-08,2026-08-07,0.8191265117449009,0.8401798327493473,2.385148808834897,-0.12446365209901511,0.07813881141297588,0.07813881141297588,0.05846387004219363,0.08713124027762821,base,1.5,mu_cap_1.50x,50,trailing_1y
32,2026-01-02,2026-08-07,0.6954955388311328,0.38390293897441685,1.9572512023293693,-0.12446365209901478,0.07813881141297588,0.07813881141297588,0.05846387004219363,0.10836864902552844,base,1.5,mu_cap_1.50x,50,ytd
188,2023-01-06,2026-08-07,0.40808727961998614,2.4462999956114406,1.6928065210797394,-0.18701606345716215,0.09139376837287956,0.09139376837287956,0.07757521485084037,0.07147461011558219,base,2.0,mu_cap_2.00x,50,full_recent
157,2023-08-11,2026-08-07,0.4226329581766348,1.898829624609773,1.675113284603167,-0.18701606345716215,0.09139376837287956,0.09139376837287956,0.07757521485084037,0.07508786813249732,base,2.0,mu_cap_2.00x,50,since_incumbent_holdout_start
105,2024-08-09,2026-08-07,0.5791453802725155,1.5157068839628312,1.9621520808954445,-0.18701606345716215,0.09139376837287956,0.09139376837287956,0.07757521485084037,0.07303549896393355,base,2.0,mu_cap_2.00x,50,trailing_2y
