candidate,scenario,cost_bps,window,weeks,start,end,cagr,sharpe_zero_rf,sortino_zero_target,max_drawdown,annual_one_way_turnover,total_return,annual_volatility,win_rate,best_week,worst_week
win30__f4w00__pen00__sector50,base,50,full_recent,188,2023-01-06,2026-08-07,0.3286784800587792,1.3837116357599997,2.2453476142128554,-0.23659563657072535,3.4795654608863993,1.7938971286870533,0.22396656591601263,0.5957446808510638,0.11529536904474091,-0.12569620363330747
win30__f4w00__pen00__sector50,base,50,since_pilot_holdout_start,158,2023-08-04,2026-08-07,0.30174981891180885,1.2418840157290993,1.9948269532742238,-0.23659563657072535,3.974281490451903,1.2283709216039402,0.23497092517533147,0.5949367088607594,0.11529536904474091,-0.12569620363330747
win30__f4w00__pen00__sector50,base,50,trailing_3y,157,2023-08-11,2026-08-07,0.3102496684603082,1.267687956229736,2.03711994949121,-0.23659563657072513,3.998287327520758,1.2610959092177203,0.23543562295608925,0.5987261146496815,0.11529536904474091,-0.12569620363330747
win30__f4w00__pen00__sector50,base,50,trailing_2y,105,2024-08-09,2026-08-07,0.4705125578710052,1.6144608825187785,2.658120638816373,-0.23659563657072524,3.74613642904938,1.1785023258136853,0.260566443151806,0.6476190476190476,0.11529536904474091,-0.12569620363330747
win30__f4w00__pen00__sector50,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.8171683951576252,2.305517543358316,4.312798047515488,-0.13130439390959792,1.522242180024248,0.8381609832742181,0.27666134969958617,0.6415094339622641,0.11529536904474091,-0.0724939435810178
win30__f4w00__pen00__sector50,base,50,ytd,32,2026-01-02,2026-08-07,0.7144309004658354,1.9294970947154675,3.5742695379528624,-0.13130439390959803,2.521213610665161,0.39339368316393175,0.3037141272325987,0.59375,0.11529536904474091,-0.0724939435810178
win30__f4w00__pen00__sector50,base,100,full_recent,188,2023-01-06,2026-08-07,0.27985852891754925,1.2091605200181248,1.9227905513430266,-0.2821689421751613,3.480649206611412,1.4402354194440594,0.2254793513054295,0.5904255319148937,0.11524988102393063,-0.1275485828049835
win30__f4w00__pen00__sector50,base,100,since_pilot_holdout_start,158,2023-08-04,2026-08-07,0.2496648494683933,1.0614553381466771,1.670210900141572,-0.28216894217516175,3.9755701818125995,0.9683552890488283,0.23666052707451488,0.5886075949367089,0.11524988102393063,-0.1275485828049835
win30__f4w00__pen00__sector50,base,100,trailing_3y,157,2023-08-11,2026-08-07,0.25750677413498413,1.0862379603803867,1.709956151016982,-0.28216894217516153,3.999583875309691,0.9973062455212938,0.2371538378176893,0.5923566878980892,0.11524988102393063,-0.1275485828049835
win30__f4w00__pen00__sector50,base,100,trailing_2y,105,2024-08-09,2026-08-07,0.41166509251331984,1.449295529876951,2.3432570939901747,-0.2583335861486855,3.7469195914619453,1.0060548648059955,0.26219313121811355,0.638095238095238,0.11524988102393063,-0.1275485828049835
win30__f4w00__pen00__sector50,base,100,trailing_1y,53,2025-08-08,2026-08-07,0.7739003161016433,2.213151454409877,4.093479874965916,-0.13419784895593556,1.5215716116453781,0.7935616585569629,0.2772759416194695,0.6415094339622641,0.11524988102393063,-0.07293461104915766
win30__f4w00__pen00__sector50,base,100,ytd,32,2026-01-02,2026-08-07,0.6710384508461988,1.8405956155277727,3.3735025159984993,-0.13419784895593567,2.520102981787657,0.37158405148048357,0.3044349818236701,0.59375,0.11524988102393063,-0.07293461104915766
