candidate,window_days,feature_weight,penalty_strength,sector_cap,peak_total_stock_weight,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,adverse_recent_cagr,recent_beats,full_beats,severe_beats,surface_gates
win90__f4w05__pen00__sector100,90,0.05,0.0,1.0,0.04221663668639817,1.0547913841543441,2.704593057829952,-0.09833780786146462,0.38174005753689166,0.9355492788534607,1.054791384154346,False,False,True,False
win90__f4w05__pen05__sector100,90,0.05,0.05,1.0,0.04221663668639817,1.0547913841543437,2.7045930578299497,-0.09833780786146507,0.3891300603651058,0.935549278853461,1.054791384154346,False,False,True,False
win30__f4w05__pen10__sector100,30,0.05,0.1,1.0,0.04386315974809241,1.0547913841543433,2.704593057829951,-0.09833780786146495,0.4047533555373892,0.9355492788534601,1.0547913841543468,False,False,True,False
win90__f4w05__pen10__sector100,90,0.05,0.1,1.0,0.04221663668639817,1.0547913841543433,2.70459305782995,-0.09833780786146507,0.3966246286354169,0.9355492788534605,1.0547913841543464,False,False,True,False
win30__f4w10__pen05__sector100,30,0.1,0.05,1.0,0.043863159748092406,1.0547913841543433,2.70459305782995,-0.09833780786146495,0.3892329770549263,0.9355492788534607,1.054791384154346,False,False,True,False
win90__f4w10__pen05__sector100,90,0.1,0.05,1.0,0.04221663668639817,1.0547913841543428,2.7045930578299493,-0.09833780786146495,0.38913006036510556,0.935549278853461,1.054791384154346,False,False,True,False
win90__f4w10__pen00__sector100,90,0.1,0.0,1.0,0.04221663668639817,1.0547913841543428,2.704593057829951,-0.09833780786146484,0.38174005753689144,0.9355492788534607,1.0547913841543455,False,False,True,False
win30__f4w05__pen00__sector100,30,0.05,0.0,1.0,0.04347022227175492,1.0547913841543424,2.70459305782995,-0.09833780786146484,0.40872858260255174,0.935549278853459,1.0547913841543468,False,False,True,False
win30__f4w05__pen05__sector100,30,0.05,0.05,1.0,0.043863159748092406,1.0547913841543424,2.70459305782995,-0.09833780786146473,0.39945374129553013,0.9355492788534616,1.054791384154346,False,False,True,False
win90__f4w10__pen10__sector100,90,0.1,0.1,1.0,0.04221663668639817,1.054791384154342,2.7045930578299497,-0.09833780786146484,0.3849494231771271,0.9355492788534605,1.0547913841543468,False,False,True,False
win30__f4w10__pen00__sector100,30,0.1,0.0,1.0,0.0434702222717549,1.054791384154342,2.7045930578299484,-0.09833780786146518,0.384582210063551,0.9355492788534605,1.0547913841543455,False,False,True,False
win30__f4w10__pen10__sector100,30,0.1,0.1,1.0,0.043863159748092385,1.0547913841543415,2.704593057829947,-0.09833780786146495,0.385052030135445,0.9355492788534607,1.0547913841543468,False,False,True,False
win30__f4w00__pen10__sector100,30,0.0,0.1,1.0,0.04355563489164439,1.0475360879501028,2.687943751316268,-0.10066966980927927,0.39359889721056684,0.9287129043100921,1.0475360879501059,False,False,False,False
win90__f4w00__pen10__sector100,90,0.0,0.1,1.0,0.04355563489164439,1.0475360879501028,2.687943751316268,-0.10066966980927927,0.39359889721056684,0.9287129043100921,1.0475360879501059,False,False,False,False
win30__f4w00__pen00__sector100,30,0.0,0.0,1.0,0.04343192943168896,1.0475360879501023,2.6879437513162676,-0.10066966980927927,0.4086746589588126,0.9287129043100903,1.0475360879501054,False,False,False,False
win90__f4w00__pen00__sector100,90,0.0,0.0,1.0,0.04343192943168896,1.0475360879501023,2.6879437513162676,-0.10066966980927927,0.4086746589588126,0.9287129043100903,1.0475360879501054,False,False,False,False
win30__f4w00__pen05__sector100,30,0.0,0.05,1.0,0.04355563489164436,1.0475360879501014,2.6879437513162654,-0.10066966980927927,0.40305375038582025,0.9287129043100912,1.0475360879501046,False,False,False,False
win90__f4w00__pen05__sector100,90,0.0,0.05,1.0,0.04355563489164436,1.0475360879501014,2.6879437513162654,-0.10066966980927927,0.40305375038582025,0.9287129043100912,1.0475360879501046,False,False,False,False
