candidate,breadth,cohort_weights,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,delay1_recent_cagr,delay2_recent_cagr,worst_current_delay_recent_cagr,peak_total_stock_weight,annual_one_way_turnover,latest_distinct_holdings,surface_gates,worst_loo_company,worst_loo_recent_cagr,worst_loo_cagr_change,single_issuer_increment_improvement_share,robust_floor_cagr
top20_current_control,20,1.0,1.1921841481621724,3.0367340261008127,-0.08708758375337311,0.4196607554490872,1.0286117233322738,1.189550918496959,1.186275367586628,1.186275367586628,0.07378789503220702,4.8680851063829795,20,True,"QUALYS, INC.",1.0916574328451767,-0.10052671531699575,,1.0916574328451767
top25_current,25,1.0,1.12426438437214,2.9165056263025684,-0.08708758375337278,0.4162440440942028,0.9675359369983625,1.1134187397703772,1.1404236996753703,1.1134187397703772,0.06006754544008051,4.1489361702127665,25,False,"QUALYS, INC.",1.0861815587783044,-0.03808282559383569,,1.0861815587783044
top20_current90_prior10,20,0.9|0.1,1.193053357649763,3.0387330532661148,-0.08708758375337311,0.4039599585544702,1.029708218961379,1.189310359401575,1.186336251437699,1.186336251437699,0.07348178411109825,5.36595744680851,23,False,"QUALYS, INC.",1.055142772897562,-0.13791058475220108,158.66207941997055,1.055142772897562
top30_current,30,1.0,1.078852332525262,2.8558967323900672,-0.08708758375337322,0.40529367766024693,0.925741745823276,1.0671149603905472,1.0977787162926105,1.0671149603905472,0.050193389831730245,4.425531914893617,30,False,"QUALYS, INC.",1.045864043688837,-0.03298828883642502,,1.045864043688837
top20_current80_prior20,20,0.8|0.2,1.1939254067699756,3.040575223075898,-0.08708758375337333,0.39982485963492564,1.0307813101463719,1.1890856622418324,1.1864208050861436,1.1864208050861436,0.07317820251459053,5.36595744680851,23,False,VEEVA SYSTEMS INC,1.0318615807662033,-0.16206382600377234,93.0728068064096,1.0318615807662033
top20_current75_prior25,20,0.75|0.25,1.1943659469569332,3.041447513808117,-0.08708758375337289,0.4032123900817086,1.0313225152725098,1.1889826603849984,1.1864752786192505,1.1864752786192505,0.07302735043674226,5.36595744680851,23,False,PALO ALTO NETWORKS INC,1.0266044028933794,-0.1677615440635538,76.89139093240153,1.0266044028933794
top20_current50_prior50,20,0.5|0.5,1.0591443194771357,2.7641369650348797,-0.08708758375337322,0.3680131192998233,0.8609896913796409,1.0492335887212851,1.0841045874471682,1.0492335887212851,0.07228232402206251,6.458510638297873,23,False,"QUALYS, INC.",1.0232138622809135,-0.03593045719622223,,1.0232138622809135
top20_current67_prior33,20,0.67|0.33,1.1950734942600612,3.0427700825141617,-0.08708758375337322,0.3999878264117509,1.0321787511146017,1.1888271891262505,1.1865790016875066,1.1865790016875066,0.07278727650163294,5.36595744680851,23,False,"QUALYS, INC.",1.0203696965933804,-0.17470379766668076,60.46482205594109,1.0203696965933804
top20_cohorts80_15_05,20,0.8|0.15|0.05,1.131936782966367,2.9050027766499533,-0.08708758375337322,0.40744569618621407,0.9740449846863688,1.1229847782082314,1.1532188494047375,1.1229847782082314,0.07338256710908636,4.92340425531915,30,False,ANSYS INC,1.015645335150357,-0.11629144781600997,,1.015645335150357
top20_cohorts70_20_10,20,0.7|0.2|0.1,1.1291459816460097,2.9017076512784565,-0.087087583753373,0.407567201801033,0.9717862431516655,1.1190359025844456,1.1490667154066379,1.1190359025844456,0.07328361767651057,4.92340425531915,30,False,"QUALYS, INC.",0.9355614473305236,-0.19358453431548606,,0.9355614473305236
top20_cohorts60_25_15,20,0.6|0.25|0.15,1.049641458656442,2.7517443052260178,-0.08708758375337289,0.39221119544745275,0.8525549204159186,1.0400959592536556,1.0730477780240228,1.0400959592536556,0.0731849347324524,5.73936170212766,30,False,"QUALYS, INC.",0.9346177714962003,-0.1150236871602417,,0.9346177714962003
top20_cohorts50_30_20,20,0.5|0.3|0.2,1.0478379077093778,2.749463032219217,-0.08708758375337278,0.38730421423559225,0.8511505939412896,1.0373744139553231,1.070184278491281,1.0373744139553231,0.07308651720180769,6.01595744680851,30,False,"QUALYS, INC.",0.9074186189142228,-0.14041928879515497,,0.9074186189142228
top20_cohorts_equal3,20,0.3333333333333333|0.3333333333333333|0.3333333333333333,0.9314979148927838,2.4979363655561753,-0.11005278285752707,0.35406596732185447,0.7050627889605325,0.9109951818799418,0.9412655839817943,0.9109951818799418,0.08524609495535602,6.01595744680851,30,False,"QUALYS, INC.",0.905944016382056,-0.025553898510727757,,0.905944016382056
