candidate,worst_loo_company,worst_loo_recent_cagr,worst_loo_cagr_change,single_issuer_increment_improvement_share,robust_floor_cagr
top20_current_control,"QUALYS, INC.",1.0916574328451767,-0.10052671531699575,,1.0916574328451767
top25_current,"QUALYS, INC.",1.0861815587783044,-0.03808282559383569,,1.0861815587783044
top30_current,"QUALYS, INC.",1.045864043688837,-0.03298828883642502,,1.045864043688837
top20_current90_prior10,"QUALYS, INC.",1.055142772897562,-0.13791058475220108,158.66207941997055,1.055142772897562
top20_current80_prior20,VEEVA SYSTEMS INC,1.0318615807662033,-0.16206382600377234,93.0728068064096,1.0318615807662033
top20_current75_prior25,PALO ALTO NETWORKS INC,1.0266044028933794,-0.1677615440635538,76.89139093240153,1.0266044028933794
top20_current67_prior33,"QUALYS, INC.",1.0203696965933804,-0.17470379766668076,60.46482205594109,1.0203696965933804
top20_current50_prior50,"QUALYS, INC.",1.0232138622809135,-0.03593045719622223,,1.0232138622809135
top20_cohorts80_15_05,ANSYS INC,1.015645335150357,-0.11629144781600997,,1.015645335150357
top20_cohorts70_20_10,"QUALYS, INC.",0.9355614473305236,-0.19358453431548606,,0.9355614473305236
top20_cohorts60_25_15,"QUALYS, INC.",0.9346177714962003,-0.1150236871602417,,0.9346177714962003
top20_cohorts50_30_20,"QUALYS, INC.",0.9074186189142228,-0.14041928879515497,,0.9074186189142228
top20_cohorts_equal3,"QUALYS, INC.",0.905944016382056,-0.025553898510727757,,0.905944016382056
