effective_date,cik10,sleeve_target_weight
2023-01-06,0000033213,0.04
2023-01-06,0000320193,0.04
2023-01-06,0000732834,0.04
2023-01-06,0000874499,0.04
2023-01-06,0000917273,0.04
2023-01-06,0001070412,0.04
2023-01-06,0001107843,0.04
2023-01-06,0001124804,0.04
2023-01-06,0001173489,0.04
2023-01-06,0001273441,0.04
2023-01-06,0001280263,0.04
2023-01-06,0001288469,0.04
2023-01-06,0001314727,0.04
2023-01-06,0001326801,0.04
2023-01-06,0001327567,0.04
2023-01-06,0001361113,0.04
2023-01-06,0001373715,0.04
2023-01-06,0001475115,0.04
2023-01-06,0001509991,0.04
2023-01-06,0001585521,0.04
2023-01-06,0001640147,0.04
2023-01-06,0001713683,0.04
2023-01-06,0001773383,0.04
2023-01-06,0001810806,0.04
2023-01-06,0001827075,0.04
2023-04-07,0000004127,0.04
2023-04-07,0000056978,0.04
2023-04-07,0000732834,0.04
2023-04-07,0000874499,0.04
2023-04-07,0000917273,0.04
2023-04-07,0001070412,0.04
2023-04-07,0001107843,0.04
2023-04-07,0001124804,0.04
2023-04-07,0001173489,0.04
2023-04-07,0001273441,0.04
2023-04-07,0001280263,0.04
2023-04-07,0001288469,0.04
2023-04-07,0001326801,0.04
2023-04-07,0001327567,0.04
2023-04-07,0001361113,0.04
2023-04-07,0001373715,0.04
2023-04-07,0001475115,0.04
2023-04-07,0001509991,0.04
2023-04-07,0001585521,0.04
2023-04-07,0001628945,0.04
2023-04-07,0001640147,0.04
2023-04-07,0001773383,0.04
2023-04-07,0001810806,0.04
2023-04-07,0001827075,0.04
2023-04-07,0001834494,0.04
2023-07-07,0000004127,0.04
2023-07-07,0000056978,0.04
2023-07-07,0000769397,0.04
2023-07-07,0000858470,0.04
2023-07-07,0000917273,0.04
2023-07-07,0000945983,0.04
2023-07-07,0001031308,0.04
2023-07-07,0001108524,0.04
2023-07-07,0001124610,0.04
2023-07-07,0001280263,0.04
2023-07-07,0001314727,0.04
2023-07-07,0001327567,0.04
2023-07-07,0001349436,0.04
2023-07-07,0001353283,0.04
2023-07-07,0001361113,0.04
2023-07-07,0001393052,0.04
2023-07-07,0001442145,0.04
2023-07-07,0001475115,0.04
2023-07-07,0001493761,0.04
2023-07-07,0001640147,0.04
2023-07-07,0001650372,0.04
2023-07-07,0001671933,0.04
2023-07-07,0001773383,0.04
2023-07-07,0001792849,0.04
2023-07-07,0001856314,0.04
2023-10-06,0000004127,0.04
2023-10-06,0000023194,0.04
2023-10-06,0000033213,0.04
2023-10-06,0000056978,0.04
