candidate,delay_weeks,cost_bps,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,full_sharpe,full_drawdown
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,0,50,1.1120849711819831,2.332867517610213,-0.15282913445812063,0.4196258540268616,1.435721529520969,-0.27063539146463034
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,0,100,1.107338725508673,2.3268531406161475,-0.15282913445812052,0.41451346435979186,1.4235325796010347,-0.27063539146463056
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,0,200,1.0978659126539996,2.314697421775132,-0.15282913445812052,0.40431850737660713,1.3987143026798339,-0.27063539146463056
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,1,50,1.0265163604855365,2.3100681378152053,-0.14208504092570928,0.3851881774586139,1.378660659417418,-0.2705801796370164
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,1,100,1.0221598400908918,2.304860427024573,-0.1420850409257094,0.38027004665217357,1.3649931395672836,-0.2705801796370163
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,1,200,1.0134643565349917,2.2943105080019923,-0.1420850409257094,0.37046998633861605,1.337436510749398,-0.2705801796370162
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,2,50,1.0421683900291456,2.315278140967048,-0.13868395841220438,0.4142940891222173,1.447960275668125,-0.27117598100315077
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,2,100,1.037537117728518,2.309433240781482,-0.13868395841220416,0.4091454540534949,1.4345922535308828,-0.27117598100315055
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,2,200,1.0282942993169444,2.2976026818141144,-0.13868395841220438,0.3988873644158153,1.4075807632164812,-0.27117598100315066
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0,50,1.0823817784948488,3.035983773791371,-0.0866637049151543,0.4271211408345008,1.6914376229036188,-0.2556330119877902
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0,100,1.078464734156221,3.0289992004196464,-0.08666370491515463,0.42233281781817933,1.6779893970727602,-0.25563301198779
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0,200,1.0706449275277912,3.0148426697439836,-0.08666370491515463,0.4127804206232213,1.6504444631095574,-0.25572392285474743
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,1,50,1.016895021923578,3.032402397545233,-0.07977576084108517,0.39533953302066416,1.6212530068162931,-0.2556765833789739
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,1,100,1.0132625402550839,3.028243416966602,-0.0797757608410854,0.3907151202284802,1.6062508844596786,-0.2556765833789739
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,1,200,1.006010061262013,3.0197106389444284,-0.0797757608410854,0.3814976173261597,1.5759126061598265,-0.2556765833789739
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,2,50,0.9953773189951007,3.100719377261462,-0.07942600416734946,0.40193842453649054,1.6555786828281656,-0.2551046436369262
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,2,100,0.9917214709982423,3.0958782045818944,-0.07942600416734924,0.39718474407305804,1.641199671333062,-0.255104643636926
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,2,200,0.9844227056052177,3.0859581609457565,-0.07942600416734924,0.38771065920158443,1.6120142864022702,-0.255104643636926
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0,50,1.0769406323525845,2.994049615167767,-0.08892325418577418,0.4238985328053879,1.7047796196803209,-0.24280344281168786
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0,100,1.0740152014848592,2.9889822058333637,-0.08892325418577418,0.4203146347931106,1.6945866136618863,-0.24312961040081016
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0,200,1.0681723260156164,2.978744576855722,-0.08892325418577429,0.4131604282681285,1.6738188194295158,-0.24379702443107332
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,1,50,1.027757772868405,2.9878345670119657,-0.07999680227169803,0.40003409428681036,1.6517112609494689,-0.24283636772559147
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,1,100,1.0250259435239912,2.984883801147244,-0.07999680227169814,0.396559762915063,1.6405176207170662,-0.24306928503726122
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,1,200,1.0195693062600477,2.9788690721400006,-0.07999680227169803,0.38962872432844864,1.6179261878061382,-0.2437053075305886
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,2,50,1.0116420242877222,3.03718056415215,-0.07943915705323179,0.40506085353917665,1.6798030542030682,-0.24239902935619884
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,2,100,1.0088772964422916,3.0335258831107366,-0.07943915705323157,0.4014887989678386,1.6690063756256743,-0.24239902935619884
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,2,200,1.0033551795152804,3.0260936339358637,-0.07943915705323146,0.39436345051889,1.6471614979268834,-0.24239902935619873
