candidate,cik10,company_name,recent_cagr,recent_sharpe,recent_drawdown,full_cagr
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,0000023197,COMTECH TELECOMMUNICATIONS CORP /DE/,1.0069046840763436,2.1749673060624057,-0.15282913445812052,0.38715002737359105
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,0000101984,UNIVERSAL ELECTRONICS INC,1.1017944802044837,2.315465927457067,-0.1528291344581204,0.41767251416787765
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,0000746838,UNISYS CORP,1.1257507322056073,2.45379053645557,-0.15195784155475467,0.4198888505945604
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,0000789460,WORLD KINECT CORP,1.0817257450330127,2.269900281433717,-0.1619378646223264,0.4148527332080387
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,0000813762,ICAHN ENTERPRISES L.P.,1.1025786127112096,2.3127447606944456,-0.15416249595597076,0.4178215995233552
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,0001102993,LIVEPERSON INC,1.1058083806133565,2.3437224159357943,-0.1474528145823486,0.41843524749158645
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,0001177394,TD SYNNEX CORP,1.1063773977320337,2.325143096212346,-0.15282913445812052,0.41252380842510683
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,0001454938,TEADS HOLDING CO.,1.149124505835101,2.4487265202259767,-0.14103548706722346,0.4328016542177511
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,0001534504,PBF ENERGY INC.,1.085246741605109,2.3060773004112334,-0.1528291344581204,0.4169348095249079
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,0001596961,"RUMBLEON, INC.",1.0073826925923122,2.1876743652788675,-0.1528291344581203,0.41206813468043024
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,0001694426,"DELEK US HOLDINGS, INC.",1.0695163942339843,2.2749488979561674,-0.15282913445812052,0.4130688344746183
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,0001738177,CAMBIUM NETWORKS CORP,1.0518799373095016,2.3346993363763056,-0.15282913445812052,0.4080990533807205
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,0001738827,"KLX ENERGY SERVICES HOLDINGS, INC.",1.0921023330550161,2.290694627388387,-0.151343479481847,0.41734468711718953
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,0001770561,CORONADO GLOBAL RESOURCES INC.,1.1054067247680441,2.300871718548579,-0.15168006915084675,0.44949577716149336
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,0001774675,SKILLSOFT CORP.,1.0944755614350217,2.345972337184042,-0.1507704600485229,0.3990023266515226
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,0001810019,"RACKSPACE TECHNOLOGY, INC.",0.8996412974439985,2.5928572430914096,-0.10218696237379021,0.3748564043645255
