candidate,past_only_selector,embargoed_hgb,xlk,breadth_ceiling,training_score,training_5y_cagr,training_3y_cagr,training_5y_sharpe,training_5y_drawdown
clean_025,0.0,0.3,0.7,0.0,0.22900743452563982,0.17301376666013502,0.14864986905316901,0.8060421381360808,-0.29806646229022116
clean_017,0.0,0.2,0.7,0.1,0.22484289765675622,0.16734742162058436,0.14573886189617147,0.8071278611555416,-0.297657756158764
clean_032,0.0,0.4,0.6,0.0,0.2234574319426052,0.1664880259451731,0.14938473342657566,0.7874919634752867,-0.2975796677251261
clean_010,0.0,0.1,0.7,0.2,0.21935984024044647,0.16089199246644692,0.14204791523194849,0.8021027019099378,-0.29725364780034
clean_024,0.0,0.3,0.6,0.1,0.21930528298871443,0.16087579156643184,0.14650797483266542,0.788274155990557,-0.29717061324263283
clean_038,0.0,0.5,0.5,0.0,0.21758906638465286,0.15986670683016957,0.1499333079129237,0.76689049912674,-0.2970932908530123
clean_016,0.0,0.2,0.6,0.2,0.21399989173445794,0.15462633765660438,0.14290005123921112,0.7835407376873197,-0.2967661596829597
clean_068,0.1,0.2,0.7,0.0,0.21363424757298544,0.16337704592441127,0.1281731430207711,0.7715607711210735,-0.30460939485566374
clean_031,0.0,0.4,0.5,0.1,0.2134066117662961,0.15429171276306608,0.1470630906717887,0.7671265690691986,-0.2966838881293833
clean_004,0.0,0.0,0.7,0.3,0.2125107017246418,0.15370436016576683,0.13758997158021136,0.7901109415111828,-0.29685661806161867
clean_043,0.0,0.6,0.4,0.0,0.2114084442607705,0.15315201051311877,0.15029574816125324,0.7442851350452327,-0.29660733173816944
clean_060,0.1,0.1,0.7,0.1,0.20937853615048402,0.15783530354507436,0.1254062232996107,0.7705548703355618,-0.2967750738298045
clean_075,0.1,0.3,0.6,0.0,0.20838846934817565,0.15705069499459046,0.12909054872540193,0.7543088773380079,-0.2966915685687458
clean_023,0.0,0.3,0.5,0.2,0.20823920852954608,0.14822611804247843,0.14352825178520368,0.7624506216849792,-0.2962790894755465
clean_009,0.0,0.1,0.6,0.3,0.20749302954890056,0.14776771620364637,0.13866539625684782,0.772327809496584,-0.2963663109610388
clean_037,0.0,0.5,0.4,0.1,0.20717188159030192,0.14761021454632361,0.14742517621019458,0.7437819999944938,-0.2961975808833255
clean_047,0.0,0.7,0.3,0.0,0.20492594531648778,0.1463461100215233,0.15047222812532013,0.7197661086597777,-0.29612179044488707
clean_067,0.1,0.2,0.6,0.1,0.2042499743985636,0.15164745527292744,0.1263891177996519,0.7534476589491157,-0.2962867311488696
clean_053,0.1,0.0,0.7,0.2,0.20340093841799778,0.15121683341700565,0.1215093562843177,0.7621803148249907,-0.2963768349967211
clean_081,0.1,0.4,0.5,0.0,0.20281775690669462,0.15061756187890785,0.12982472844988568,0.7349980124438419,-0.29620398988519336
clean_030,0.0,0.4,0.4,0.2,0.20206256633967307,0.14166313628718585,0.14396688173397654,0.7387462004716862,-0.2957924372424291
clean_015,0.0,0.2,0.5,0.3,0.2017871823467942,0.14147283041549463,0.13934602422794473,0.7509967682911404,-0.29587889881045326
clean_042,0.0,0.6,0.3,0.1,0.20061773828219504,0.14083718441693693,0.14760049777436346,0.7183527829972384,-0.2957116915687681
clean_003,0.0,0.0,0.6,0.4,0.19955465089110414,0.14020466611948423,0.13365391183753372,0.753356776681535,-0.2959743779100601
clean_059,0.1,0.1,0.6,0.2,0.19880477944510036,0.14548969743575624,0.12287322829068237,0.7464899249644191,-0.2958864977615129
clean_074,0.1,0.3,0.5,0.1,0.19867320268635658,0.1452591321574228,0.12714474873244042,0.7337429877217078,-0.2957988067983053
clean_108,0.2,0.1,0.7,0.0,0.19746804114136485,0.15326586988882873,0.10748485828474763,0.7326306172264332,-0.31603954819593816
clean_086,0.1,0.5,0.4,0.0,0.1969309374301002,0.14408549120181857,0.13037581220104566,0.7136689904869536,-0.29571682948907974
clean_022,0.0,0.3,0.4,0.3,0.19568095725541768,0.13504760806570526,0.13982019367792042,0.727063343126184,-0.2953919047384528
clean_036,0.0,0.5,0.3,0.2,0.19549153945451075,0.13495690446073572,0.1441941200192125,0.7125916077230557,-0.2953062030479362
clean_008,0.0,0.1,0.5,0.4,0.1942347641393019,0.1342748374157896,0.1346005041285685,0.7328971045125758,-0.2954833200530568
