section,variant,key,value_entered,value_not_entered,n_entered,n_not_entered,detail
feature_discrimination,outright_call|dte=60-120|PT,surplus,0.043682684988140014,-0.005597814878072197,26,163.0,
feature_discrimination,outright_call|dte=60-120|PT,expected_move,0.09041345421890924,0.03937151027530204,26,163.0,
feature_discrimination,outright_call|dte=60-120|PT,breakeven_move,0.046730769230769235,0.04496932515337423,26,163.0,
feature_discrimination,outright_call|dte=60-120|PT,soft_score,5.6923076923076925,5.257668711656442,26,163.0,
feature_discrimination,outright_call|dte=60-120|PT,accel_4w,0.03699216305357607,0.0023807337677505544,26,163.0,
feature_discrimination,outright_call|dte=60-120|PT,ma_slope,0.03406633330459517,0.015142862855884806,26,163.0,
feature_discrimination,outright_call|dte=60-120|PT,recovery_from_low,0.2684649052723167,0.14775255172216797,26,163.0,
feature_discrimination,outright_call|dte=60-120|PT,transition_flag,0.5384615384615384,0.4662576687116564,26,163.0,
feature_discrimination,outright_call|dte=60-120|PT,vix_normalizing,0.5384615384615384,0.44171779141104295,26,163.0,
feature_discrimination,outright_call|dte=60-120|PT,vix_term_normalizing,0.07692307692307693,0.17177914110429449,26,163.0,
feature_discrimination,outright_call|dte=60-120|PT,realized_vol_pct,0.3143491124260355,0.40939122227465785,26,163.0,
feature_discrimination,outright_call|dte=60-120|PT,credit_improvement,0.6923076923076923,0.4785276073619632,26,163.0,
candidate_funnel_by_year,outright_call|dte=60-120|PT,2006,1.0,4.0,1,4.0,
candidate_funnel_by_year,outright_call|dte=60-120|PT,2007,0.0,9.0,0,9.0,
candidate_funnel_by_year,outright_call|dte=60-120|PT,2009,2.0,3.0,2,3.0,
candidate_funnel_by_year,outright_call|dte=60-120|PT,2010,2.0,19.0,2,19.0,
candidate_funnel_by_year,outright_call|dte=60-120|PT,2011,1.0,16.0,1,16.0,
candidate_funnel_by_year,outright_call|dte=60-120|PT,2012,0.0,10.0,0,10.0,
candidate_funnel_by_year,outright_call|dte=60-120|PT,2014,3.0,22.0,3,22.0,
candidate_funnel_by_year,outright_call|dte=60-120|PT,2015,0.0,15.0,0,15.0,
candidate_funnel_by_year,outright_call|dte=60-120|PT,2016,1.0,13.0,1,13.0,
candidate_funnel_by_year,outright_call|dte=60-120|PT,2018,1.0,5.0,1,5.0,
candidate_funnel_by_year,outright_call|dte=60-120|PT,2019,1.0,4.0,1,4.0,
candidate_funnel_by_year,outright_call|dte=60-120|PT,2020,8.0,6.0,8,6.0,
candidate_funnel_by_year,outright_call|dte=60-120|PT,2023,2.0,24.0,2,24.0,
candidate_funnel_by_year,outright_call|dte=60-120|PT,2024,2.0,9.0,2,9.0,
candidate_funnel_by_year,outright_call|dte=60-120|PT,2025,2.0,4.0,2,4.0,
validation_gate,outright_call|dte=60-120|PT,sharpe_improves,0.0,,22,,"options 0.958 vs baseline 0.948 (Δ +0.010, need +0.1)"
validation_gate,outright_call|dte=60-120|PT,drawdown_ok,1.0,,22,,options -0.116 vs baseline -0.116
validation_gate,outright_call|dte=60-120|PT,cvar5_ok,1.0,,22,,options -0.0248 vs baseline -0.0249
validation_gate,outright_call|dte=60-120|PT,cvar1_ok,1.0,,22,,options -0.0378 vs baseline -0.0381
validation_gate,outright_call|dte=60-120|PT,not_one_trade,1.0,,22,,Sharpe ex-best 0.954 vs baseline 0.948
validation_gate,outright_call|dte=60-120|PT,survive_top3_removal,0.0,,22,,Sharpe ex-top3 0.946 vs baseline 0.948
validation_gate,outright_call|dte=60-120|PT,competitive_vs_tilt,1.0,,22,,options Sharpe 0.958 vs tactical-tilt 0.950
validation_gate,outright_call|dte=60-120|PT,enough_trades,1.0,,22,,22 trades (need >= 10)
validation_gate,outright_call|dte=60-120|PT,activation_rare,1.0,,22,,1.03 activations/yr (max 8.0)
validation_gate,outright_call|dte=60-120|PT,annual_premium_ok,1.0,,22,,0.52% NAV/yr (cap 2.0%)
validation_gate,outright_call|dte=60-120|PT,concurrent_ok,1.0,,22,,max concurrent 1.00% NAV (cap 1.0%)
validation_gate,outright_call|dte=60-120|PT,train_holdout_ok,1.0,,22,,train 0.828/0.817; holdout 2.200/2.179
validation_gate,outright_call|dte=60-120|PT,not_one_regime,1.0,,22,,trades present in 3/3 time-thirds
validation_gate,outright_call|dte=60-120|PT,stress_not_harmful,1.0,,22,,mean options-vs-baseline weekly diff in panic = -0.00001
validation_gate,outright_call|dte=60-120|PT,costs_conservative,1.0,,22,,entry+exit slippage 5% each on gross + IV markup x1.05; held to time-stop
validation_gate,outright_call|dte=60-120|PT,no_lookahead,1.0,,22,,all signals lagged 1wk (verifier re-checks shift relationship)
