group,variant,window,metric,value
reference,etf_baseline,full,cagr,0.07134169431933479
reference,etf_baseline,full,ann_return,0.07179028923478889
reference,etf_baseline,full,ann_vol,0.07523466354534096
reference,etf_baseline,full,sharpe,0.9482556438408204
reference,etf_baseline,full,sortino,1.1760208459590407
reference,etf_baseline,full,max_drawdown,-0.11603457885760937
reference,etf_baseline,full,calmar,0.6148313289168827
reference,etf_baseline,full,var_5,-0.0155902506165986
reference,etf_baseline,full,cvar_5,-0.02494792885739993
reference,etf_baseline,full,hit_rate,0.554954954954955
reference,etf_baseline,full,n_weeks,1110.0
reference,etf_baseline,train,cagr,0.06078003578390767
reference,etf_baseline,train,ann_return,0.06180760636914862
reference,etf_baseline,train,ann_vol,0.07438362069854018
reference,etf_baseline,train,sharpe,0.8171158544464415
reference,etf_baseline,train,sortino,0.9977960973656987
reference,etf_baseline,train,max_drawdown,-0.11603457885760937
reference,etf_baseline,train,calmar,0.5238096814096534
reference,etf_baseline,train,var_5,-0.015468083001715288
reference,etf_baseline,train,cvar_5,-0.024988289222441222
reference,etf_baseline,train,hit_rate,0.5447316103379721
reference,etf_baseline,train,n_weeks,1006.0
reference,etf_baseline,holdout,cagr,0.17909299664100753
reference,etf_baseline,holdout,ann_return,0.16835354849280926
reference,etf_baseline,holdout,ann_vol,0.08220610256668094
reference,etf_baseline,holdout,sharpe,2.178585178584977
reference,etf_baseline,holdout,sortino,3.058182941995818
reference,etf_baseline,holdout,max_drawdown,-0.07285258948618911
reference,etf_baseline,holdout,calmar,2.4582928061185627
reference,etf_baseline,holdout,var_5,-0.01609280452556348
reference,etf_baseline,holdout,cvar_5,-0.02300079828386331
reference,etf_baseline,holdout,hit_rate,0.6538461538461539
reference,etf_baseline,holdout,n_weeks,104.0
reference,v1_rejected,full,cagr,0.0713416943193359
reference,v1_rejected,full,ann_return,0.07686639194167581
reference,v1_rejected,full,ann_vol,0.1236921671047351
reference,v1_rejected,full,sharpe,0.5767680847480668
reference,v1_rejected,full,sortino,0.5777275260548789
reference,v1_rejected,full,max_drawdown,-0.2751324572334205
reference,v1_rejected,full,calmar,0.2592994481156765
reference,v1_rejected,full,var_5,-0.020418015042423975
reference,v1_rejected,full,cvar_5,-0.03951859072749949
reference,v1_rejected,full,hit_rate,0.5387387387387388
reference,v1_rejected,full,n_weeks,1110.0
reference,v1_rejected,train,cagr,0.060242630467030045
reference,v1_rejected,train,ann_return,0.06641844429408042
reference,v1_rejected,train,ann_vol,0.12339036194823885
reference,v1_rejected,train,sharpe,0.4882280067571346
reference,v1_rejected,train,sortino,0.4853034436007971
reference,v1_rejected,train,max_drawdown,-0.2751324572334205
reference,v1_rejected,train,calmar,0.21895864658352762
