window,strategy,metric,value
full,baseline,cagr,0.07134169431933479
full,baseline,ann_return,0.07179028923478889
full,baseline,ann_vol,0.07523466354534096
full,baseline,sharpe,0.9482556438408204
full,baseline,sortino,1.1760208459590407
full,baseline,max_drawdown,-0.11603457885760937
full,baseline,calmar,0.6148313289168827
full,baseline,var_5,-0.0155902506165986
full,baseline,cvar_5,-0.02494792885739993
full,baseline,hit_rate,0.554954954954955
full,baseline,n_weeks,1110.0
full,overlay,cagr,0.07134169431933501
full,overlay,ann_return,0.07686639194167616
full,overlay,ann_vol,0.12369216710473528
full,overlay,sharpe,0.5767680847480589
full,overlay,sortino,0.5777275260548717
full,overlay,max_drawdown,-0.27513245723342095
full,overlay,calmar,0.25929944811567285
full,overlay,var_5,-0.020418015042423996
full,overlay,cvar_5,-0.03951859072749954
full,overlay,hit_rate,0.5387387387387388
full,overlay,n_weeks,1110.0
train,baseline,cagr,0.06078003578390767
train,baseline,ann_return,0.06180760636914862
train,baseline,ann_vol,0.07438362069854018
train,baseline,sharpe,0.8171158544464415
train,baseline,sortino,0.9977960973656987
train,baseline,max_drawdown,-0.11603457885760937
train,baseline,calmar,0.5238096814096534
train,baseline,var_5,-0.015468083001715288
train,baseline,cvar_5,-0.024988289222441222
train,baseline,hit_rate,0.5447316103379721
train,baseline,n_weeks,1006.0
train,overlay,cagr,0.06024263046702938
train,overlay,ann_return,0.06641844429408071
train,overlay,ann_vol,0.12339036194823902
train,overlay,sharpe,0.4882280067571286
train,overlay,sortino,0.48530344360079186
train,overlay,max_drawdown,-0.27513245723342095
train,overlay,calmar,0.21895864658352485
train,overlay,var_5,-0.01948252987870805
train,overlay,cvar_5,-0.038640640907125635
train,overlay,hit_rate,0.5288270377733598
train,overlay,n_weeks,1006.0
holdout,baseline,cagr,0.17909299664100753
holdout,baseline,ann_return,0.16835354849280926
holdout,baseline,ann_vol,0.08220610256668094
holdout,baseline,sharpe,2.178585178584977
holdout,baseline,sortino,3.058182941995818
holdout,baseline,max_drawdown,-0.07285258948618911
holdout,baseline,calmar,2.4582928061185627
holdout,baseline,var_5,-0.01609280452556348
holdout,baseline,cvar_5,-0.02300079828386331
holdout,baseline,hit_rate,0.6538461538461539
holdout,baseline,n_weeks,104.0
holdout,overlay,cagr,0.18488680588127382
holdout,overlay,ann_return,0.17793019322514747
holdout,overlay,ann_vol,0.1263212986947428
holdout,overlay,sharpe,1.4636233777809347
holdout,overlay,sortino,1.5817865177670771
holdout,overlay,max_drawdown,-0.09472882002102556
holdout,overlay,calmar,1.9517482202379088
holdout,overlay,var_5,-0.026095532792522212
holdout,overlay,cvar_5,-0.04278105561406087
holdout,overlay,hit_rate,0.6346153846153846
holdout,overlay,n_weeks,104.0
full,options_sleeve,n_trades,32.0
full,options_sleeve,option_hit_rate,0.4375
full,options_sleeve,avg_trade_return,1.0132657693922436
full,options_sleeve,median_trade_return,-0.7237158211645398
full,options_sleeve,worst_trade_return,-1.0
full,options_sleeve,best_trade_return,14.49281888656201
full,options_sleeve,avg_premium_fraction,0.02
full,options_sleeve,activations_per_year,1.499099099099099
full,options_sleeve,premium_spent_per_year,0.029981981981981983
full,incremental,incremental_cagr,2.220446049250313e-16
full,incremental,incremental_max_drawdown,-0.15909787837581157
full,incremental,incremental_sharpe,-0.37148755909276154
