Date,baseline_equity,overlay_equity,baseline_return,overlay_return
2005-01-07,1.0,1.0,0.0,0.0
2005-01-14,1.0,1.0,0.0,0.0
2005-01-21,1.0,1.0,0.0,0.0
2005-01-28,1.0,1.0,0.0,0.0
2005-02-04,1.0,1.0,0.0,0.0
2005-02-11,1.0,1.0,0.0,0.0
2005-02-18,1.0,1.0,0.0,0.0
2005-02-25,1.0,1.0,0.0,0.0
2005-03-04,1.0,1.0,0.0,0.0
2005-03-11,1.0,1.0,0.0,0.0
2005-03-18,1.0,1.0,0.0,0.0
2005-03-25,1.0,1.0,0.0,0.0
2005-04-01,1.0,1.0,0.0,0.0
2005-04-08,1.0,1.0,0.0,0.0
2005-04-15,1.0,1.0,0.0,0.0
2005-04-22,1.0,1.0,0.0,0.0
2005-04-29,1.0,1.0,0.0,0.0
2005-05-06,1.0,1.0,0.0,0.0
2005-05-13,1.0,1.0,0.0,0.0
2005-05-20,1.0,1.0,0.0,0.0
2005-05-27,1.0,1.0,0.0,0.0
2005-06-03,1.0,1.0,0.0,0.0
2005-06-10,1.0,1.0,0.0,0.0
2005-06-17,1.0,1.0,0.0,0.0
2005-06-24,1.0,1.0,0.0,0.0
2005-07-01,1.0,1.0,0.0,0.0
2005-07-08,1.0,1.0,0.0,0.0
2005-07-15,1.0,1.0,0.0,0.0
2005-07-22,1.0,1.0,0.0,0.0
2005-07-29,1.0,1.0,0.0,0.0
2005-08-05,1.0,1.0,0.0,0.0
2005-08-12,1.0,1.0,0.0,0.0
2005-08-19,1.0,1.0,0.0,0.0
2005-08-26,1.0,1.0,0.0,0.0
2005-09-02,1.0,1.0,0.0,0.0
2005-09-09,1.0,1.0,0.0,0.0
2005-09-16,1.0,1.0,0.0,0.0
2005-09-23,1.0,1.0,0.0,0.0
2005-09-30,1.0,1.0,0.0,0.0
2005-10-07,1.0,1.0,0.0,0.0
2005-10-14,1.0,1.0,0.0,0.0
2005-10-21,1.0,1.0,0.0,0.0
2005-10-28,1.0,1.0,0.0,0.0
2005-11-04,1.0,1.0,0.0,0.0
2005-11-11,1.0,1.0,0.0,0.0
2005-11-18,1.0,1.0,0.0,0.0
2005-11-25,1.0,1.0,0.0,0.0
2005-12-02,1.0,1.0,0.0,0.0
2005-12-09,1.0,1.0,0.0,0.0
2005-12-16,1.0,1.0,0.0,0.0
2005-12-23,1.0,1.0,0.0,0.0
2005-12-30,1.0,1.0,0.0,0.0
2006-01-06,1.0,1.0,0.0,0.0
2006-01-13,1.0,1.0,0.0,0.0
2006-01-20,1.0,1.0,0.0,0.0
2006-01-27,1.0,1.0,0.0,0.0
2006-02-03,1.0,1.0,0.0,0.0
2006-02-10,1.0,1.0,0.0,0.0
2006-02-17,1.0,1.0,0.0,0.0
2006-02-24,1.0,1.0,0.0,0.0
2006-03-03,1.0,1.0,0.0,0.0
2006-03-10,1.0,1.0,0.0,0.0
2006-03-17,1.0,1.0,0.0,0.0
2006-03-24,1.0,1.0,0.0,0.0
2006-03-31,1.0,1.0,0.0,0.0
2006-04-07,1.0,1.0,0.0,0.0
2006-04-14,1.0,1.0,0.0,0.0
2006-04-21,1.0,1.0,0.0,0.0
2006-04-28,1.0,1.0,0.0,0.0
2006-05-05,1.0,1.0,0.0,0.0
2006-05-12,1.0,1.0,0.0,0.0
2006-05-19,1.0,1.0,0.0,0.0
2006-05-26,1.0,1.0,0.0,0.0
2006-06-02,1.0,1.0,0.0,0.0
2006-06-09,1.0,1.0,0.0,0.0
2006-06-16,1.0,1.0,0.0,0.0
2006-06-23,1.0,1.0,0.0,0.0
