underlying,open_date,expiry_date,open_spot,expiry_spot,long_strike,short_strike,sigma,dte_days,entry_cost_per_share,premium_fraction,final_intrinsic,trade_return,etf_buy_hold_return,incremental_return_vs_etf
SPY,2006-11-17,2007-02-16,97.91259765625,102.18128967285156,102.8082275390625,112.59948730468749,0.11235597361896182,91,0.7161282514093866,0.02,0.0,-1.0,0.04359696421892534,-0.020871939284378506
SPY,2007-02-16,2007-05-18,102.18128967285156,107.43680572509766,107.29035415649415,117.50848312377929,0.0827765466606462,91,0.33580195497335247,0.02,0.14645156860350994,-0.5638751757263247,0.05143325230159457,-0.012306168560558385
SPY,2011-02-11,2011-05-13,101.55144500732422,102.70519256591795,106.62901725769044,116.78416175842284,0.12926012987046148,91,0.9923595537106694,0.02,0.0,-1.0,0.01136121261997336,-0.020227224252399468
TLT,2011-07-01,2011-09-30,62.3012580871582,80.8912353515625,65.41632099151612,71.64644680023193,0.11357003867670165,91,0.4666505328732509,0.02,6.230125808715812,12.35073115711625,0.29838847296465976,0.2410468536830318
SPY,2012-02-10,2012-05-11,104.65558624267578,106.09217071533205,109.88836555480958,120.35392417907714,0.26328060118592,91,2.5258403436268075,0.02,0.0,-1.0,0.0137267825276437,-0.020274535650552875
TLT,2012-07-27,2012-10-26,88.1845474243164,84.71105194091797,92.59377479553223,101.41222953796385,0.15482985127558302,91,1.176172629547885,0.02,0.0,-1.0,-0.03938893587200787,-0.01921222128255984
SPY,2012-10-26,2013-01-25,111.74910736083984,119.62774658203124,117.33656272888184,128.5114734649658,0.13969225983772302,91,1.2584916789635154,0.02,2.2911838531493913,0.820579262817529,0.07050292756031706,0.01500152670514424
SPY,2013-01-25,2013-04-26,119.62774658203124,126.5496826171875,125.6091339111328,137.5719085693359,0.12538609224830013,91,1.1018582494767204,0.02,0.9405487060546989,-0.14639772720186872,0.057862295603886116,-0.004085200456115097
SPY,2013-05-17,2013-08-16,133.50735473632812,133.32138061523438,140.18272247314454,153.53345794677733,0.11295981772597281,91,0.9881669651084508,0.02,0.0,-1.0,-0.001392987835472037,-0.01997214024329056
SPY,2014-05-30,2014-08-29,157.19876098632812,164.53475952148438,165.05869903564454,180.77857513427733,0.10482987255649003,91,0.9794553791974262,0.02,0.0,-1.0,0.046667025166911236,-0.020933340503338223
