group,variant,strategy,window,metric,value
reference,v1_rejected,baseline,full,cagr,0.0713416943193347
reference,v1_rejected,baseline,full,ann_return,0.0717902892347888
reference,v1_rejected,baseline,full,ann_vol,0.0752346635453409
reference,v1_rejected,baseline,full,sharpe,0.9482556438408204
reference,v1_rejected,baseline,full,sortino,1.1760208459590409
reference,v1_rejected,baseline,full,max_drawdown,-0.1160345788576093
reference,v1_rejected,baseline,full,calmar,0.6148313289168827
reference,v1_rejected,baseline,full,var_5,-0.0155902506165986
reference,v1_rejected,baseline,full,cvar_5,-0.0249479288573999
reference,v1_rejected,baseline,full,hit_rate,0.554954954954955
reference,v1_rejected,baseline,full,n_weeks,1110.0
reference,v1_rejected,overlay,full,cagr,0.071341694319335
reference,v1_rejected,overlay,full,ann_return,0.0768663919416761
reference,v1_rejected,overlay,full,ann_vol,0.1236921671047352
reference,v1_rejected,overlay,full,sharpe,0.5767680847480589
reference,v1_rejected,overlay,full,sortino,0.5777275260548717
reference,v1_rejected,overlay,full,max_drawdown,-0.2751324572334209
reference,v1_rejected,overlay,full,calmar,0.2592994481156728
reference,v1_rejected,overlay,full,var_5,-0.0204180150424239
reference,v1_rejected,overlay,full,cvar_5,-0.0395185907274995
reference,v1_rejected,overlay,full,hit_rate,0.5387387387387388
reference,v1_rejected,overlay,full,n_weeks,1110.0
reference,v1_rejected,baseline,train,cagr,0.0607800357839076
reference,v1_rejected,baseline,train,ann_return,0.0618076063691486
reference,v1_rejected,baseline,train,ann_vol,0.0743836206985401
reference,v1_rejected,baseline,train,sharpe,0.8171158544464415
reference,v1_rejected,baseline,train,sortino,0.9977960973656989
reference,v1_rejected,baseline,train,max_drawdown,-0.1160345788576093
reference,v1_rejected,baseline,train,calmar,0.5238096814096534
reference,v1_rejected,baseline,train,var_5,-0.0154680830017152
reference,v1_rejected,baseline,train,cvar_5,-0.0249882892224412
reference,v1_rejected,baseline,train,hit_rate,0.5447316103379721
reference,v1_rejected,baseline,train,n_weeks,1006.0
reference,v1_rejected,overlay,train,cagr,0.0602426304670293
reference,v1_rejected,overlay,train,ann_return,0.0664184442940807
reference,v1_rejected,overlay,train,ann_vol,0.123390361948239
reference,v1_rejected,overlay,train,sharpe,0.4882280067571286
reference,v1_rejected,overlay,train,sortino,0.4853034436007918
reference,v1_rejected,overlay,train,max_drawdown,-0.2751324572334209
reference,v1_rejected,overlay,train,calmar,0.2189586465835248
reference,v1_rejected,overlay,train,var_5,-0.019482529878708
reference,v1_rejected,overlay,train,cvar_5,-0.0386406409071256
reference,v1_rejected,overlay,train,hit_rate,0.5288270377733598
reference,v1_rejected,overlay,train,n_weeks,1006.0
reference,v1_rejected,baseline,holdout,cagr,0.1790929966410075
reference,v1_rejected,baseline,holdout,ann_return,0.1683535484928092
reference,v1_rejected,baseline,holdout,ann_vol,0.0822061025666809
reference,v1_rejected,baseline,holdout,sharpe,2.178585178584977
reference,v1_rejected,baseline,holdout,sortino,3.058182941995818
reference,v1_rejected,baseline,holdout,max_drawdown,-0.0728525894861891
reference,v1_rejected,baseline,holdout,calmar,2.4582928061185627
reference,v1_rejected,baseline,holdout,var_5,-0.0160928045255634
reference,v1_rejected,baseline,holdout,cvar_5,-0.0230007982838633
reference,v1_rejected,baseline,holdout,hit_rate,0.6538461538461539
reference,v1_rejected,baseline,holdout,n_weeks,104.0
reference,v1_rejected,overlay,holdout,cagr,0.1848868058812738
reference,v1_rejected,overlay,holdout,ann_return,0.1779301932251474
reference,v1_rejected,overlay,holdout,ann_vol,0.1263212986947428
reference,v1_rejected,overlay,holdout,sharpe,1.4636233777809349
reference,v1_rejected,overlay,holdout,sortino,1.5817865177670771
reference,v1_rejected,overlay,holdout,max_drawdown,-0.0947288200210255
reference,v1_rejected,overlay,holdout,calmar,1.9517482202379088
reference,v1_rejected,overlay,holdout,var_5,-0.0260955327925222
reference,v1_rejected,overlay,holdout,cvar_5,-0.0427810556140608
reference,v1_rejected,overlay,holdout,hit_rate,0.6346153846153846
reference,v1_rejected,overlay,holdout,n_weeks,104.0
reference,v1_rejected,options_sleeve,full,n_trades,32.0
reference,v1_rejected,options_sleeve,full,option_hit_rate,0.4375
reference,v1_rejected,options_sleeve,full,avg_trade_return,1.0132657693922436
reference,v1_rejected,options_sleeve,full,median_trade_return,-0.7237158211645398
reference,v1_rejected,options_sleeve,full,worst_trade_return,-1.0
reference,v1_rejected,options_sleeve,full,best_trade_return,14.49281888656201
reference,v1_rejected,options_sleeve,full,avg_premium_fraction,0.02
reference,v1_rejected,options_sleeve,full,activations_per_year,1.499099099099099
reference,v1_rejected,options_sleeve,full,premium_spent_per_year,0.0299819819819819
reference,v1_rejected,incremental,full,incremental_cagr,2.220446049250313e-16
reference,v1_rejected,incremental,full,incremental_max_drawdown,-0.1590978783758115
reference,v1_rejected,incremental,full,incremental_sharpe,-0.3714875590927615
reference,v2_rejected_main,overlay,full,cagr,0.071341694319335
reference,v2_rejected_main,overlay,full,ann_return,0.0726572388928495
reference,v2_rejected_main,overlay,full,ann_vol,0.0860049041071328
reference,v2_rejected_main,overlay,full,sharpe,0.8295072828692138
reference,v2_rejected_main,overlay,full,sortino,0.9867216910990612
reference,v2_rejected_main,overlay,full,max_drawdown,-0.1885981900662791
reference,v2_rejected_main,overlay,full,calmar,0.3782734834001502
reference,v2_rejected_main,overlay,full,var_5,-0.0171792366153326
reference,v2_rejected_main,overlay,full,cvar_5,-0.0294806038149661
reference,v2_rejected_main,overlay,full,hit_rate,0.5567567567567567
reference,v2_rejected_main,overlay,full,n_weeks,1110.0
reference,v2_rejected_main,overlay,train,cagr,0.0596721292516715
reference,v2_rejected_main,overlay,train,ann_return,0.0617150218199346
reference,v2_rejected_main,overlay,train,ann_vol,0.0862766410762772
reference,v2_rejected_main,overlay,train,sharpe,0.6916371396391683
reference,v2_rejected_main,overlay,train,sortino,0.8120328977074089
reference,v2_rejected_main,overlay,train,max_drawdown,-0.1885981900662791
reference,v2_rejected_main,overlay,train,calmar,0.3163982073778171
reference,v2_rejected_main,overlay,train,var_5,-0.0171831433938688
reference,v2_rejected_main,overlay,train,cvar_5,-0.0299814315691174
reference,v2_rejected_main,overlay,train,hit_rate,0.5467196819085487
reference,v2_rejected_main,overlay,train,n_weeks,1006.0
reference,v2_rejected_main,overlay,holdout,cagr,0.1910718203516608
reference,v2_rejected_main,overlay,holdout,ann_return,0.1785021463481608
reference,v2_rejected_main,overlay,holdout,ann_vol,0.0822912033391768
reference,v2_rejected_main,overlay,holdout,sharpe,2.32189848487361
reference,v2_rejected_main,overlay,holdout,sortino,3.22812396733216
reference,v2_rejected_main,overlay,holdout,max_drawdown,-0.0728525894861893
reference,v2_rejected_main,overlay,holdout,calmar,2.622718309661214
reference,v2_rejected_main,overlay,holdout,var_5,-0.0156590907737291
reference,v2_rejected_main,overlay,holdout,cvar_5,-0.0229439298788604
reference,v2_rejected_main,overlay,holdout,hit_rate,0.6538461538461539
reference,v2_rejected_main,overlay,holdout,n_weeks,104.0
reference,v2_rejected_main,overlay,full,n_trades,27.0
reference,v2_rejected_main,overlay,full,option_hit_rate,0.1111111111111111
reference,v2_rejected_main,overlay,full,avg_trade_return,-0.5248151836731
reference,v2_rejected_main,overlay,full,median_trade_return,-1.0
reference,v2_rejected_main,overlay,full,worst_trade_return,-1.0
reference,v2_rejected_main,overlay,full,best_trade_return,5.736606162295116
reference,v2_rejected_main,overlay,full,avg_premium_fraction,0.01
reference,v2_rejected_main,overlay,full,activations_per_year,1.2648648648648648
reference,v2_rejected_main,overlay,full,premium_spent_per_year,0.0126486486486486
reference,v2_rejected_main,overlay,full,avg_dte,60.0
reference,v2_rejected_main,overlay,full,avg_moneyness,0.05
reference,v2_rejected_main,overlay,full,sharpe_ex_best,0.776386057396712
recovery_variant,outright_call|dte=60-90|PT,baseline,full,cagr,0.07134169431933479
recovery_variant,outright_call|dte=60-90|PT,baseline,full,ann_return,0.07179028923478889
recovery_variant,outright_call|dte=60-90|PT,baseline,full,ann_vol,0.07523466354534096
recovery_variant,outright_call|dte=60-90|PT,baseline,full,sharpe,0.9482556438408204
recovery_variant,outright_call|dte=60-90|PT,baseline,full,sortino,1.1760208459590407
recovery_variant,outright_call|dte=60-90|PT,baseline,full,max_drawdown,-0.11603457885760937
recovery_variant,outright_call|dte=60-90|PT,baseline,full,calmar,0.6148313289168827
recovery_variant,outright_call|dte=60-90|PT,baseline,full,var_5,-0.0155902506165986
recovery_variant,outright_call|dte=60-90|PT,baseline,full,cvar_5,-0.02494792885739993
recovery_variant,outright_call|dte=60-90|PT,baseline,full,hit_rate,0.554954954954955
recovery_variant,outright_call|dte=60-90|PT,baseline,full,n_weeks,1110.0
recovery_variant,outright_call|dte=60-90|PT,baseline,full,cvar_1,-0.03806773897428264
recovery_variant,outright_call|dte=60-90|PT,baseline,train,cagr,0.06078003578390767
recovery_variant,outright_call|dte=60-90|PT,baseline,train,ann_return,0.06180760636914862
