underlying,open_date,expiry_date,structure,dte_bucket,dte_days,ablation_level,open_spot,expiry_spot,long_strike,moneyness_long_otm,sigma,entry_cost_per_share,premium_fraction,final_intrinsic,trade_return,etf_buy_hold_return,incremental_return_vs_etf,expected_move,breakeven_move,surplus,accel_4w,vol_percentile,dd_recovery
SPY,2011-02-11,2011-04-15,spread_3_7_10_20,45-75,60,5,101.55144500732422,101.17269134521484,106.62901725769044,0.050000000000000044,0.11588718451928723,0.4718183295052998,0.01,0.0,-1.0,-0.0037296727986693146,-0.009962703272013308,0.07262692703479023,0.05464610158399297,0.017980825450797266,0.004799848720338895,0.057692307692307696,1.0
IWM,2011-02-11,2011-04-15,spread_3_7_10_20,45-75,60,5,66.73897552490234,68.05175018310547,70.07592430114747,0.050000000000000044,0.16460917918799836,0.6988233493067915,0.01,0.0,-1.0,0.01967028483548261,-0.010196702848354826,0.08539835247689115,0.06047099305631454,0.02492735942057661,0.0027179670090056174,0.21153846153846154,0.9683037331079881
GLD,2011-04-22,2011-06-24,spread_3_7_10_20,45-75,60,5,146.74000549316406,146.25999450683594,154.07700576782227,0.050000000000000044,0.09420599643729279,0.3598595567624652,0.01,0.0,-1.0,-0.0032711664737568036,-0.009967288335262432,0.08024882318786308,0.0524523616143604,0.027796461573502684,0.026416945524417645,0.07692307692307693,1.0
IWM,2011-04-29,2011-07-01,spread_3_7_10_20,45-75,60,5,70.3986587524414,68.52436828613281,73.91859169006348,0.050000000000000044,0.14929950682510437,0.6060161435292809,0.01,0.0,-1.0,-0.02662395135821527,-0.009733760486417848,0.06991606385473603,0.058608347861574206,0.011307715993161827,0.02454720871719629,0.15384615384615385,0.9964351602380463
SPY,2012-08-31,2012-11-02,spread_3_7_10_20,45-75,60,5,111.00631713867188,111.91510009765624,116.55663299560547,0.050000000000000044,0.1209453513620089,0.5790547105386371,0.01,0.0,-1.0,0.008186767946269935,-0.0100818676794627,0.08241610549809392,0.05521641223188478,0.027199693266209135,0.001451301469891364,0.19230769230769232,0.9782571525466217
QQQ,2012-08-31,2012-11-02,spread_3_7_10_20,45-75,60,5,60.510040283203125,58.02061080932617,63.535542297363286,0.050000000000000044,0.12306073291014032,0.33035893156398877,0.01,0.0,-1.0,-0.04114076708965586,-0.009588592329103442,0.09977979909327395,0.05545957216385622,0.04432022692941773,0.04165433730167001,0.15384615384615385,0.9981521752361315
GLD,2012-09-28,2012-11-30,spread_3_7_10_20,45-75,60,5,171.88999938964844,166.0500030517578,180.48449935913087,0.050000000000000044,0.10926830736395973,0.6751946362307015,0.009999999999999998,0.0,-1.0,-0.03397519552404116,-0.009660248044759586,0.08104583418055217,0.05392806235748582,0.02711777182306635,0.03355822784129292,0.019230769230769232,0.908966777930111
SPY,2013-03-22,2013-05-24,spread_3_7_10_20,45-75,60,5,124.43840026855467,132.2038116455078,130.66032028198242,0.050000000000000044,0.10926613046071952,0.4887731560879896,0.01,1.5434913635253906,2.157888980399589,0.062403658036380705,0.02095485322363208,0.07213244877741859,0.053927832204795134,0.018204616572623455,0.0035285688334267817,0.40384615384615385,1.0
IWM,2013-03-29,2013-05-31,spread_3_7_10_20,45-75,60,5,79.69732666015625,82.54153442382812,83.68219299316407,0.050000000000000044,0.1427083740476,0.6219662671956138,0.01,0.0,-1.0,0.035687618178211755,-0.010356876181782118,0.10568909763534595,0.05780410451968865,0.047884993115657304,0.02226484339660706,0.25,0.9734332083059338
SPY,2013-05-24,2013-07-26,spread_3_7_10_20,45-75,60,5,132.2038116455078,135.95840454101562,138.81400222778322,0.050000000000000044,0.10311403101478105,0.43565808394399885,0.01,0.0,-1.0,0.028400035133445245,-0.010284000351334453,0.07798001008769478,0.053295351915511935,0.02468465817218285,0.07447899987470163,0.3076923076923077,1.0
QQQ,2014-09-12,2014-11-14,spread_3_7_10_20,45-75,60,5,90.92728424072266,94.5701904296875,95.4736484527588,0.050000000000000044,0.09280197359562056,0.21171906257098147,0.01,0.0,-1.0,0.04006395021455322,-0.010400639502145533,0.06367854098077075,0.052328443704647176,0.011350097276123572,0.056464106850705575,0.15384615384615385,1.0
GLD,2016-08-26,2016-10-28,spread_3_7_10_20,45-75,60,5,126.0500030517578,121.58000183105467,132.35250320434568,0.050000000000000044,0.15182131350990247,1.1239123762849936,0.01,0.0,-1.0,-0.03546212703277507,-0.00964537872967225,0.08011156059122848,0.05891640102399287,0.02119515956723561,0.010043783728068023,0.19230769230769232,0.9128799904495738
SPY,2017-02-03,2017-04-07,spread_3_7_10_20,45-75,60,5,198.0077362060547,203.95053100585935,207.90812301635742,0.050000000000000044,0.11951753676350947,1.000683642662065,0.01,0.0,-1.0,0.030012942492410266,-0.010300129424924103,0.07828907320934475,0.05505376033197362,0.023235312877371128,0.0008142459969977534,0.6153846153846154,1.0
QQQ,2017-02-17,2017-04-21,spread_3_7_10_20,45-75,60,5,121.9268798828125,124.76885986328124,128.02322387695312,0.050000000000000044,0.12171698317310527,0.6467998598434975,0.01,0.0,-1.0,0.02330888794333319,-0.010233088879433331,0.06671910187573066,0.055304817612532586,0.011414284263198071,0.004498077381962284,0.17307692307692307,1.0
SPY,2019-04-26,2019-06-28,spread_3_7_10_20,45-75,60,5,264.3140563964844,265.2284240722656,277.5297592163086,0.050000000000000044,0.10541445793268212,0.9323669993217196,0.01,0.0,-1.0,0.003459398596681762,-0.010034593985966818,0.07200733116392466,0.05352749684232894,0.018479834321595723,0.033767439794849086,0.3269230769230769,0.9972289815534804
SPY,2019-11-22,2020-01-24,spread_3_7_10_20,45-75,60,5,282.785888671875,300.4521789550781,296.92518310546876,0.050000000000000044,0.08707801611289916,0.523556782842674,0.01,3.5269958496093636,5.736606162295116,0.06247231913223872,0.05674133843162878,0.07472315912237493,0.05185142471324,0.022871734409134925,0.04741998174773199,0.019230769230769232,1.0
QQQ,2020-08-28,2020-10-30,spread_3_7_10_20,45-75,60,5,283.00885009765625,260.61236572265625,297.1592926025391,0.050000000000000044,0.19027695193771518,3.815032348581335,0.01,0.0,-1.0,-0.07913704595199678,-0.009208629540480032,0.1574824154047081,0.06348025811653923,0.09400215728816885,0.03909196931842818,0.5384615384615384,1.0
SPY,2020-09-04,2020-11-06,spread_3_7_10_20,45-75,60,5,316.290283203125,324.5921630859375,332.10479736328125,0.050000000000000044,0.19885323396534882,4.565782058872885,0.01,0.0,-1.0,0.026247660214970825,-0.010262476602149708,0.0769936819203369,0.06443541677168985,0.012558265148647052,0.027918689946889508,0.5192307692307693,1.0
SPY,2020-12-25,2021-02-26,spread_3_7_10_20,45-75,60,5,343.5145568847656,354.09002685546875,360.6902847290039,0.050000000000000044,0.22424055286505698,5.868176381130211,0.01,0.0,-1.0,0.030786089726761556,-0.010307860897267616,0.0958771373304444,0.0670827589792613,0.028794378351183092,0.015788001349993808,0.5,1.0
QQQ,2020-12-25,2021-02-26,spread_3_7_10_20,45-75,60,5,300.0273132324219,304.46636962890625,315.02867889404297,0.050000000000000044,0.25899232581917175,6.075736528831915,0.01,0.0,-1.0,0.01479550761115389,-0.010147955076111539,0.10632998159104995,0.07025061139725364,0.03607937019379631,0.047966192370047844,0.5192307692307693,1.0
IWM,2020-12-25,2021-02-26,spread_3_7_10_20,45-75,60,5,186.81396484375,204.93118286132812,196.1546630859375,0.050000000000000044,0.2931139811143573,4.273695843205655,0.009999999999999998,8.776519775390625,1.0536135694690545,0.09697999843176208,0.009566335710372922,0.2537718786334458,0.07287674717883186,0.18089513145461394,0.01545163994574561,0.38461538461538464,1.0
QQQ,2021-09-03,2021-11-05,spread_3_7_10_20,45-75,60,5,370.7165832519531,387.6915283203125,389.2524124145508,0.050000000000000044,0.09798416766730399,1.037405498534268,0.01,0.0,-1.0,0.04578954876918084,-0.010457895487691809,0.09135015073421787,0.05279837899193529,0.03855177174228258,0.014927115105694666,0.057692307692307696,1.0
SPY,2023-06-09,2023-08-11,spread_3_7_10_20,45-75,60,5,413.6953430175781,430.4446105957031,434.38011016845707,0.050000000000000044,0.14308899703905772,3.247696887789711,0.01,0.0,-1.0,0.04048696186897449,-0.010404869618689746,0.08481869606548842,0.05785045551661372,0.0269682405488747,0.028647966580898965,0.057692307692307696,1.0
SPY,2024-02-16,2024-04-19,spread_3_7_10_20,45-75,60,5,486.1318664550781,483.3956298828125,510.43845977783207,0.050000000000000044,0.07642965224545006,0.5336424593113316,0.01,0.0,-1.0,-0.005628589197862133,-0.00994371410802138,0.08725034079913563,0.051097731903902543,0.036152608895233085,0.03577849716820247,0.038461538461538464,1.0
