group,variant,strategy,window,metric,value
reference,prior_recovery_main,baseline,full,cagr,0.0713416943193347
reference,prior_recovery_main,baseline,full,ann_return,0.0717902892347888
reference,prior_recovery_main,baseline,full,ann_vol,0.0752346635453409
reference,prior_recovery_main,baseline,full,sharpe,0.9482556438408204
reference,prior_recovery_main,baseline,full,sortino,1.1760208459590409
reference,prior_recovery_main,baseline,full,max_drawdown,-0.1160345788576093
reference,prior_recovery_main,baseline,full,calmar,0.6148313289168827
reference,prior_recovery_main,baseline,full,var_5,-0.0155902506165986
reference,prior_recovery_main,baseline,full,cvar_5,-0.0249479288573999
reference,prior_recovery_main,baseline,full,hit_rate,0.554954954954955
reference,prior_recovery_main,baseline,full,n_weeks,1110.0
reference,prior_recovery_main,baseline,full,cvar_1,-0.0380677389742826
reference,prior_recovery_main,baseline,train,cagr,0.0607800357839076
reference,prior_recovery_main,baseline,train,ann_return,0.0618076063691486
reference,prior_recovery_main,baseline,train,ann_vol,0.0743836206985401
reference,prior_recovery_main,baseline,train,sharpe,0.8171158544464415
reference,prior_recovery_main,baseline,train,sortino,0.9977960973656989
reference,prior_recovery_main,baseline,train,max_drawdown,-0.1160345788576093
reference,prior_recovery_main,baseline,train,calmar,0.5238096814096534
reference,prior_recovery_main,baseline,train,var_5,-0.0154680830017152
reference,prior_recovery_main,baseline,train,cvar_5,-0.0249882892224412
reference,prior_recovery_main,baseline,train,hit_rate,0.5447316103379721
reference,prior_recovery_main,baseline,train,n_weeks,1006.0
reference,prior_recovery_main,baseline,holdout,cagr,0.1790929966410075
reference,prior_recovery_main,baseline,holdout,ann_return,0.1683535484928092
reference,prior_recovery_main,baseline,holdout,ann_vol,0.0822061025666809
reference,prior_recovery_main,baseline,holdout,sharpe,2.178585178584977
reference,prior_recovery_main,baseline,holdout,sortino,3.058182941995818
reference,prior_recovery_main,baseline,holdout,max_drawdown,-0.0728525894861891
reference,prior_recovery_main,baseline,holdout,calmar,2.4582928061185627
reference,prior_recovery_main,baseline,holdout,var_5,-0.0160928045255634
reference,prior_recovery_main,baseline,holdout,cvar_5,-0.0230007982838633
reference,prior_recovery_main,baseline,holdout,hit_rate,0.6538461538461539
