method,cost_bps,decision_date,realization_date,gross_return,net_return,turnover,cost,wealth,drawdown
minimum_variance,10.0,2005-01-07,2005-01-14,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-01-14,2005-01-21,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-01-21,2005-01-28,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-01-28,2005-02-04,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-02-04,2005-02-11,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-02-11,2005-02-18,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-02-18,2005-02-25,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-02-25,2005-03-04,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-03-04,2005-03-11,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-03-11,2005-03-18,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-03-18,2005-03-25,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-03-25,2005-04-01,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-04-01,2005-04-08,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-04-08,2005-04-15,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-04-15,2005-04-22,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-04-22,2005-04-29,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-04-29,2005-05-06,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-05-06,2005-05-13,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-05-13,2005-05-20,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-05-20,2005-05-27,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-05-27,2005-06-03,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-06-03,2005-06-10,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-06-10,2005-06-17,0.0,0.0,0.0,0.0,1.0,0.0
minimum_variance,10.0,2005-06-17,2005-06-24,0.0,0.0,0.0,0.0,1.0,0.0
