method,observations,samples,block_weeks,one_sided_alpha,mean_sharpe_difference,one_sided_lower_sharpe_difference,pass
CDAR,1126,20000,13,0.0125,0.0017151682359774032,-0.03892235965405155,False
MAX_DRAWDOWN,1126,20000,13,0.0125,-0.010177604419801744,-0.06873831831578359,False
EDAR,1126,20000,13,0.0125,0.007870936473676052,-0.0490450775064013,False
ULCER_INDEX,1126,20000,13,0.0125,-0.016606681538727085,-0.0892406123586017,False
