method,cost_bps,observations,years,total_return,annual_return,annual_volatility,sharpe_zero_rf,sortino_zero_target,max_drawdown,max_drawdown_duration_weeks,calmar,cvar_5_weekly,positive_week_share,worst_week,best_week,average_annual_turnover,total_cost,oos_2016_2020_annual_return,oos_2016_2020_sharpe,oos_2021_present_annual_return,oos_2021_present_sharpe,maximum_realized_asset_weight,maximum_sleeve_weight,unpriced_exposure_events,fully_invested_pass
minimum_variance,10.0,1126,21.653846153846153,4.112124096948341,0.0782613610745202,0.08802759527904735,0.9009141452045025,1.282173652921629,-0.23390268432554384,97,0.33458940969483136,-0.028810557611691042,0.5790408525754884,-0.11096301469862585,0.10397996466937298,2.902434833685173,0.06284887736018278,0.06303311921725574,0.6133760567842634,0.0971610962528513,1.1015690223603842,0.35,0.8,0,True
minimum_variance,50.0,1126,21.653846153846153,2.976836317533323,0.06582856277216576,0.08805136475279825,0.7688190479561966,1.0811597241046211,-0.2350043235630217,103,0.2801163900906374,-0.02904340714211844,0.5701598579040853,-0.11096301469862585,0.10397996466937298,2.902434833685173,0.31424438680091393,0.049892412753816506,0.5002415140250087,0.08174693144339962,0.9385742972885484,0.35,0.8,0,True
minimum_variance,100.0,1126,21.653846153846153,1.903987602436045,0.050465130079802245,0.08829741121808292,0.602321081879834,0.8347176275195201,-0.23638137260986858,113,0.21349029969079467,-0.029396869556363368,0.5630550621669627,-0.11096301469862585,0.10397996466937298,2.902434833685173,0.6284887736018279,0.03366790641321016,0.357813537103804,0.06275011782070172,0.7331854675446196,0.35,0.8,0,True
CDAR,10.0,1126,21.653846153846153,4.288240406758173,0.07994927861697376,0.08962227572130677,0.9039367184515009,1.2904765039914798,-0.23390268432580552,99,0.34180573364267836,-0.029268728321667607,0.5817051509769094,-0.11096301469657881,0.10397996467023658,2.8764366093776865,0.06228591581075529,0.06300116647776255,0.6131041863793464,0.0979628368909593,1.0987675537435604,0.35,0.7999999999976517,0,True
CDAR,50.0,1126,21.653846153846153,3.1234202823489703,0.0676116822181494,0.08960901017172838,0.775671098754,1.0943268714467052,-0.23500432356348322,109,0.28770399281562586,-0.029465397125607223,0.5719360568383659,-0.11096301469657881,0.10397996467023658,2.8764366093776865,0.31142957905377644,0.04986710388353499,0.5000229458384614,0.08235635775444083,0.9365874584912659,0.35,0.7999999999976517,0,True
CDAR,100.0,1126,21.653846153846153,2.01979816161096,0.05236390266894886,0.08980519669526625,0.6138279115219644,0.8535284966274556,-0.23638137261058068,114,0.22152296558161622,-0.029747641109771152,0.5648312611012434,-0.11096301469657881,0.10397996467023658,2.8764366093776865,0.6228591581075529,0.03365068857780007,0.3576624108358315,0.06312619770893169,0.7317333901651384,0.35,0.7999999999976517,0,True
MAX_DRAWDOWN,10.0,1126,21.653846153846153,4.206167676751852,0.07916946422223092,0.09003129071538192,0.8922059582990071,1.2725420279712634,-0.233902684326168,99,0.3384718069837636,-0.029513201148368376,0.5817051509769094,-0.11096301469624684,0.10397996467037667,2.8516650659797307,0.061749516621022627,0.06300116678461731,0.6131041886879655,0.09308809261668816,1.0431749911324975,0.35,0.7999999999964105,0,True
MAX_DRAWDOWN,50.0,1126,21.653846153846153,3.0679983932922523,0.06694471974107907,0.09003464225956259,0.7654808417742662,1.0794002035252552,-0.23500432356387257,109,0.284865906830365,-0.02970552099933305,0.5719360568383659,-0.11096301469624684,0.10397996467037667,2.8516650659797307,0.30874758310511313,0.04986710423645957,0.5000229486557032,0.07779877748342945,0.8838258905956067,0.35,0.7999999999964105,0,True
MAX_DRAWDOWN,100.0,1126,21.653846153846153,1.9870806129053147,0.05183461979698967,0.09025040282378056,0.605664536728175,0.8421659577532813,-0.23638137261100356,114,0.21928385991010513,-0.029964509303798424,0.5648312611012434,-0.11096301469624684,0.10397996467037667,2.8516650659797307,0.6174951662102263,0.033650688986894384,0.35766241429251744,0.058954072107833655,0.6830866146802098,0.35,0.7999999999964105,0,True
EDAR,10.0,1126,21.653846153846153,4.410540767258443,0.08109015858730095,0.0901545496524353,0.9108566133469759,1.3034029311862017,-0.2339026843244475,99,0.34668331755791404,-0.029402005208768192,0.5817051509769094,-0.11096301469599712,0.10397996466828247,2.8477797156444695,0.06166538384260909,0.06841396086968499,0.655715560511919,0.09650507844411038,1.0791952160200438,0.35,0.7999999999798691,0,True
EDAR,50.0,1126,21.653846153846153,3.2293160735952933,0.06886262018214206,0.09013655713810007,0.7846621965303071,1.1098184356405842,-0.23500432356197953,109,0.2930270351557187,-0.029594461787492088,0.5719360568383659,-0.11096301469599712,0.10397996466828247,2.8477797156444695,0.30832691921304545,0.055466324930809385,0.5456196116093592,0.08108367059428168,0.9195283824808523,0.35,0.7999999999798691,0,True
EDAR,100.0,1126,21.653846153846153,2.1070457969026126,0.053749039735724535,0.0903224288358032,0.6254022512628378,0.8720497854532362,-0.23638137260889436,114,0.22738272116160016,-0.029865739458842026,0.5648312611012434,-0.11096301469599712,0.10397996466828247,2.8477797156444695,0.6166538384260909,0.03947668594420328,0.40696658671757047,0.06207813081455149,0.7178583966387411,0.35,0.7999999999798691,0,True
ULCER_INDEX,10.0,1126,21.653846153846153,4.273550100169957,0.07981055065620102,0.09137694688141515,0.8868938659989581,1.271170675238829,-0.23390268454944774,98,0.34121263212491615,-0.029940629605622205,0.5825932504440497,-0.11096301465419992,0.10397996468811602,2.8193454409458005,0.06104967243278791,0.060889430203576955,0.5924965427182968,0.10283008721475295,1.0596046772526562,0.35,0.7999999994939184,0,True
ULCER_INDEX,50.0,1126,21.653846153846153,3.1324608879231404,0.06771966748137914,0.09134595039600936,0.7637368883525715,1.0820432506433264,-0.23500432379159764,109,0.288163495840328,-0.030134256786897604,0.5737122557726465,-0.11096301465419992,0.10397996468811602,2.8193454409458005,0.3052483621639396,0.048116193847195454,0.4829841555194603,0.08821432234796367,0.921610972504947,0.35,0.7999999994939184,0,True
ULCER_INDEX,100.0,1126,21.653846153846153,2.045351849873106,0.05277350272841064,0.09150680977684879,0.6083431916168869,0.8497378567667041,-0.2363813728442853,113,0.22325575866409256,-0.030391414767799007,0.5639431616341031,-0.11096301465419992,0.10397996468811602,2.8193454409458005,0.6104967243278792,0.032340311991563286,0.3450615178706415,0.07018580037757793,0.7472252325241631,0.35,0.7999999994939184,0,True
