variant,base,p_cand_gt_base,mean_sharpe_delta,ci_low,ci_high
o1_vix_ts_stress_gate__stacked,production_pin,0.3335,-0.0012979870500936723,-0.006943389799518751,0.0037155474636151255
o1_vix_ts_stress_gate__stacked,ggg_baseline,0.8975,0.01116959998703326,-0.006714184045758086,0.028616664563369316
o2_canary_cash_gate__stacked,production_pin,0.653,0.0018239216692743328,-0.008176697815828573,0.011149489364071842
o2_canary_cash_gate__stacked,ggg_baseline,0.9215,0.014291508706401265,-0.006129348511626609,0.03392296723260511
o3_absorption_fragility__stacked,production_pin,0.3685,-0.0015408975696568333,-0.011878201676384032,0.00800706404503683
o3_absorption_fragility__stacked,ggg_baseline,0.8635,0.0109266894674701,-0.0089936763153261,0.03005698972495562
o4_vol_managed_offense__stacked,production_pin,0.5955,0.005488784434135173,-0.033762526620913835,0.047517081249566655
o4_vol_managed_offense__stacked,ggg_baseline,0.8075,0.017956371471262104,-0.022439460574358965,0.0603820234245215
