overlay,param_persist_weeks,param_derisk_mult,param_rerisk_mult,param_rerisk_window_weeks,full_sharpe_delta_vs_pin,holdout_sharpe_delta_vs_pin,max_dd_delta_vs_pin,turnover_delta,is_primary,param_less_cash_mult,param_more_cash_mult,param_confirm_weeks,param_threshold,param_scale,param_n_components,param_vol_window,param_clip_low,param_clip_high,param_update_every
o1_vix_ts_stress_gate,1.0,0.85,1.0,4.0,-0.004336244204770523,-0.006759144005551221,0.0,0.0011432527949715998,False,,,,,,,,,,
o1_vix_ts_stress_gate,1.0,0.85,1.06,4.0,-0.0021793925880735365,-0.006304923117606442,1.2248712071949441e-05,0.001624597000023098,False,,,,,,,,,,
o1_vix_ts_stress_gate,1.0,0.85,1.1,4.0,-0.0012183462846024895,-0.004960509451493067,1.1653286411728025e-05,0.001893326889023897,False,,,,,,,,,,
o1_vix_ts_stress_gate,1.0,0.9,1.0,4.0,-0.002481239302916549,-0.004377565660981464,1.1102230246251565e-16,0.0003201458188734352,False,,,,,,,,,,
o1_vix_ts_stress_gate,1.0,0.9,1.06,4.0,-0.0003191771863892967,-0.003919123554512627,1.2248712071838419e-05,0.0007897069591616263,False,,,,,,,,,,
o1_vix_ts_stress_gate,1.0,0.9,1.1,4.0,0.0006414882989683734,-0.0025715184040251415,1.165328641195007e-05,0.0010570545641348794,False,,,,,,,,,,
o1_vix_ts_stress_gate,1.0,0.95,1.0,4.0,-0.0009650094388545805,-0.0021210760293763897,0.0,-0.00016015635872176914,False,,,,,,,,,,
o1_vix_ts_stress_gate,1.0,0.95,1.06,4.0,0.0012371631801464389,-0.001663656200351138,1.2248712071949441e-05,0.0002567518290307741,False,,,,,,,,,,
o1_vix_ts_stress_gate,1.0,0.95,1.1,4.0,0.002201458518362953,-0.00031678154201886244,1.165328641195007e-05,0.0005175105350006259,False,,,,,,,,,,
o1_vix_ts_stress_gate,2.0,0.85,1.0,4.0,-0.0011076901454248889,0.0,0.0,0.00017954548556067818,False,,,,,,,,,,
o1_vix_ts_stress_gate,2.0,0.85,1.06,4.0,-0.001814313478284868,0.0,1.1102230246251565e-16,0.00031438804364557205,False,,,,,,,,,,
o1_vix_ts_stress_gate,2.0,0.85,1.1,4.0,-0.002775673212840224,0.0,1.1102230246251565e-16,0.0003466997799227989,False,,,,,,,,,,
o1_vix_ts_stress_gate,2.0,0.9,1.0,4.0,-0.0006531180601450082,0.0,1.1102230246251565e-16,3.8745595377934205e-05,False,,,,,,,,,,
o1_vix_ts_stress_gate,2.0,0.9,1.06,4.0,-0.0013591829342507467,0.0,0.0,0.0001735881534628142,True,,,,,,,,,,
o1_vix_ts_stress_gate,2.0,0.9,1.1,4.0,-0.0023199194534344603,0.0,1.1102230246251565e-16,0.0002058998897400549,False,,,,,,,,,,
o1_vix_ts_stress_gate,2.0,0.95,1.0,4.0,-0.0002640446791717377,0.0,0.0,-5.031110145545248e-05,False,,,,,,,,,,
o1_vix_ts_stress_gate,2.0,0.95,1.06,4.0,-0.0009663811681853707,0.0,-1.1102230246251565e-16,8.025091217628288e-05,False,,,,,,,,,,
o1_vix_ts_stress_gate,2.0,0.95,1.1,4.0,-0.0019264184801394135,0.0,1.1102230246251565e-16,0.00011254483934472481,False,,,,,,,,,,
o1_vix_ts_stress_gate,3.0,0.85,1.0,4.0,0.0009549643803765662,0.0,0.0,0.00011249440878068062,False,,,,,,,,,,
o1_vix_ts_stress_gate,3.0,0.85,1.06,4.0,0.00024245413355594714,0.0,1.1102230246251565e-16,0.000186342713474702,False,,,,,,,,,,
o1_vix_ts_stress_gate,3.0,0.85,1.1,4.0,-0.00042484038208645547,0.0,1.1102230246251565e-16,0.00022732859174841302,False,,,,,,,,,,
o1_vix_ts_stress_gate,3.0,0.9,1.0,4.0,0.0006756380015555674,0.0,2.220446049250313e-16,5.38296704123975e-05,False,,,,,,,,,,
o1_vix_ts_stress_gate,3.0,0.9,1.06,4.0,-3.6027522824944036e-05,0.0,0.0,0.00012767797510641887,False,,,,,,,,,,
o1_vix_ts_stress_gate,3.0,0.9,1.1,4.0,-0.0007026950044466407,0.0,0.0,0.0001686638533801299,False,,,,,,,,,,
o1_vix_ts_stress_gate,3.0,0.95,1.0,4.0,0.00035805583731984836,0.0,-1.1102230246251565e-16,1.549236514818142e-05,False,,,,,,,,,,
o1_vix_ts_stress_gate,3.0,0.95,1.06,4.0,-0.0003527135273952986,0.0,1.1102230246251565e-16,8.934066984220279e-05,False,,,,,,,,,,
o1_vix_ts_stress_gate,3.0,0.95,1.1,4.0,-0.0010187160826685693,0.0,1.1102230246251565e-16,0.00013032654811591382,False,,,,,,,,,,
o2_canary_cash_gate,,,,,0.0,0.0,0.0,0.0,False,1.0,1.0,2.0,,,,,,,
o2_canary_cash_gate,,,,,-0.0009603196152576654,-0.000834398034301298,2.220446049250313e-16,0.00038382734236828975,False,1.0,1.06,2.0,,,,,,,
o2_canary_cash_gate,,,,,-0.0027025253468064836,-0.003134996083674846,0.0,0.001372086109785231,False,1.0,1.12,2.0,,,,,,,
o2_canary_cash_gate,,,,,0.0018347807670728855,-0.017437299760583613,8.553803169664143e-06,0.0006581494118078485,False,0.97,1.0,2.0,,,,,,,
o2_canary_cash_gate,,,,,0.0008275374950172942,-0.01879182497571108,8.55380316955312e-06,0.001056900714224221,True,0.97,1.06,2.0,,,,,,,
o2_canary_cash_gate,,,,,-0.0009588863171156037,-0.021580073852117465,8.55380316955312e-06,0.002068794398177601,False,0.97,1.12,2.0,,,,,,,
o2_canary_cash_gate,,,,,0.004848772567961679,-0.023845403636274742,-3.061291995232196e-06,0.0014092561974914375,False,0.94,1.0,2.0,,,,,,,
o2_canary_cash_gate,,,,,0.0038052150341264523,-0.025535902368520436,-3.0612919951211737e-06,0.0018344368999992922,False,0.94,1.06,2.0,,,,,,,
o2_canary_cash_gate,,,,,0.001997625120105928,-0.028623828897268666,-3.0612919951211737e-06,0.0028575364211529952,False,0.94,1.12,2.0,,,,,,,
o3_absorption_fragility,,,,,-0.006734952611749945,-0.02293385065698539,-1.1102230246251565e-16,0.0005349707959885069,False,,,,0.75,0.88,1.0,,,,
o3_absorption_fragility,,,,,-0.003034118871285685,-0.023334851580058213,0.0,0.0006932273485285717,False,,,,0.75,0.88,2.0,,,,
o3_absorption_fragility,,,,,-0.004045390873935961,-0.014373261013623129,1.1102230246251565e-16,0.00017929654938515782,False,,,,0.75,0.92,1.0,,,,
o3_absorption_fragility,,,,,-0.0015789063427694705,-0.014707547258301812,0.0,0.0001715423382068898,False,,,,0.75,0.92,2.0,,,,
o3_absorption_fragility,,,,,-0.0017626825218036712,-0.006724846336459311,1.1102230246251565e-16,-6.242246264427653e-05,False,,,,0.75,0.96,1.0,,,,
o3_absorption_fragility,,,,,-0.0004994087878018583,-0.006657976293894752,0.0,-0.00015634569715583524,False,,,,0.75,0.96,2.0,,,,
o3_absorption_fragility,,,,,-0.01290311744651551,-0.04809675434747929,0.0,0.0012494990802852934,False,,,,1.0,0.88,1.0,,,,
o3_absorption_fragility,,,,,-0.0028960126401007535,-0.035010032875016694,0.0,0.0003269838847318879,False,,,,1.0,0.88,2.0,,,,
o3_absorption_fragility,,,,,-0.008196670781848492,-0.03127412792495221,-1.1102230246251565e-16,0.0006208301947126654,False,,,,1.0,0.92,1.0,,,,
o3_absorption_fragility,,,,,-0.0016478559237869117,-0.022934840711581472,1.1102230246251565e-16,4.791622486896574e-05,True,,,,1.0,0.92,2.0,,,,
o3_absorption_fragility,,,,,-0.0038326929731491433,-0.014939261358509981,1.1102230246251565e-16,0.00011965900649538175,False,,,,1.0,0.96,1.0,,,,
o3_absorption_fragility,,,,,-0.0006354567953638091,-0.011240922597973046,1.1102230246251565e-16,-0.00013022614719396253,False,,,,1.0,0.96,2.0,,,,
o3_absorption_fragility,,,,,-0.012921493503134318,-0.02349699666903371,1.1102230246251565e-16,0.0007805499904306734,False,,,,1.25,0.88,1.0,,,,
o3_absorption_fragility,,,,,-0.00639244135448791,-0.02243750015900936,0.0,0.0007026561372113632,False,,,,1.25,0.88,2.0,,,,
o3_absorption_fragility,,,,,-0.008406784502465237,-0.01553025168399813,1.1102230246251565e-16,0.0004108185504185097,False,,,,1.25,0.92,1.0,,,,
o3_absorption_fragility,,,,,-0.004088849367692271,-0.01461950472180451,0.0,0.00035884878639830253,False,,,,1.25,0.92,2.0,,,,
o3_absorption_fragility,,,,,-0.004054309750950558,-0.0076975827582703715,1.1102230246251565e-16,8.490808959903118e-05,False,,,,1.25,0.96,1.0,,,,
o3_absorption_fragility,,,,,-0.0019317532597640241,-0.00713723996378679,0.0,8.694147197517432e-05,False,,,,1.25,0.96,2.0,,,,
o4_vol_managed_offense,,,,,0.013282149250528508,0.09637984844865999,-0.003050548246960494,0.0009366765710580593,False,,,,,,,13.0,0.85,1.15,1.0
o4_vol_managed_offense,,,,,0.0059233538124662255,0.1279801911461278,-0.003216761052441175,0.001035134185760317,True,,,,,,,13.0,0.85,1.15,4.0
o4_vol_managed_offense,,,,,0.009745135916940373,0.07939312343173777,-0.001967592796561113,0.0004312956488659453,False,,,,,,,13.0,0.9,1.1,1.0
o4_vol_managed_offense,,,,,0.00615737936205496,0.08633080276197713,-0.00207112849079949,0.000530952280049915,False,,,,,,,13.0,0.9,1.1,4.0
o4_vol_managed_offense,,,,,0.009453470580289669,0.04162246273458381,-3.233757694531825e-05,1.9392072956911366e-05,False,,,,,,,26.0,0.85,1.15,1.0
o4_vol_managed_offense,,,,,0.009429324759668178,0.04881596914268371,-1.5976891668545434e-05,-0.00016920046191871985,False,,,,,,,26.0,0.85,1.15,4.0
o4_vol_managed_offense,,,,,0.007219556306078512,0.023817514807661144,-2.123397285691553e-05,-9.443535045876306e-05,False,,,,,,,26.0,0.9,1.1,1.0
o4_vol_managed_offense,,,,,0.0072315264944047275,0.026119954813289326,-1.5976891668656457e-05,-0.00023177890153683323,False,,,,,,,26.0,0.9,1.1,4.0
