window_start,window_end,cand_sharpe,base_sharpe,beats
2005-01-07,2006-12-29,0.8835443411229179,0.8721096406381464,1.0
2005-04-08,2007-03-30,1.220904917557979,1.2125098244332202,1.0
2005-07-08,2007-06-29,1.2308530792468364,1.2286386537960612,1.0
2005-10-07,2007-09-28,1.2883652311699365,1.281629800566539,1.0
2006-01-06,2007-12-28,1.4685804331956975,1.4620286105725981,1.0
2006-04-07,2008-03-28,1.5213602668327655,1.5152929675391666,1.0
2006-07-07,2008-06-27,1.4132494399070972,1.405869584959204,1.0
2006-10-06,2008-09-26,1.0025528925427514,0.9971298254795656,1.0
2007-01-05,2008-12-26,0.8540905094124632,0.8540293959004935,1.0
2007-04-06,2009-03-27,0.2507841105530717,0.2528833131680372,0.0
2007-07-06,2009-06-26,0.24936594222628386,0.2470552558960135,1.0
2007-10-05,2009-09-25,0.7030518964237626,0.7012580239675994,1.0
2008-01-04,2009-12-25,0.9412097508642574,0.9359961034218166,1.0
2008-04-04,2010-03-26,1.0884863820824113,1.0822748878474504,1.0
2008-07-04,2010-06-25,0.6774509317988023,0.6728308459616492,1.0
2008-10-03,2010-09-24,1.3984080682314821,1.3864847281199117,1.0
2009-01-02,2010-12-24,1.3578786857610983,1.3474316582384964,1.0
2009-04-03,2011-03-25,1.6502114853427783,1.6385788788453075,1.0
2009-07-03,2011-06-24,1.587855457232711,1.5714867281013176,1.0
2009-10-02,2011-09-23,0.9718870986319581,0.959210399288125,1.0
2010-01-01,2011-12-23,0.7275197645298834,0.7193271657196578,1.0
2010-04-02,2012-03-23,0.6094095080012856,0.6014866119843816,1.0
2010-07-02,2012-06-22,1.0934074046935411,1.0863226589442698,1.0
2010-10-01,2012-09-21,0.7788940176931259,0.7782819583838188,1.0
2010-12-31,2012-12-21,0.6735547438696682,0.6715914797793144,1.0
2011-04-01,2013-03-22,0.7178092635668758,0.7220894610687738,0.0
2011-07-01,2013-06-21,0.49055555353065783,0.48841808372950873,1.0
2011-09-30,2013-09-20,1.150142468631301,1.152926268633788,0.0
2011-12-30,2013-12-20,1.2966050551832025,1.2923581852004216,1.0
2012-03-30,2014-03-21,1.2287655248607596,1.2203605119269254,1.0
2012-06-29,2014-06-20,1.4358451254064883,1.415214906911957,1.0
