variant,vs_production_pin,pin_ok,pin_fail,vs_ggg,ggg_fail
o1_vix_ts_stress_gate__stacked,FAIL,holdout_sharpe_delta=+0.0000 (gate >= -0.02) | max_dd_delta=+0.0000 (gate >= -0.01) | cvar5_delta=+0.0000 (gate >= -0.002) | stressed_panic_sharpe_delta=+0.0000 (gate >= -0.05) | extra_annual_cost=0.0009% (gate < 0.15%),full_sharpe_delta=-0.0014 (gate >= +0.01) | bootstrap_p=0.334 (gate >= 0.60) | rolling_win=0.282 (gate >= 0.55),PASS,
o2_canary_cash_gate__stacked,FAIL,holdout_sharpe_delta=-0.0188 (gate >= -0.02) | max_dd_delta=+0.0000 (gate >= -0.01) | cvar5_delta=-0.0001 (gate >= -0.002) | stressed_panic_sharpe_delta=-0.0006 (gate >= -0.05) | extra_annual_cost=0.0055% (gate < 0.15%) | bootstrap_p=0.653 (gate >= 0.60) | rolling_win=0.628 (gate >= 0.55),full_sharpe_delta=+0.0008 (gate >= +0.01),PASS,
o3_absorption_fragility__stacked,FAIL,max_dd_delta=+0.0000 (gate >= -0.01) | cvar5_delta=+0.0002 (gate >= -0.002) | stressed_panic_sharpe_delta=-0.0007 (gate >= -0.05) | extra_annual_cost=0.0002% (gate < 0.15%),full_sharpe_delta=-0.0016 (gate >= +0.01) | holdout_sharpe_delta=-0.0229 (gate >= -0.02) | bootstrap_p=0.368 (gate >= 0.60) | rolling_win=0.500 (gate >= 0.55),PASS,
o4_vol_managed_offense__stacked,FAIL,holdout_sharpe_delta=+0.1280 (gate >= -0.02) | max_dd_delta=-0.0032 (gate >= -0.01) | cvar5_delta=+0.0008 (gate >= -0.002) | stressed_panic_sharpe_delta=-0.0019 (gate >= -0.05) | extra_annual_cost=0.0054% (gate < 0.15%) | rolling_win=0.603 (gate >= 0.55),full_sharpe_delta=+0.0059 (gate >= +0.01) | bootstrap_p=0.596 (gate >= 0.60),PASS,
