variant,rule,checkpoint,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,avg_turnover,cost_drag,n_weeks,avg_BIL,avg_SPY,avg_offense,avg_defense,holdout_2020_ann_return,holdout_2020_ann_vol,holdout_2020_sharpe,holdout_2020_max_drawdown,holdout_2020_calmar,holdout_2020_cvar_5,holdout_2020_avg_turnover,holdout_2020_cost_drag,holdout_2020_n_weeks,y2022_ann_return,y2022_ann_vol,y2022_sharpe,y2022_max_drawdown,y2022_calmar,y2022_cvar_5,y2022_avg_turnover,y2022_cost_drag,y2022_n_weeks,stressed_panic_ann_return,stressed_panic_sharpe,stressed_panic_max_drawdown,stressed_panic_cvar_5,delta_vs_exact_ggg_ann_return,delta_vs_exact_ggg_ann_vol,delta_vs_exact_ggg_sharpe,delta_vs_exact_ggg_max_drawdown,delta_vs_exact_ggg_calmar,delta_vs_exact_ggg_cvar_5,delta_vs_exact_ggg_avg_turnover,delta_vs_exact_ggg_cost_drag,delta_vs_exact_ggg_avg_BIL,delta_vs_exact_ggg_avg_offense,delta_vs_exact_ggg_avg_defense,architecture_valid,architecture_reason
no_modifier_baseline,none,none,0.07138099253495311,0.07621368826084113,0.9365901869314063,-0.11773854403501682,0.6062669886059027,-0.02537714571816087,0.06183881682725351,0.06857924786142414,1110,0.2665801265614856,0.06025656512327496,0.4162378001730258,0.5447233297452163,0.09549685056514079,0.08810823405283164,1.0838584110978637,-0.11773854403501693,0.8110925045645104,-0.02657510073117919,0.06409908154980386,0.021024498748335667,328,-0.012933042242853965,0.06063304919209958,-0.21330021193357906,-0.06841790904172218,-0.18903007157040153,-0.015625505689319016,0.043061529768836766,0.0022391995479795115,52,0.035802805834723284,0.48174004705598167,-0.1216216745899299,-0.023120023505570565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Exact no-modifier baseline.
offense_eligibility_at_offense_budget,offense_eligibility,offense_budget,0.07078791799203188,0.0757040369763332,0.9350613364801377,-0.11468698897432339,0.6172271033105611,-0.025227783432568145,0.06231052774824853,0.06910237527280762,1110,0.2708428676480738,0.05961963465315777,0.411975059086438,0.5489860708318045,0.09530559292799956,0.08737863391332108,1.0907196491826818,-0.1146869889743235,0.8310061479540359,-0.026282094374101145,0.06482520988033293,0.021262668840749198,328,-0.01255425164029611,0.06025534160406564,-0.20835085000080775,-0.06774360643739885,-0.18532009588089116,-0.015497758260387587,0.04281544854296117,0.002226403324233981,52,0.035442184022715706,0.4836243405096319,-0.11971674709168378,-0.02277894159784963,-0.0005930745429212347,-0.000509651284507931,-0.001528850451268604,0.003051555060693434,0.010960114704658408,0.00014936228559272666,0.0004717109209950235,0.0005231274113834811,0.004262741086588195,-0.004262741086587807,0.004262741086588195,True,Architecture-valid.
breadth_confirmation_at_regime_multiplier,breadth_confirmation,regime_multipliers,0.07080942214208208,0.07554510786223295,0.937313138412787,-0.11628816598306724,0.608913396676947,-0.025215516135805797,0.06388990068490918,0.07085389985956428,1110,0.27309320835017226,0.0596489804652801,0.41296185319141965,0.5485494025558089,0.09392439756851911,0.08730509860099929,1.075818011474579,-0.11628816598306724,0.8076866358198088,-0.02655951672267293,0.0667114489076932,0.021881355241723372,328,-0.011725281080796401,0.05822275843289491,-0.20138656079495898,-0.06553834237976752,-0.17890719623107432,-0.015000485333644434,0.041270301346384826,0.0021460556700120107,52,0.034415061755231235,0.47521010494952004,-0.11991645744176849,-0.022582044175014273,-0.0005715703928710347,-0.0006685803986081762,0.0007229514813806848,0.0014503780519495857,0.002646408071044326,0.00016162958235507383,0.002051083857655678,0.0022746519981401425,0.006513081788686648,-0.0032759469816061593,0.0038260728105925512,True,Architecture-valid.
transition_quality_rerisk_at_smoothing,transition_quality_rerisk,transition_rerisk_smoothing,0.07162093456387741,0.07649523749754994,0.9362796548761791,-0.11811149603651061,0.6063841113462652,-0.025474865210060847,0.06237306291195382,0.06917172676935679,1110,0.26426225801634967,0.06061271847326366,0.4189702218652974,0.5420227349166453,0.09553953104554935,0.08845530869466572,1.0800881536159384,-0.1181114960365105,0.808892734844509,-0.02672864887606438,0.06478023711979479,0.02124791777529269,328,-0.01291882480454154,0.06063227813759081,-0.21306843815476106,-0.06841790904172218,-0.18882226869376353,-0.015625505689319016,0.043091219882817895,0.0022407434339065304,52,0.03578949844681967,0.48155185018382285,-0.121625297874563,-0.02312094891866125,0.0002399420289243004,0.00028154923670881127,-0.0003105320552271307,-0.00037295200149378704,0.00011712274036257408,-9.77194918999752e-05,0.0005342460847003114,0.0005924789079326531,-0.002317868545135937,0.002732421692271614,-0.00270059482857099,True,Architecture-valid.
deterioration_acceleration_at_derisk,deterioration_acceleration,derisk_smoothing,0.07086055926253931,0.07561590853046755,0.9371117882421238,-0.11441277541614747,0.6193413192259517,-0.025219097567582775,0.06312419831419853,0.07000473593044618,1110,0.27101333066085875,0.05991769896404103,0.41428591214560756,0.5470710455950578,0.09469623375831704,0.08698816182326792,1.0886105853197525,-0.11441277541614747,0.8276718523249129,-0.02631928452633241,0.06524822322253748,0.021401417216992295,328,-0.012588768357064017,0.05858141324219118,-0.21489355855958428,-0.06647455342017194,-0.18937725354080995,-0.015195204289197425,0.04550607939155252,0.002366316128360731,52,0.0347207574792634,0.4806535751322506,-0.11835187340752762,-0.022529676993773756,-0.0005204332724138006,-0.0005977797303735738,0.0005216013107175455,0.0033257686188693514,0.013074330620049035,0.00015804815057809604,0.001285381486945028,0.0014254880690220406,0.004433204099373145,-0.001951888027418247,0.002347715849841503,True,Architecture-valid.
dollar_pressure_at_offense_budget,dollar_pressure,offense_budget,0.07123046197010119,0.07553630168261911,0.9429964187205011,-0.11460013275655301,0.6215565397416882,-0.025118412528325248,0.06300322943395224,0.06987058144225304,1110,0.2717837838861359,0.05944257279172771,0.411034142848376,0.5499269870698665,0.09557013714119011,0.08741034122458792,1.0933504640559268,-0.1146001327565529,0.8339443842025163,-0.026272298274513523,0.06553001454993279,0.021493844772377958,328,-0.011902235514489656,0.060390527130624615,-0.1970877897579059,-0.06741650559577506,-0.1765477965567465,-0.01562739361800698,0.04433135350606562,0.002305230382315412,52,0.035969717034998405,0.4885444150621544,-0.11985665876378371,-0.022825264259920767,-0.00015053056485192506,-0.000677386578222014,0.0064062317890948295,0.003138411278463815,0.015289551135785562,0.0002587331898356235,0.0011644126066987365,0.0012913335808289045,0.005203657324650279,-0.00520365732464978,0.005203657324650224,True,Architecture-valid.
macro_stress_at_regime_multiplier,macro_stress,regime_multipliers,0.07036148763728778,0.07524705869611066,0.9350729298462878,-0.11071107529696333,0.6355415431433147,-0.025103138400791408,0.0639198020726141,0.07088706049852903,1110,0.27344484531192725,0.05975953489440788,0.4127465182631604,0.5483984821543632,0.09484037832908032,0.08614601284601754,1.1009259186330957,-0.11071107529696322,0.8566476124876169,-0.025896489916076265,0.06619807467791998,0.021712968494357755,328,-0.012933042242853965,0.06063304919209958,-0.21330021193357906,-0.06841790904172218,-0.18903007157040153,-0.015625505689319016,0.043061529768836766,0.002239199547979512,52,0.03477790195689434,0.4863392897268244,-0.115386645550829,-0.022305095312913914,-0.0010195048976653354,-0.0009666295647304673,-0.0015172570851185174,0.007027468738053488,0.029274554537412012,0.00027400731736946377,0.0020809852453605865,0.002307812637104889,0.006864718750441645,-0.003491281909865418,0.0036751524091468424,True,Architecture-valid.
combined_conservative_at_overlay,combined_conservative,volatility_risk_overlay,0.07148742610834935,0.07617457687965097,0.9384683057878103,-0.11718117239904224,0.6100589765812382,-0.025392170552523335,0.06256837641360273,0.06938832944268544,1110,0.26633844095038683,0.060331386394482725,0.4169139349770138,0.5441329454737219,0.09522943284007201,0.08796850102429318,1.0825401334708848,-0.11718117239904213,0.8126683740267002,-0.02665426833790893,0.06498839031833101,0.021316192024412574,328,-0.012494874027009328,0.05955972823084132,-0.20978729081136424,-0.06701066707512793,-0.18646097065413336,-0.015428068568652286,0.043652667713915405,0.002269938721123602,52,0.034824732269082004,0.47545836531653773,-0.12121893539114714,-0.02286008506711158,0.00010643357339623627,-3.9111381190157224e-05,0.0018781188564039875,0.0005573716359745795,0.0037919879753355312,-1.5024834362463435e-05,0.0007295595863492238,0.0008090815812613061,-0.00024168561109877418,0.0006761348039879822,-0.0005903842714943819,True,Architecture-valid.
