variant,market_state,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,avg_turnover,cost_drag,n_weeks
no_modifier_baseline,calm_trend,0.040850501925236316,0.07939880250537516,0.5144977082301815,-0.13932214620799088,0.2932089623730855,-0.02702585504492946,0.06496956464325289,0.0191660215697596,295
no_modifier_baseline,neutral_mixed,0.11211233905762019,0.0766294451079553,1.4630451636401218,-0.09121696089228437,1.229073386801503,-0.024705687820416808,0.05872521062517772,0.02889280362758744,493
no_modifier_baseline,recovery_confirmed,0.025704515117367377,0.0738110818862114,0.3482473696428669,-0.05379827566557094,0.47779440510613597,-0.022095707267119416,0.08582789004709,0.00377642716207196,44
no_modifier_baseline,recovery_fragile,0.0666705276141002,0.05777556935179047,1.1539570853581569,-0.03219421138249978,2.0708855645503137,-0.0171346657959875,0.10214778239171207,0.005005241337193892,49
no_modifier_baseline,stressed_panic,0.035802805834723284,0.07431976239783682,0.48174004705598167,-0.1216216745899299,0.29437849754526985,-0.023120023505570565,0.05126093521751634,0.011738754164811245,229
offense_eligibility_at_offense_budget,calm_trend,0.040561948745508225,0.07919025637630818,0.5122088322679479,-0.14027186874077258,0.2891666669135788,-0.026931489179317678,0.06608983471814571,0.01949650124185299,295
offense_eligibility_at_offense_budget,neutral_mixed,0.1112325665554248,0.07613472276433347,1.4609965403004457,-0.09121783943040762,1.2194168076112668,-0.02456513649345114,0.05925039434234999,0.02915119401643619,493
offense_eligibility_at_offense_budget,recovery_confirmed,0.025928905893313425,0.07353166909110903,0.3526222947718805,-0.05378702371145805,0.48206619560155894,-0.021956418654519843,0.08574086732106112,0.003772598162126688,44
offense_eligibility_at_offense_budget,recovery_fragile,0.06509228557806024,0.057463830303704555,1.132752293643466,-0.03234005020308117,2.0127453473111374,-0.01714272366427046,0.1018648198676783,0.0049913761735162375,49
offense_eligibility_at_offense_budget,stressed_panic,0.035442184022715706,0.0732845331675564,0.4836243405096319,-0.11971674709168378,0.2960503428611595,-0.02277894159784963,0.051051116501639814,0.011690705678875514,229
breadth_confirmation_at_regime_multiplier,calm_trend,0.040295938049428104,0.07939086730607871,0.5075638976719274,-0.14010897041024073,0.28760426924443966,-0.02705209041743808,0.06763738606499564,0.01995302888917372,295
breadth_confirmation_at_regime_multiplier,neutral_mixed,0.11193665828928023,0.07595852918323853,1.473654894228532,-0.09075619608691066,1.2333775887002423,-0.0244060245902203,0.060850828970092585,0.029938607853285556,493
breadth_confirmation_at_regime_multiplier,recovery_confirmed,0.025752692627570406,0.07427667060925562,0.3467130717671312,-0.05410985561556081,0.4759334937157825,-0.022230967436082768,0.08915671674862988,0.003922895536939715,44
breadth_confirmation_at_regime_multiplier,recovery_fragile,0.06553305520446884,0.057513698677925405,1.1394338516020597,-0.03171257661320448,2.066468959737008,-0.01700323470051251,0.10916048506559639,0.005348863768214224,49
breadth_confirmation_at_regime_multiplier,stressed_panic,0.034415061755231235,0.07242072800385217,0.47521010494952004,-0.11991645744176849,0.2869919816630942,-0.022582044175014273,0.05105023498668593,0.011690503811951077,229
transition_quality_rerisk_at_smoothing,calm_trend,0.04080046553133099,0.07974266862434859,0.5116516193298426,-0.14003010220278445,0.29136924767965844,-0.027144055778814194,0.06525789342126936,0.01925107855927446,295
transition_quality_rerisk_at_smoothing,neutral_mixed,0.11267488957703042,0.07696756124563311,1.4639269811010573,-0.09156706233089862,1.2305176851677715,-0.024789461686241025,0.059434563260669565,0.029241805124249426,493
transition_quality_rerisk_at_smoothing,recovery_confirmed,0.026297564316704936,0.07449649882234101,0.3530040301547496,-0.05424181714954368,0.48482085775635136,-0.022278259578960246,0.08657609748495826,0.003809348289338163,44
transition_quality_rerisk_at_smoothing,recovery_fragile,0.06647328153496512,0.05797160148553346,1.146652495904451,-0.03236313215403963,2.053981710378666,-0.017236434471247637,0.10356343141910172,0.005074608139535984,49
transition_quality_rerisk_at_smoothing,stressed_panic,0.03578949844681967,0.07432117316786913,0.48155185018382285,-0.121625297874563,0.29426031485432247,-0.02312094891866125,0.051506055270562234,0.011794886656958752,229
deterioration_acceleration_at_derisk,calm_trend,0.040743716615117886,0.07937740224514638,0.5132911315148161,-0.1394116361866471,0.29225477678613127,-0.02702585504492946,0.0656348015853193,0.019362266467669198,295
deterioration_acceleration_at_derisk,neutral_mixed,0.11145555947125585,0.07625569936126113,1.4616030067895056,-0.0912169608922847,1.2218731953026838,-0.024568456996767817,0.05971156689487337,0.0293780909122777,493
deterioration_acceleration_at_derisk,recovery_confirmed,0.02527515266400715,0.07376877437026122,0.34262671272191353,-0.053798275665570716,0.46981343456296853,-0.022095707267119416,0.08649109973913095,0.003805608388521761,44
deterioration_acceleration_at_derisk,recovery_fragile,0.06754057537328584,0.05753464022991353,1.1739114923355338,-0.03133863972554052,2.1551852908995692,-0.01692384281111883,0.1054718512519814,0.00516812071134709,49
deterioration_acceleration_at_derisk,stressed_panic,0.0347207574792634,0.07223655305114514,0.4806535751322506,-0.11835187340752762,0.2933688878730924,-0.022529676993773756,0.05367095829969618,0.012290649450630426,229
dollar_pressure_at_offense_budget,calm_trend,0.040784934111910864,0.07850944470532009,0.5194907984000443,-0.13784274164961752,0.295880172026628,-0.026626311297093794,0.06683387729951694,0.019715993803357493,295
dollar_pressure_at_offense_budget,neutral_mixed,0.11152641721757983,0.07603371563102157,1.466802145495535,-0.09178215715081395,1.2151208980011512,-0.024492978981933852,0.05995097049787872,0.02949587748495633,493
dollar_pressure_at_offense_budget,recovery_confirmed,0.027594835344573854,0.07332666391792719,0.3763274349349931,-0.053798275665570716,0.5129315949848132,-0.02186355957945346,0.0862138395597693,0.0037934089406298495,44
dollar_pressure_at_offense_budget,recovery_fragile,0.06676872490616037,0.05765541103961494,1.158065196348764,-0.031925428877241036,2.0913963337156103,-0.017144430222518624,0.1024349259853763,0.005019311373283439,49
dollar_pressure_at_offense_budget,stressed_panic,0.035969717034998405,0.07362629870699107,0.4885444150621544,-0.11985665876378371,0.300106121812459,-0.022825264259920767,0.051729213275222355,0.011845989840025922,229
macro_stress_at_regime_multiplier,calm_trend,0.04066364542281131,0.07915465698070305,0.5137239800397925,-0.1401836526879563,0.290074089546854,-0.02686027828458163,0.06687135931893971,0.01972705099908722,295
macro_stress_at_regime_multiplier,neutral_mixed,0.11043007139383465,0.07593757725332546,1.4542216829678838,-0.09075027414325643,1.2168566148848445,-0.024544683284586304,0.06138129201062323,0.030199595669226628,493
macro_stress_at_regime_multiplier,recovery_confirmed,0.025464912078122515,0.073586210104418,0.34605549113058126,-0.05319644665562606,0.4786957340021759,-0.022088194120623156,0.08636548569935663,0.0038000813707716906,44
macro_stress_at_regime_multiplier,recovery_fragile,0.06622444910712422,0.057227587851843516,1.157211960052775,-0.03158145491281761,2.0969410462545364,-0.016825365552566886,0.10539543393576789,0.005164376262852627,49
macro_stress_at_regime_multiplier,stressed_panic,0.03477790195689434,0.0715095463013671,0.4863392897268244,-0.115386645550829,0.30140318050561854,-0.022305095312913914,0.05238408819471993,0.011995956196590864,229
combined_conservative_at_overlay,calm_trend,0.04108710662072235,0.07965025445717985,0.5158440095481536,-0.13977223169721653,0.29395757742301665,-0.02709186309063504,0.06531485972043327,0.019267883617527817,295
combined_conservative_at_overlay,neutral_mixed,0.1126243952252477,0.07680917095241332,1.4662883849511081,-0.09185725382664811,1.2260805819188878,-0.0247280899345914,0.059654980876274764,0.029350250591127183,493
combined_conservative_at_overlay,recovery_confirmed,0.02608080448432748,0.074311394041012,0.35096642743552414,-0.05426713242500303,0.48060038035676667,-0.022203220496035292,0.08649280238886352,0.0038056833051099952,44
combined_conservative_at_overlay,recovery_fragile,0.06702914062502052,0.057868800123936234,1.1582949790122796,-0.0319435419457792,2.0983628158328664,-0.017080454626460188,0.1039654257375665,0.005094305861140759,49
combined_conservative_at_overlay,stressed_panic,0.034824732269082004,0.07324454633561309,0.47545836531653773,-0.12121893539114714,0.2872878907631895,-0.02286008506711158,0.05183496099467111,0.011870206067779682,229
