Date,net_return,wealth,rebalance_turnover,cap_turnover,cost,adverse_loss,largest_stock_weight_end,growth_stock_weight_end,drawdown
2023-01-06,0.040819615081469696,1.0408196150814697,0.30000000000000004,0.0,0.0030000000000000005,0.0,0.06314606146494481,0.24609687086178939,0.0
2023-01-13,0.00350721374473717,1.0444699919412754,0.0,0.0,0.0,0.0,0.06590692632552128,0.24438370614435198,0.0
2023-01-20,0.021143486093519126,1.0665537286909839,0.0,0.0,0.0,0.0,0.06753373550730654,0.24101609980257774,0.0
2023-01-27,0.020300843480294484,1.088205669000464,0.0,0.0,0.0,0.0,0.06871403276981837,0.24423561396822605,0.0
2023-02-03,-0.009450945899584062,1.07792109609512,0.0,0.0,0.0,0.0,0.0696681428594737,0.24415840263395078,-0.009450945899584062
2023-02-10,-0.00827571467175503,1.0690005286651714,0.0,0.0,0.0,0.0,0.06978711138144497,0.23814229192778633,-0.01764844723969583
2023-02-17,-0.019158046437808274,1.0485205668949624,0.0,0.0,0.0,0.0,0.06819710773910108,0.24280686260892426,-0.03646838390573082
2023-02-24,0.024649801599589516,1.0743663908420125,0.0,0.0,0.0,0.0,0.06682561572479245,0.24153740405728816,-0.012717520734075172
2023-03-03,-0.0472737252795663,1.023577089231748,0.0,0.0,0.0,0.0,0.059353269999849495,0.22698747141890532,-0.05939004143222171
2023-03-10,0.011726233654007823,1.0355797933429687,0.0,0.0,0.0,0.0,0.061799451513174855,0.2179939869255021,-0.04836022928076922
2023-03-17,0.02050381434457571,1.056813129164667,0.0,0.0,0.0,0.0,0.057574900400889674,0.21839901031557,-0.028847984099027557
2023-03-24,0.04252244295261964,1.101751405161151,0.0,0.0,0.0,0.0,0.06150766772629232,0.22492938338627072,0.0
2023-03-31,-0.019223664222239534,1.0805717060919524,0.0,0.0,0.0,0.0,0.05945453405650946,0.2198624532364331,-0.019223664222239534
2023-04-07,0.01179626012440238,1.0933184110200824,0.024777962885188336,0.0,0.0002477796288518834,0.0,0.06484188296231044,0.25084899957640483,-0.0076541714415467865
2023-04-14,-0.004868337759858621,1.0879957677161647,0.0,0.0,0.0,0.0,0.0697473752858307,0.2517044549085609,-0.012485246109556147
2023-04-21,-0.008813529103358753,1.0784066853530672,0.0,0.0,0.0,0.0,0.06169616424846868,0.23185024830005418,-0.02118873613296568
2023-04-28,-0.0026312037169250457,1.0755691776742093,0.0,0.0,0.0,0.0,0.07009606674316007,0.22859200113680703,-0.023764187968620787
2023-05-05,0.003049522636743074,1.07884915022891,0.0,0.0,0.0,0.0,0.07963024722275419,0.23639263111540387,-0.02078713476103189
2023-05-12,0.026194340307025277,1.107108892009951,0.0,0.0,0.0,0.0,0.08190218140421272,0.234615360438505,0.0
2023-05-19,0.024297113745809673,1.134008442688114,0.0,0.0,0.0,0.0,0.08088845890904739,0.2314267009780067,0.0
2023-05-26,0.021100760083735626,1.1579368827702066,0.0,0.0,0.0,0.0,0.08398727756489274,0.2392371011575266,0.0
2023-06-02,-0.005299294913758246,1.1518006337368893,0.0,0.00898727756489275,8.987277564892752e-05,0.0,0.07300253512061755,0.22821317670398583,-0.005299294913758246
2023-06-09,0.03250286491853438,1.1892374541483217,0.0,0.0,0.0,0.0,0.07079316284542492,0.22525617008957124,0.0
2023-06-16,-0.033663214301862365,1.1492038988735256,0.0,0.0,0.0,0.0,0.07166787585840909,0.2160258920635595,-0.033663214301862365
2023-06-23,0.032487353541727604,1.1865384922277615,0.0,0.0,0.0,0.0,0.07290311516587614,0.22072191824593637,-0.002269489504510336
2023-06-30,-0.008756936678455896,1.1761480497847725,0.0,0.0,0.0,0.0,0.073278032863682,0.22544659875647116,-0.011006552407082815
2023-07-07,0.03052630563054648,1.2120515046192737,0.3,0.0,0.0029999999999999996,0.0,0.06382118842458391,0.30146260060514407,0.0
2023-07-14,-0.010972610211559708,1.198752135902752,0.0,0.0,0.0,0.0,0.0628353903815644,0.29672674378629704,-0.010972610211559708
2023-07-21,0.014517989290210087,1.2161556065734045,0.0,0.0,0.0,0.0,0.06499801337843897,0.2959892892879988,0.0
2023-07-28,-0.030610882632425174,1.17892801003782,0.0,0.0,0.0,0.0,0.06644432628077626,0.29831293295163613,-0.030610882632425174
2023-08-04,-0.020496376575176778,1.154764257589061,0.0,0.0,0.0,0.0,0.07434069139984611,0.2977867944961142,-0.050479847029869296
2023-08-11,-0.02875403376281005,1.121560127138259,0.0,0.0,0.0,0.0,0.07352526983003474,0.28923712922653355,-0.07778238156684103
2023-08-18,0.015194401533255242,1.1386015620536865,0.0,0.0,0.0,0.0,0.07217540997165663,0.2861953631847905,-0.0637698367713252
2023-08-25,0.0343338954325183,1.1776941890245398,0.0,0.0,0.0,0.0,0.07002073352060181,0.2845950314345714,-0.031625408246262254
2023-09-01,-0.021724084423627943,1.1521098610369547,0.0,0.0,0.0,0.0,0.07611945362128694,0.2820828060497784,-0.05266245963121674
2023-09-08,-0.011811248057967516,1.1385020056782167,0.0,0.0,0.0,0.0,0.07790765648637947,0.2852081366091056,-0.06385169831513726
2023-09-15,-0.027833188914498708,1.1068138642746392,0.0,0.0,0.0,0.0,0.08102502361375889,0.28258531084353017,-0.08990769084791916
2023-09-22,0.0012277852922675248,1.1081727940584734,0.0,0.0,0.0,0.0,0.078942480527339,0.28707972844345353,-0.08879029289613649
2023-09-29,0.011796453168927412,1.1212453025266635,0.0,0.0,0.0,0.0,0.0697212645614054,0.2864159403560623,-0.07804125025921371
2023-10-06,0.016268242031733715,1.1394859924851117,0.3,0.0,0.003,0.0,0.06583798031234867,0.30729291191928376,-0.06304260217515611
2023-10-13,-0.01890194458947214,1.1179474913946785,0.0,0.0,0.0,0.0,0.07354978052235313,0.31009204275346636,-0.08075291899153725
2023-10-20,-0.017550838850789896,1.0983265751295657,0.0,0.0,0.0,0.0,0.0707828436056759,0.31067492281267867,-0.09688647637437575
2023-10-27,0.05415936358612461,1.1578112434483108,0.0,0.0,0.0,0.0,0.06930451273664413,0.30363780087229963,-0.047974422688789486
2023-11-03,0.02018407157940927,1.1811805884615163,0.0,0.0,0.0,0.0,0.06350071912087098,0.2876777351066574,-0.028758670290911614
2023-11-10,0.019555400186199723,1.204279047561052,0.0,0.0,0.0,0.0,0.06488472399675037,0.2884391820026567,-0.009765657411073714
2023-11-17,0.006246073747107284,1.2118010633042144,0.0,0.0,0.0,0.0,0.06471110922187871,0.2866150783966126,-0.003580580680345058
2023-11-24,0.003251383255621354,1.2157410929905859,0.0,0.0,0.0,0.0,0.06469713912006289,0.28478827404448237,-0.00034083926479322457
2023-12-01,-0.00706739404020007,1.207148971635558,0.0,0.0,0.0,0.0,0.05889204741525094,0.27551300795761596,-0.007405824459604582
2023-12-08,0.035173770688908146,1.2496089527512184,0.0,0.0,0.0,0.0,0.06342971687751231,0.28077236358273594,0.0
2023-12-15,0.002340291604917777,1.252533402092772,0.0,0.0,0.0,0.0,0.06367682041536138,0.2791625871570151,0.0
2023-12-22,0.0005377151254137846,1.2532069082481634,0.0,0.0,0.0,0.0,0.06438320125497829,0.2778591124957332,0.0
2023-12-29,-0.03513945644109284,1.2091698986841004,0.0,0.0,0.0,0.0,0.06136132071187648,0.28264424928373216,-0.03513945644109284
2024-01-05,0.02300616798674815,1.2369882644977461,0.24048207311892056,0.0,0.0024048207311892053,0.0,0.06519872691436362,0.2905092173681024,-0.012941712692191465
2024-01-12,0.03759495666209545,1.2834927846930595,0.0,0.0,0.0,0.0,0.06832754657280878,0.2915321619186562,0.0
2024-01-19,0.005559500877260426,1.290628363955518,0.0,0.0,0.0,0.0,0.06970874827473351,0.2903525095180731,0.0
2024-01-26,0.0032525033041619356,1.2948261369737286,0.0,0.0,0.0,0.0,0.07532203029607853,0.2937645987544612,0.0
2024-02-02,0.0168527425970757,1.3166475085681129,0.0,0.0003220302960785363,3.220302960785363e-06,0.0,0.08041586650281549,0.285915645144032,0.0
2024-02-09,-0.018410816640477057,1.2924069527077244,0.0,0.0,0.0,0.0,0.08246929436273978,0.29096809862938405,-0.018410816640477057
2024-02-16,0.006591637952631846,1.300926031427438,0.0,0.0,0.0,0.0,0.08892923866533173,0.28615307354515634,-0.01194053612555146
2024-02-23,0.022402714325454154,1.3300703056680538,0.0,0.0,0.0,0.0,0.09080120186093646,0.2920729643460554,0.0
2024-03-01,-0.005960632713320035,1.3221422450930733,0.0,0.015801201860936455,0.00015801201860936456,0.0,0.08026683044161279,0.2770481526807671,-0.005960632713320035
2024-03-08,-0.024869355983402675,1.2892614189391585,0.0,0.0,0.0,0.0,0.08260451544963365,0.26290684191452285,-0.03068175159988884
2024-03-15,0.017217841142807666,1.3114597172420037,0.0,0.0,0.0,0.0,0.08717126155294193,0.256663199460158,-0.013992183982111106
2024-03-22,-0.002488149534498607,1.3081966093570343,0.0,0.0,0.0,0.0,0.08374352882577683,0.2563154557943481,-0.016445518870548015
2024-03-29,-0.021910433038652588,1.2795334551463247,0.0,0.0,0.0,0.0,0.08339457536482786,0.2515932781121424,-0.0379956234692016
2024-04-05,-0.022345811866342324,1.250941241280934,0.16639313962416935,0.0,0.0016639313962416933,0.0,0.06147407380320246,0.2977174705325357,-0.05949239228175662
2024-04-12,-0.036922655876207355,1.2047531683077624,0.0,0.0,0.0,0.0,0.06317437863514397,0.2959176505142133,-0.09421843103049243
2024-04-19,0.038570757049387616,1.2512214100670411,0.0,0.0,0.0,0.0,0.0639621914186974,0.30368842343863306,-0.05928175019395632
2024-04-26,-0.00038022537195159245,1.2507456639410046,0.0,0.0,0.0,0.0,0.06619541261971315,0.30522871095259896,-0.059639435140390495
2024-05-03,0.028360232417895537,1.2862171016660466,0.0,0.0,0.0,0.0,0.07354771964389939,0.31110857266251946,-0.0329705909643484
2024-05-10,0.026648125045764415,1.3204923758272442,0.0,0.0,0.0,0.0,0.06935355977548001,0.3106139266228855,-0.007201070349434624
2024-05-17,0.019050224948955696,1.3456480526301342,0.0,0.0,0.0,0.0,0.0799978759888302,0.3264080302007009,0.0
2024-05-24,0.02445143451161047,1.378551077864696,0.0,0.0,0.0,0.0,0.09817152693084039,0.3524619101966535,0.0
2024-05-31,-0.0002963583648702972,1.3781425327213699,0.0,0.0,0.0,0.0,0.09020882280803472,0.33708023719111,-0.0002963583648702972
2024-06-07,0.023853756105884916,1.411016408576052,0.0,0.016600587412408517,0.0001660058741240852,0.0,0.07991987646435368,0.3058290833371312,0.0
2024-06-14,-0.005151721329626713,1.4037472452475375,0.0,0.0,0.0,0.0,0.07709917275169807,0.30020669657208165,-0.005151721329626713
2024-06-21,0.0005502883344288279,1.4045197109810839,0.0,0.0,0.0,0.0,0.07521208546406245,0.30306329814488636,-0.004604267927347694
2024-06-28,0.013946215002607287,1.424107444845826,0.0,0.0,0.0,0.0,0.07555257772868465,0.2907126158228381,0.0
2024-07-05,0.006953147195048803,1.4340094735314037,0.24000000000000005,0.0,0.0024000000000000002,0.0,0.06327769839202063,0.30577488872929554,0.0
2024-07-12,-0.030727063905267138,1.3899465727974458,0.0,0.0,0.0,0.0,0.07220770123847288,0.31861968588419587,-0.030727063905267138
2024-07-19,-0.01647756579010551,1.3670436366994443,0.0,0.0,0.0,0.0,0.0787812680898632,0.32287603863273995,-0.04669832247833683
2024-07-26,-0.0726427062572429,1.2677378873578535,0.0,0.0,0.0,0.0,0.06463878853557779,0.3023621440157171,-0.11594873621307977
2024-08-02,-0.00021169543108479072,1.2674695130392868,0.0,0.0,0.0,0.0,0.06298639327983295,0.30030632786793193,-0.11613588582646828
2024-08-09,0.062278110162509615,1.34640511899997,0.0,0.0,0.0,0.0,0.06268142106756663,0.3004796315942739,-0.061090499155279976
2024-08-16,0.02473659327908595,1.3797105948175514,0.0,0.0,0.0,0.0,0.0710825984953498,0.30877762637756273,-0.03786507670701467
2024-08-23,-0.013674305917284357,1.3608440100666979,0.0,0.0,0.0,0.0,0.07173131307198959,0.3052370002361986,-0.05102160398182587
2024-08-30,-0.06260688446395679,1.2756458063549845,0.0,0.0,0.0,0.0,0.0696962059708591,0.29576643369188776,-0.11043418478012668
2024-09-06,0.057604339151453354,1.3491285400213862,0.0,0.0,0.0,0.0,0.06997636499455087,0.2924605293106179,-0.059191333862662066
2024-09-13,0.012396303956348387,1.3658527474796758,0.0,0.0,0.0,0.0,0.06744188104923936,0.2930139226468443,-0.04752878367245694
2024-09-20,0.0051791917764507645,1.3729267607972653,0.0,0.0,0.0,0.0,0.06409015897203148,0.2877522150734892,-0.04259575258154724
2024-09-27,0.012193239079406393,1.3896671850301814,0.0,0.0,0.0,0.0,0.06100963569481579,0.2956755497021706,-0.030921893697134828
2024-10-04,0.010382517882113307,1.4040954294289434,0.18000000000000002,0.0,0.0018000000000000004,0.0,0.06396478326629795,0.3052817126410828,-0.02086042292928081
2024-10-11,0.015339734940509775,1.4256338811475646,0.0,0.0,0.0,0.0,0.06758022510403511,0.30627523112993665,-0.005840681347253129
2024-10-18,-0.015997430175080263,1.4028274026786778,0.0,0.0,0.0,0.0,0.06722372762302667,0.30153546221401506,-0.0217446756303058
2024-10-25,-0.01807419004073285,1.3774724336083157,0.0,0.0,0.0,0.0,0.06549126837495556,0.3032870839676875,-0.03942584827132234
2024-11-01,0.07419385920110622,1.4796724294008563,0.0,0.0,0.0,0.0,0.0664747407461226,0.31419568525357866,0.0
2024-11-08,-0.03356949382560348,1.4300005749181686,0.0,0.0,0.0,0.0,0.07518894458491966,0.3016203419209968,-0.03356949382560348
2024-11-15,0.045692365267777424,1.4953406835204612,0.0,0.0,0.0,0.0,0.08883000811896814,0.3189620200170474,0.0
2024-11-22,0.01156681515898006,1.5126370128064455,0.0,0.0,0.0,0.0,0.09250355005427584,0.32328640230410616,0.0
2024-11-29,0.011860914910081455,1.5305782717051823,0.0,0.0,0.0,0.0,0.08811854061258217,0.32391029929881865,0.0
2024-12-06,-0.024893713798221806,1.4924764942635766,0.0,0.013118540612582176,0.00013118540612582175,0.0,0.06650296865960877,0.30130590982736816,-0.024893713798221806
2024-12-13,-0.015122783697657183,1.4699060950669909,0.0,0.0,0.0,0.0,0.06833304215989931,0.3019794613042115,-0.03964003524667703
2024-12-20,-0.0010081769563471399,1.4684241696139502,0.0,0.0,0.0,0.0,0.06664656821040409,0.29528463985755976,-0.04060824803293972
2024-12-27,-0.0014708837563803812,1.4662642883553887,0.0,0.0,0.0,0.0,0.06809028931350813,0.30222137715390157,-0.04201940177691332
2025-01-03,-0.028698960750312974,1.4241840270942918,0.18222137715390152,0.0,0.0018222137715390152,0.0,0.06275020895315668,0.3013556891108013,-0.06951244936487899
2025-01-10,0.03242807103227885,1.4703675678879424,0.0,0.0,0.0,0.0,0.06474114656577325,0.30768555599281777,-0.0393385329782322
2025-01-17,0.0032288121809633807,1.4751151086016325,0.0,0.0,0.0,0.0,0.06078168223359728,0.2947993424963839,-0.03623673753173018
2025-01-24,-0.032469763344404656,1.4272184701195818,0.0,0.0,0.0,0.0,0.06585895633823696,0.29538104342522525,-0.06752990258410618
2025-01-31,0.012379876503391118,1.444887258523021,0.0,0.0,0.0,0.0,0.07038135082283278,0.2987651176489061,-0.05598603793499235
2025-02-07,0.03065280710348861,1.4891771089448158,0.0,0.0,0.0,0.0,0.07503197356583875,0.3008417453046343,-0.027049360052813554
2025-02-14,-0.031871249272792945,1.4417151740942984,0.0,0.0,0.0,0.0,0.06902267105591288,0.29310228402233823,-0.058058512428693754
2025-02-21,-0.04672147110266234,1.3743561202495818,0.0,0.0,0.0,0.0,0.061957283252554896,0.2829066705506679,-0.10206740442065543
2025-02-28,-0.02909742180165209,1.3343659005129975,0.0,0.0,0.0,0.0,0.05823134107382992,0.272359407395352,-0.12819492790367992
2025-03-07,0.007282946978199423,1.344084016615951,0.0,0.0,0.0,0.0,0.060889418015127775,0.2793688252208506,-0.12184561778827718
2025-03-14,0.013999557844402766,1.3629005985543032,0.0,0.0,0.0,0.0,0.06361677255971938,0.28592148973424375,-0.10955184471818824
2025-03-21,-0.012650677135536248,1.3456589831141637,0.0,0.0,0.0,0.0,0.06297101427739651,0.28562440699881203,-0.12081661683659228
2025-03-28,-0.10823439154944814,1.200012401843753,0.0,0.0,0.0,0.0,0.06302601517175221,0.2522404932557411,-0.21597449537366908
2025-04-04,0.06832368809507794,1.282001674897551,0.09088606302324485,0.0,0.0009088606302324485,0.0,0.066000125541631,0.29773308076167115,-0.1624069813369936
2025-04-11,0.008350433270547741,1.2927069443365133,0.0,0.0,0.0,0.0,0.06227290736467668,0.3013949784864819,-0.15541271672677148
2025-04-18,0.04049311192413185,1.3450526713186342,0.0,0.0,0.0,0.0,0.06972413095512325,0.3064323425287703,-0.12121274933549031
2025-04-25,0.04264554293351552,1.4024131727611928,0.0,0.0,0.0,0.0,0.08518984381610407,0.3160903370830725,-0.08373638990785082
2025-05-02,0.015981079753819794,1.424825249522897,0.0,0.010189843816104074,0.00010189843816104075,0.0,0.07781617449443752,0.31207787186722036,-0.06909350807944525
2025-05-09,0.06635580252088058,1.5193706724070029,0.0,0.0,0.0,0.0,0.07529372437967168,0.31140068651369796,-0.007322460736159164
2025-05-16,-0.030766526674536165,1.472624914085885,0.0,0.0,0.0,0.0,0.07638575603798561,0.3077925885326447,-0.037863700727132965
2025-05-23,0.008810607179258856,1.4855996337262853,0.0,0.0,0.0,0.0,0.0756312912356334,0.3040372581290275,-0.029386695741334012
2025-05-30,0.03501510387596252,1.537618059219303,0.0,0.0,0.0,0.0,0.07213605433257653,0.3077067744000569,0.0
2025-06-06,0.018690857488711687,1.5663574592362404,0.0,0.0,0.0,0.0,0.069138540019152,0.31585644222507614,0.0
2025-06-13,-0.0013079950679519836,1.5643086714049095,0.0,0.0,0.0,0.0,0.0701458331520592,0.31276301180749677,-0.0013079950679519836
2025-06-20,0.012339917568984449,1.5836121114624935,0.0,0.0,0.0,0.0,0.07598625304981374,0.29605049693201835,0.0
2025-06-27,0.01820475616901729,1.6124413838179708,0.0,0.0,0.0,0.0,0.07537985276555553,0.29503623521517475,0.0
2025-07-04,-0.004968194673104387,1.6044304611241933,0.3,0.0,0.003,0.0,0.06127751079659543,0.29860637957148095,-0.004968194673104387
2025-07-11,0.01778364986834413,1.632963090682932,0.0,0.0,0.0,0.0,0.0641437167045411,0.3033853201138531,0.0
2025-07-18,-0.001562355716167363,1.6304118214639132,0.0,0.0,0.0,0.0,0.06305691254619618,0.301426166499776,-0.001562355716167363
2025-07-25,-0.02607160534832209,1.587904367899467,0.0,0.0,0.0,0.0,0.06741728416152117,0.2999157869645355,-0.0275932279428438
2025-08-01,0.05389389708211789,1.6734827224792863,0.0,0.0,0.0,0.0,0.07692830873156087,0.31553885534176,0.0
2025-08-08,-0.010927204637518617,1.6551962343134035,0.0,0.0,0.0,0.0,0.07482727862268941,0.3073747819550217,-0.010927204637518617
2025-08-15,0.011307480983657303,1.6739123342571234,0.0,0.0,0.0,0.0,0.0744966305519914,0.31872047830009653,0.0
2025-08-22,0.009518106406066096,1.6898448099690093,0.0,0.0,0.0,0.0,0.07996103505312685,0.32265531511247875,0.0
2025-08-29,0.020145995155554264,1.7238884153242835,0.0,0.0,0.0,0.0,0.08028995168888095,0.33273069829132457,0.0
2025-09-05,0.04933124389103449,1.8089299751815746,0.0,0.006560660228440234,6.560660228440235e-05,0.0,0.08485216130294021,0.3425163818146627,0.0
2025-09-12,0.03444913168710184,1.8712460421093506,0.0,0.0,0.0,0.0,0.09155248428130562,0.3550050791139115,0.0
2025-09-19,-0.002248612163260555,1.8670383354986104,0.0,0.0,0.0,0.0,0.09462207767938495,0.351244718550717,-0.002248612163260555
2025-09-26,0.023583627744846236,1.9110698725883668,0.0,0.0,0.0,0.0,0.09422218896095295,0.3589101767658486,0.0
2025-10-03,-0.027658297947117938,1.8582129326545571,0.2389101767658485,0.0,0.0023891017676584848,0.0,0.062402262438400025,0.29795240427522385,-0.027658297947117938
2025-10-10,0.030484379956881247,1.9148594017343894,0.0,0.0,0.0,0.0,0.0675133576101683,0.3044822283910609,0.0
2025-10-17,0.025452019258749292,1.96359644010513,0.0,0.0,0.0,0.0,0.06792905920000451,0.3030526370442983,0.0
2025-10-24,0.026141428731500493,2.014927656501566,0.0,0.0,0.0,0.0,0.06763421300533355,0.3058308098629512,0.0
2025-10-31,-0.03525464279603685,1.9438921017117479,0.0,0.0,0.0,0.0,0.07453886911512135,0.3019069793309879,-0.03525464279603685
2025-11-07,0.014644956878880455,1.9723603177185125,0.0,0.0,0.0,0.0,0.07621416828395547,0.2992143874878166,-0.021125988640684712
2025-11-14,-0.052636462538544815,1.8685422477424096,0.0,0.0,0.0,0.0,0.06758759833419953,0.28755438382691556,-0.07265045386955449
2025-11-21,0.08267580963711496,2.023025490915668,0.0,0.0,0.0,0.0,0.07118969139702049,0.2888020154515178,0.0
