weeks,start,end,cagr,total_return,sharpe_zero_rf,max_drawdown,annual_volatility,peak_largest_stock_weight,ending_largest_stock_weight,annual_cap_turnover,scenario,growth_allocation,cap_multiple,cap_name,cost_bps,window,uncapped_cagr,uncapped_sharpe,uncapped_max_drawdown,uncapped_peak_largest_stock_weight,cagr_change_vs_uncapped,peak_stock_weight_reduction
188,2023-01-06,2026-08-07,0.41191436004745063,2.4802851063994367,1.7485377923357952,-0.16638472532147397,0.21045708078695852,0.033005762870689716,0.019383393083908993,0.044228161428557664,base,0.1,1.0,cap_1.00x,50,full_recent,0.41210823930741625,1.7428880253394445,-0.16892211386254896,0.04677293763855787,-0.0001938792599656125,0.013767174767868151
157,2023-08-11,2026-08-07,0.4182225865150073,1.8717812417832729,1.7052534100331336,-0.16638472532147386,0.21954555233357267,0.033005762870689716,0.019383393083908993,0.047790681345687994,base,0.1,1.0,cap_1.00x,50,since_incumbent_holdout_start,0.41859542316613907,1.6999349107788588,-0.16892211386254863,0.04677293763855787,-0.00037283665113174713,0.013767174767868151
53,2025-08-08,2026-08-07,0.746710589653262,0.7655460455547289,2.261571632347292,-0.14122630908153277,0.26281905324321914,0.03027134800618789,0.019383393083908993,0.06293823315788558,base,0.1,1.0,cap_1.00x,50,trailing_1y,0.7608827738794268,2.274912963793841,-0.13866663414657998,0.04677293763855787,-0.014172184226164841,0.016501589632369976
188,2023-01-06,2026-08-07,0.412355880685781,2.4842214189198106,1.7454863224785435,-0.16794187797199256,0.21107834437088044,0.03773188379504062,0.024266274734953706,0.01404361273392985,base,0.1,1.25,cap_1.25x,50,full_recent,0.41210823930741625,1.7428880253394445,-0.16892211386254896,0.04677293763855787,0.0002476413783647491,0.00904105384351725
157,2023-08-11,2026-08-07,0.41885653650292465,1.8756587635696507,1.702669166564037,-0.16794187797199256,0.22022857068200066,0.03773188379504062,0.024266274734953706,0.01588491687866484,base,0.1,1.25,cap_1.25x,50,since_incumbent_holdout_start,0.41859542316613907,1.6999349107788588,-0.16892211386254863,0.04677293763855787,0.0002611133367855789,0.00904105384351725
53,2025-08-08,2026-08-07,0.7566439329464094,0.7757801482177797,2.2716207319516615,-0.13979826625824876,0.2643499099113713,0.03773188379504062,0.024266274734953706,0.026255277266517985,base,0.1,1.25,cap_1.25x,50,trailing_1y,0.7608827738794268,2.274912963793841,-0.13866663414657998,0.04677293763855787,-0.004238840933017407,0.00904105384351725
188,2023-01-06,2026-08-07,0.41197200785254506,2.4807988742656817,1.743258786796113,-0.16892156363339328,0.21120659000733133,0.039633647408506195,0.029148900773746187,0.003037881125148729,base,0.1,1.5,cap_1.50x,50,full_recent,0.41210823930741625,1.7428880253394445,-0.16892211386254896,0.04677293763855787,-0.00013623145487118293,0.007139290230051672
157,2023-08-11,2026-08-07,0.41843154465024957,1.87305893665383,1.7002900071162963,-0.1689215636333936,0.22037873466701607,0.039633647408506195,0.029148900773746187,0.003637717525655803,base,0.1,1.5,cap_1.50x,50,since_incumbent_holdout_start,0.41859542316613907,1.6999349107788588,-0.16892211386254863,0.04677293763855787,-0.00016387851588950397,0.007139290230051672
53,2025-08-08,2026-08-07,0.7599735459420878,0.7792108237937734,2.275508404527614,-0.13866663414658054,0.2647899585566888,0.039633647408506195,0.029148900773746187,0.009679450130765883,base,0.1,1.5,cap_1.50x,50,trailing_1y,0.7608827738794268,2.274912963793841,-0.13866663414657998,0.04677293763855787,-0.0009092279373390522,0.007139290230051672
188,2023-01-06,2026-08-07,0.41210823930741625,2.482013212131613,1.7428880253394445,-0.16892211386254896,0.21132117965864833,0.04677293763855787,0.039486068658278785,0.0,base,0.1,,uncapped,50,full_recent,0.41210823930741625,1.7428880253394445,-0.16892211386254896,0.04677293763855787,0.0,0.0
