weeks,start,end,cagr,total_return,sharpe_zero_rf,max_drawdown,annual_volatility,peak_largest_stock_weight,ending_largest_stock_weight,annual_cap_turnover,scenario,growth_allocation,cap_multiple,cap_name,cost_bps,window
188,2023-01-06,2026-08-07,0.41191436004745063,2.4802851063994367,1.7485377923357952,-0.16638472532147397,0.21045708078695852,0.033005762870689716,0.019383393083908993,0.044228161428557664,base,0.1,1.0,cap_1.00x,50,full_recent
157,2023-08-11,2026-08-07,0.4182225865150073,1.8717812417832729,1.7052534100331336,-0.16638472532147386,0.21954555233357267,0.033005762870689716,0.019383393083908993,0.047790681345687994,base,0.1,1.0,cap_1.00x,50,since_incumbent_holdout_start
105,2024-08-09,2026-08-07,0.5512662690469368,1.4268321719163422,1.9551095368030202,-0.16638472532147364,0.24002783117622117,0.03147097260857801,0.019383393083908993,0.05133211965599195,base,0.1,1.0,cap_1.00x,50,trailing_2y
53,2025-08-08,2026-08-07,0.746710589653262,0.7655460455547289,2.261571632347292,-0.14122630908153277,0.26281905324321914,0.03027134800618789,0.019383393083908993,0.06293823315788558,base,0.1,1.0,cap_1.00x,50,trailing_1y
32,2026-01-02,2026-08-07,0.6103895893407698,0.3407324651667327,1.808488793028254,-0.1412263090815331,0.2866130713603601,0.03027134800618789,0.019383393083908993,0.07559474176948212,base,0.1,1.0,cap_1.00x,50,ytd
188,2023-01-06,2026-08-07,0.412355880685781,2.4842214189198106,1.7454863224785435,-0.16794187797199256,0.21107834437088044,0.03773188379504062,0.024266274734953706,0.01404361273392985,base,0.1,1.25,cap_1.25x,50,full_recent
157,2023-08-11,2026-08-07,0.41885653650292465,1.8756587635696507,1.702669166564037,-0.16794187797199256,0.22022857068200066,0.03773188379504062,0.024266274734953706,0.01588491687866484,base,0.1,1.25,cap_1.25x,50,since_incumbent_holdout_start
105,2024-08-09,2026-08-07,0.5531879831845692,1.4329065556875307,1.9528883983510994,-0.16794187797199234,0.24106407854788264,0.03773188379504062,0.024266274734953706,0.01760152663254838,base,0.1,1.25,cap_1.25x,50,trailing_2y
53,2025-08-08,2026-08-07,0.7566439329464094,0.7757801482177797,2.2716207319516615,-0.13979826625824876,0.2643499099113713,0.03773188379504062,0.024266274734953706,0.026255277266517985,base,0.1,1.25,cap_1.25x,50,trailing_1y
32,2026-01-02,2026-08-07,0.6178481431042924,0.3445503802740948,1.8134884768287476,-0.13979826625824898,0.28870713719310276,0.03773188379504062,0.024266274734953706,0.037554872738657236,base,0.1,1.25,cap_1.25x,50,ytd
