portfolio,reason
improved_phase4_sector_small_overlay,holdout_2020_not_better_than_ggg1
improved_phase4_sector_20pct_offense,holdout_2020_not_better_than_ggg1
improved_phase4_sector_25pct_offense,holdout_2020_not_better_than_ggg1
improved_phase4_balanced_sector_breadth,sharpe_below_0.90|return_improvement_tiny_or_negative_vs_ggg1|holdout_2020_not_better_than_ggg1
improved_phase4_stretch_sector_momentum,sharpe_below_0.90|return_improvement_tiny_or_negative_vs_ggg1|holdout_2020_not_better_than_ggg1
improved_phase4_sector_us_hybrid,return_improvement_tiny_or_negative_vs_ggg1|holdout_2020_not_better_than_ggg1
