portfolio,window,upside_capture_spy,downside_capture_spy,beta_spy,corr_spy,beta_qqq,corr_qqq,active_return_vs_SPY,active_return_vs_QQQ,active_return_vs_ggg1,active_return_vs_phase2_best,active_return_vs_phase3_best
improved_phase4_sector_small_overlay,full,0.04619236029591387,-0.13025603146589818,-0.032452371801777256,-0.07364468454082371,-0.024634249303227287,-0.06319625142443427,-0.03176416273877258,-0.07325122005362639,0.0022168203309751444,-0.0002939996325450611,0.0009183853702710021
improved_phase4_sector_small_overlay,holdout_2016,0.06298719467133436,-0.14385487849819645,-0.05855452876538719,-0.12265858116615683,-0.04010399661454311,-0.09969010101532673,-0.05733442194096772,-0.10263773444862712,0.0024836150561831083,0.0006074005315792608,-0.0011496947390066126
improved_phase4_sector_small_overlay,holdout_2020,0.0653534753492255,-0.1344760169230522,-0.06624652373674444,-0.1415318410514981,-0.04568642249843878,-0.11412254869067852,-0.04697466579602594,-0.09384897014236127,-0.0010857111478630443,-0.0026115999385232236,-0.004946739851249493
improved_phase4_sector_small_overlay,holdout_2021,0.09196391313230425,-0.1394304350678648,-0.03471687722754571,-0.07271812123699224,-0.026053091591943724,-0.07102727650523652,-0.035035318491771106,-0.04132329744726593,-0.0001358280203098694,-0.002919047683220821,-0.003586751695881185
improved_phase4_sector_small_overlay,bear_2022,0.03891238102045968,0.04561210930862998,0.014416184087212376,0.05500363704294951,0.013130859186993242,0.062113245436348545,0.168133089780389,0.31214958274710924,-0.0006875601556637356,-0.0022103399880814,0.000638160128685894
improved_phase4_sector_small_overlay,recovery_2023,0.13634053470183108,-0.2202379064549371,-0.06800577476230972,-0.11994468473357976,-0.051451661783062666,-0.12013291400294601,-0.0666941137286301,-0.15519574746825504,-0.00396100619060924,-0.008176002852996467,-0.010229427152939952
improved_phase4_sector_20pct_offense,full,0.045161304688832477,-0.13921859611192391,-0.03513823775663158,-0.07509878679020485,-0.027153523739341306,-0.06560488268098,-0.028911146606681593,-0.0703982039215354,0.005067080245526823,0.002556260282006617,0.0037686452848226804
improved_phase4_sector_20pct_offense,holdout_2016,0.05912277353404265,-0.14949711740015748,-0.06317407575732557,-0.1248463627604301,-0.04428473214333813,-0.103852738787349,-0.05769616029798352,-0.10299947280564292,0.002121876699167302,0.00024566217456345463,-0.0015114330960224187
improved_phase4_sector_20pct_offense,holdout_2020,0.059320160458013776,-0.14126879141373017,-0.07142165985404755,-0.14279360062711066,-0.04976807425231952,-0.11633834735573578,-0.04825508024252412,-0.09512938458885944,-0.0023661255943612236,-0.003892014385021403,-0.006227154297747672
improved_phase4_sector_20pct_offense,holdout_2021,0.08385792971875185,-0.15106833711286344,-0.043178561513456226,-0.08455630705009083,-0.03221506236926984,-0.08211088132646222,-0.03529261447763199,-0.04158059343312681,-0.00039312400617075305,-0.003176343669081705,-0.003844047681742069
