feature,ticker,formula,causal_lag_rule,lookahead
XLK_mom_4w,XLK,4-week sector momentum,computed through week t and applied to week t+1 returns,False
XLF_mom_4w,XLF,4-week sector momentum,computed through week t and applied to week t+1 returns,False
XLV_mom_4w,XLV,4-week sector momentum,computed through week t and applied to week t+1 returns,False
XLY_mom_4w,XLY,4-week sector momentum,computed through week t and applied to week t+1 returns,False
XLP_mom_4w,XLP,4-week sector momentum,computed through week t and applied to week t+1 returns,False
XLI_mom_4w,XLI,4-week sector momentum,computed through week t and applied to week t+1 returns,False
XLE_mom_4w,XLE,4-week sector momentum,computed through week t and applied to week t+1 returns,False
XLU_mom_4w,XLU,4-week sector momentum,computed through week t and applied to week t+1 returns,False
XLB_mom_4w,XLB,4-week sector momentum,computed through week t and applied to week t+1 returns,False
VNQ_mom_4w,VNQ,4-week sector momentum,computed through week t and applied to week t+1 returns,False
XLK_mom_13w,XLK,13-week sector momentum,computed through week t and applied to week t+1 returns,False
XLF_mom_13w,XLF,13-week sector momentum,computed through week t and applied to week t+1 returns,False
XLV_mom_13w,XLV,13-week sector momentum,computed through week t and applied to week t+1 returns,False
XLY_mom_13w,XLY,13-week sector momentum,computed through week t and applied to week t+1 returns,False
XLP_mom_13w,XLP,13-week sector momentum,computed through week t and applied to week t+1 returns,False
XLI_mom_13w,XLI,13-week sector momentum,computed through week t and applied to week t+1 returns,False
XLE_mom_13w,XLE,13-week sector momentum,computed through week t and applied to week t+1 returns,False
XLU_mom_13w,XLU,13-week sector momentum,computed through week t and applied to week t+1 returns,False
XLB_mom_13w,XLB,13-week sector momentum,computed through week t and applied to week t+1 returns,False
VNQ_mom_13w,VNQ,13-week sector momentum,computed through week t and applied to week t+1 returns,False
XLK_mom_26w,XLK,26-week sector momentum,computed through week t and applied to week t+1 returns,False
XLF_mom_26w,XLF,26-week sector momentum,computed through week t and applied to week t+1 returns,False
XLV_mom_26w,XLV,26-week sector momentum,computed through week t and applied to week t+1 returns,False
XLY_mom_26w,XLY,26-week sector momentum,computed through week t and applied to week t+1 returns,False
XLP_mom_26w,XLP,26-week sector momentum,computed through week t and applied to week t+1 returns,False
XLI_mom_26w,XLI,26-week sector momentum,computed through week t and applied to week t+1 returns,False
XLE_mom_26w,XLE,26-week sector momentum,computed through week t and applied to week t+1 returns,False
XLU_mom_26w,XLU,26-week sector momentum,computed through week t and applied to week t+1 returns,False
XLB_mom_26w,XLB,26-week sector momentum,computed through week t and applied to week t+1 returns,False
VNQ_mom_26w,VNQ,26-week sector momentum,computed through week t and applied to week t+1 returns,False
XLK_mom_52w,XLK,52-week sector momentum,computed through week t and applied to week t+1 returns,False
XLF_mom_52w,XLF,52-week sector momentum,computed through week t and applied to week t+1 returns,False
XLV_mom_52w,XLV,52-week sector momentum,computed through week t and applied to week t+1 returns,False
XLY_mom_52w,XLY,52-week sector momentum,computed through week t and applied to week t+1 returns,False
XLP_mom_52w,XLP,52-week sector momentum,computed through week t and applied to week t+1 returns,False
XLI_mom_52w,XLI,52-week sector momentum,computed through week t and applied to week t+1 returns,False
XLE_mom_52w,XLE,52-week sector momentum,computed through week t and applied to week t+1 returns,False
XLU_mom_52w,XLU,52-week sector momentum,computed through week t and applied to week t+1 returns,False
XLB_mom_52w,XLB,52-week sector momentum,computed through week t and applied to week t+1 returns,False
VNQ_mom_52w,VNQ,52-week sector momentum,computed through week t and applied to week t+1 returns,False
