cik10,company_name,baseline_trailing_1y_cagr,leave_one_out_trailing_1y_cagr,cagr_contribution
0001327567,PALO ALTO NETWORKS INC,0.6482671171513639,0.5075035480460128,0.14076356910535104
0001107843,"QUALYS, INC.",0.6482671171513639,0.517026363655885,0.13124075349547892
0001475115,"EVENTBRITE, INC.",0.6482671171513639,0.5185214783634318,0.1297456387879321
0001819974,"SKYWATER TECHNOLOGY, INC",0.6482671171513639,0.5584648170136597,0.08980230013770418
0000785786,PLEXUS CORP,0.6482671171513639,0.5656477810717273,0.08261933607963656
0001792849,"HIGHPEAK ENERGY, INC.",0.6482671171513639,0.611658666216579,0.03660845093478482
0001104485,"NORTHERN OIL & GAS, INC.",0.6482671171513639,0.6117322749601015,0.03653484219126235
0000851310,HARMONIC INC.,0.6482671171513639,0.6155595093389767,0.03270760781238713
0001070412,CNX RESOURCES CORP,0.6482671171513639,0.6287998996231117,0.0194672175282522
0000874499,GULFPORT ENERGY CORP,0.6482671171513639,0.6312044502379142,0.01706266691344971
0001621434,"BLACK STONE MINERALS, L.P.",0.6482671171513639,0.6341927802082858,0.014074336943078025
0000033213,EQT CORP,0.6482671171513639,0.6342564812597402,0.014010635891623657
0001855747,"BLEND LABS, INC.",0.6482671171513639,0.6345521460860899,0.013714971065273973
0001361113,VARONIS SYSTEMS INC,0.6482671171513639,0.6358772812791516,0.012389835872212318
0001528129,"VITAL ENERGY, INC.",0.6482671171513639,0.6400361238327525,0.008230993318611324
0001031308,BENTLEY SYSTEMS INC,0.6482671171513639,0.6419353961470144,0.006331721004349422
0001679268,"MAMMOTH ENERGY SERVICES, INC.",0.6482671171513639,0.6482671171513619,1.9984014443252818e-15
0001897982,"ASPEN TECHNOLOGY, INC.",0.6482671171513639,0.6482671171513619,1.9984014443252818e-15
0001114995,IMPINJ INC,0.6482671171513639,0.6482671171513619,1.9984014443252818e-15
0001173489,CEVA INC,0.6482671171513639,0.6482671171513625,1.3322676295501878e-15
0001314727,SONOS INC,0.6482671171513639,0.6482671171513628,1.1102230246251565e-15
0000858470,COTERRA ENERGY INC.,0.6482671171513639,0.6482671171513628,1.1102230246251565e-15
0001509991,KOSMOS ENERGY LTD.,0.6482671171513639,0.6482671171513628,1.1102230246251565e-15
0001834494,"MERIDIANLINK, INC.",0.6482671171513639,0.6482671171513632,6.661338147750939e-16
0001803696,ADEIA INC.,0.6482671171513639,0.6482671171513634,4.440892098500626e-16
0001280263,AMBARELLA INC,0.6482671171513639,0.6482671171513634,4.440892098500626e-16
0001827075,CVENT HOLDING CORP.,0.6482671171513639,0.6482671171513636,2.220446049250313e-16
0001108524,"SALESFORCE, INC.",0.6482671171513639,0.6482671171513639,0.0
0001013857,PEGASYSTEMS INC,0.6482671171513639,0.6482671171513639,0.0
0001070235,BLACKBERRY LTD,0.6482671171513639,0.6482671171513641,-2.220446049250313e-16
0001807794,CREDO TECHNOLOGY GROUP HOLDING LTD,0.6482671171513639,0.6482671171513643,-4.440892098500626e-16
0000004127,SKYWORKS SOLUTIONS INC,0.6482671171513639,0.6482671171513643,-4.440892098500626e-16
0001615165,"VERITONE, INC.",0.6482671171513639,0.6482671171513643,-4.440892098500626e-16
0001353283,SPLUNK INC,0.6482671171513639,0.6482671171513643,-4.440892098500626e-16
0001171486,NATURAL RESOURCE PARTNERS LP,0.6482671171513639,0.6482671171513645,-6.661338147750939e-16
0001349436,SANDRIDGE ENERGY INC,0.6482671171513639,0.6482671171513648,-8.881784197001252e-16
0001273441,GRAN TIERRA ENERGY INC.,0.6482671171513639,0.648267117151365,-1.1102230246251565e-15
0000945983,"CLIMB GLOBAL SOLUTIONS, INC.",0.6482671171513639,0.6482671171513656,-1.7763568394002505e-15
0000917273,RAMBUS INC,0.6482671171513639,0.6510143127437527,-0.0027471955923887847
0001520006,MATADOR RESOURCES CO,0.6482671171513639,0.6528299381307983,-0.00456282097943439
0001493761,TURTLE BEACH CORP,0.6482671171513639,0.6638550392824145,-0.015587922131050647
0001393052,VEEVA SYSTEMS INC,0.6482671171513639,0.6667129427747427,-0.01844582562337882
0001713683,"ZSCALER, INC.",0.6482671171513639,0.6678473245707044,-0.019580207419340523
