candidate,scenario,cost_bps,window,weeks,start,end,cagr,sharpe_zero_rf,sortino_zero_target,max_drawdown,annual_one_way_turnover,total_return,annual_volatility,win_rate,best_week,worst_week
executive_or_cluster__8w__10,base,50,full_recent,188,2023-01-06,2026-08-07,0.404828468501226,1.6219971238951023,2.696433353540808,-0.20121013152752665,0.6818768959518746,2.4175510134690663,0.22587526148033726,0.601063829787234,0.11529536904474091,-0.12569620363330736
executive_or_cluster__8w__10,base,50,since_pilot_holdout_start,158,2023-08-04,2026-08-07,0.3980881503931357,1.5376010354226302,2.541022052859885,-0.20121013152752676,0.6087027151864844,1.7682234759801303,0.23672988712694437,0.6012658227848101,0.11529536904474091,-0.12569620363330736
executive_or_cluster__8w__10,base,50,trailing_3y,157,2023-08-11,2026-08-07,0.4106018027778775,1.5741826072655278,2.6043567970112367,-0.20121013152752654,0.6125798025443602,1.825442450264271,0.23696235248756806,0.6050955414012739,0.11529536904474091,-0.12569620363330736
executive_or_cluster__8w__10,base,50,trailing_2y,105,2024-08-09,2026-08-07,0.5967817979620209,1.9298595357536974,3.289580896450465,-0.20121013152752665,0.7704016397668881,1.5727626096150162,0.26106066550735973,0.638095238095238,0.11529536904474091,-0.12569620363330736
executive_or_cluster__8w__10,base,50,trailing_1y,53,2025-08-08,2026-08-07,1.025534000267708,2.6676189345083405,5.282156035985197,-0.10076752452473337,0.5913842330235765,1.0532154741508055,0.28067841198581284,0.660377358490566,0.11529536904474091,-0.0724939435810178
executive_or_cluster__8w__10,base,50,ytd,32,2026-01-02,2026-08-07,1.0695549218583662,2.499554229375675,5.013753006642082,-0.10076752452473337,0.3153719481550274,0.5645369311636141,0.31154444036194695,0.625,0.11529536904474091,-0.0724939435810178
executive_or_cluster__8w__10,base,100,full_recent,188,2023-01-06,2026-08-07,0.3488280221666453,1.4371795334617792,2.344579071502449,-0.21375773548299815,0.6820376418117923,1.9501426741327559,0.2265640938410033,0.5957446808510638,0.11524988102393063,-0.1275485828049836
executive_or_cluster__8w__10,base,100,since_pilot_holdout_start,158,2023-08-04,2026-08-07,0.3413893263274481,1.3583122535841752,2.20503984172716,-0.2137577354829987,0.6089418673075438,1.4410152599421102,0.2374539846598791,0.5949367088607594,0.11524988102393063,-0.1275485828049836
executive_or_cluster__8w__10,base,100,trailing_3y,157,2023-08-11,2026-08-07,0.35304454582540523,1.3936673161962063,2.2649553435599823,-0.21375773548299914,0.6128204779273372,1.4915035911579824,0.23772010500094654,0.5987261146496815,0.11524988102393063,-0.1275485828049836
executive_or_cluster__8w__10,base,100,trailing_2y,105,2024-08-09,2026-08-07,0.5339119197681113,1.7696344639460844,2.964787713011861,-0.20805023296380898,0.7706323812862752,1.3723236019771123,0.2619465960650896,0.638095238095238,0.11524988102393063,-0.1275485828049836
executive_or_cluster__8w__10,base,100,trailing_1y,53,2025-08-08,2026-08-07,0.9789929132466242,2.5787887298186982,5.0481838495526725,-0.10380433990443372,0.5908342753043279,1.0051417962741351,0.2812792826058415,0.660377358490566,0.11524988102393063,-0.07293461104915766
executive_or_cluster__8w__10,base,100,ytd,32,2026-01-02,2026-08-07,1.028244867558716,2.4297873410266226,4.82344533235704,-0.10380433990443372,0.31546170530977785,0.5452443361049153,0.3121572564959071,0.625,0.11524988102393063,-0.07293461104915766
executive_or_cluster__8w__10,base,200,full_recent,188,2023-01-06,2026-08-07,0.22806819846284365,1.0117209436942665,1.5766443911277437,-0.3089852173516333,0.6819467428634726,1.1017139185838936,0.22935368598019204,0.5851063829787234,0.1151589049823103,-0.13124847902741354
