candidate,trailing_1y_cagr,trailing_1y_sharpe,trailing_1y_drawdown,ytd_cagr,full_cagr,full_drawdown,trailing_1y_200bps_cagr,recent_return,ytd_return,recent_sharpe,recent_drawdown,full_return_gate,full_drawdown_gate,severe_cost,all_screen_gates
executive_or_cluster__13w__30,1.0843237847531682,2.7684429323122672,-0.10076752452473325,1.0950419751651674,0.4141298640919968,-0.19508964219370617,0.9410753719423466,True,True,True,True,True,True,True,True
executive_or_cluster__13w__20,1.0732446472886812,2.744610640402324,-0.10076752452473303,1.095041975165166,0.41270052239160804,-0.19902327169056622,0.9380631721382422,True,True,True,True,True,True,True,True
all_open_market__13w__30,1.0705401284542138,2.7462396185342595,-0.10076752452473325,1.095041975165167,0.4029879644768959,-0.20658639669443235,0.9281358165237699,True,True,True,True,True,True,False,False
all_open_market__13w__20,1.0640950720874862,2.7299546930695984,-0.10076752452473314,1.095041975165167,0.4051834347916985,-0.20668052968931705,0.9294322078932173,True,True,True,True,True,True,False,False
executive_or_cluster__13w__10,1.0621392748511393,2.719060601273449,-0.10076752452473337,1.095041975165166,0.41110627935624344,-0.20296140728810264,0.93504457353375,True,True,True,True,True,True,True,True
all_open_market__13w__10,1.057584347829077,2.7118085300985957,-0.10076752452473325,1.095041975165166,0.4073035149097348,-0.20791907838966495,0.9307268314013637,False,True,True,True,True,True,False,False
cluster_2plus__26w__10,1.0498035461972153,2.7081974743244177,-0.10076752452473314,1.0950419751651679,0.4132259897568549,-0.20582486863308236,0.9208880039602254,False,True,True,True,True,True,False,False
cluster_2plus__26w__20,1.0485295083337074,2.7235323222445107,-0.10076752452473314,1.095041975165166,0.4170047373225445,-0.20477976398159636,0.9097975194517729,False,True,True,True,True,True,False,False
cluster_2plus__13w__10,1.047714403752654,2.6937764523867584,-0.10076752452473325,1.0950419751651674,0.402061525234213,-0.20582486863308247,0.9153412282326292,False,True,True,True,True,True,False,False
cluster_2plus__26w__30,1.0471863668638748,2.737813573668332,-0.10076752452473337,1.095041975165166,0.4206833419767011,-0.2037687338224914,0.8987483271603482,False,True,True,True,True,True,False,False
cluster_2plus__13w__20,1.0442769856856589,2.6930561400018727,-0.10076752452473337,1.0950419751651674,0.3946532678216026,-0.20477976398159659,0.8987363109973634,False,True,True,True,True,True,False,False
cluster_2plus__13w__30,1.040697853152687,2.6896860619391765,-0.10076752452473314,1.095041975165167,0.3871253956160201,-0.20376873382249183,0.8822051542739127,False,True,True,True,True,True,False,False
executive_or_cluster__26w__10,1.0294805352735366,2.672895940470808,-0.10076752452473325,1.0950419751651674,0.4099526933440678,-0.20296140728810286,0.8903241835938631,False,True,True,True,True,True,False,False
all_open_market__26w__10,1.0256856835667376,2.6660448833947785,-0.10076752452473314,1.095041975165166,0.41127222933358953,-0.20678636398769645,0.8832590680330181,False,True,True,True,True,True,False,False
executive_or_cluster__8w__10,1.025534000267708,2.6676189345083405,-0.10076752452473337,1.0695549218583662,0.404828468501226,-0.20121013152752665,0.8890043583787133,False,False,True,True,True,True,False,False
all_open_market__8w__10,1.0184097156589536,2.649962036694419,-0.10076752452473325,1.0695549218583666,0.394902722689346,-0.2052581861908468,0.8862772558466685,False,False,True,True,True,True,False,False
executive_or_cluster__26w__20,1.0080203646913461,2.650927055775534,-0.10076752452473337,1.095041975165166,0.41036839716070994,-0.19902327169056655,0.8493236449121915,False,True,True,True,True,True,False,False
all_open_market__26w__20,1.0004763641074574,2.6364007764941975,-0.10076752452473325,1.095041975165166,0.4130673458038696,-0.20668052968931716,0.8354467420986409,False,True,True,True,True,True,False,False
executive_or_cluster__8w__20,1.0002451864925592,2.6405073162002775,-0.10076752452473303,1.0442116559930947,0.4001480968197635,-0.19549419021925973,0.8467859121067272,False,False,True,True,True,True,False,False
cluster_2plus__8w__10,0.9873453260379017,2.606354120679174,-0.10076752452473314,1.0243447960585463,0.39303370823313943,-0.2014076577379249,0.8394481821606485,False,False,True,True,True,True,False,False
executive_or_cluster__26w__30,0.9866300130192174,2.62592287175085,-0.10076752452473314,1.095041975165167,0.41059433125421085,-0.19508964219370672,0.8090099846327343,False,True,True,True,True,True,False,False
all_open_market__8w__20,0.9861914370571261,2.605157199459547,-0.10076752452473325,1.0442116559930956,0.38045485196450723,-0.2036166715334602,0.8414147188826,False,False,True,True,True,True,False,False
all_open_market__26w__30,0.9753829281288331,2.6029220335648597,-0.10076752452473325,1.095041975165167,0.4147326030766483,-0.20658639669443246,0.7885699517701681,False,True,True,True,True,True,False,False
executive_or_cluster__8w__30,0.975141315975119,2.6104982713588085,-0.10076752452473348,1.0190121822879168,0.39530796948252944,-0.18975604150499314,0.8053518546386924,False,False,True,True,True,True,False,False
all_open_market__8w__30,0.9543501322019079,2.5574982557148536,-0.10076752452473325,1.0190121822879195,0.3660068191401056,-0.20197937606876315,0.7974181945306904,False,False,True,True,False,True,False,False
cluster_2plus__8w__20,0.9252359047459076,2.5118105874055425,-0.10076752452473337,0.9554122455864753,0.37667892254665136,-0.1958914929444957,0.7507525299791018,False,False,True,True,False,True,False,False
cluster_2plus__8w__30,0.8646501044607433,2.408617853030221,-0.10076752452473314,0.8882142291838384,0.3602875975005966,-0.19035537770726563,0.665790247200249,False,False,False,True,False,True,False,False
