signal_name,category,file,avg_full_mean_ic,avg_holdout_mean_ic,avg_full_nw_tstat,avg_holdout_nw_tstat,min_full_n_dates,min_holdout_n_dates,calm_trend_mean_ic,stressed_panic_mean_ic,tradable_missingness,max_redundancy_vs_strong,most_redundant_existing_signal,research_only,verdict,verdict_reason
bm_etf_above_50d_ma,ETF breadth,data/02_layer1_signals/signal_bm_etf_above_50d_ma.csv,0.118212317416309,0.1257632318578575,5.09835012699197,3.51033376404635,1091,315,0.12361345110290194,0.08325388603629014,0.0009009009009009009,0.21203830478279706,multi_mom_equal,True,candidate-pass,"Positive full/holdout IC, no large stressed_panic damage, acceptable redundancy."
bm_etf_above_200d_ma,ETF breadth,data/02_layer1_signals/signal_bm_etf_above_200d_ma.csv,0.12080010991156627,0.1257632318578575,5.173430830707716,3.51033376404635,1076,315,0.12361345110290194,0.08325388603629014,0.0009009009009009009,0.2793699053128893,multi_mom_equal,True,candidate-pass,"Positive full/holdout IC, no large stressed_panic damage, acceptable redundancy."
bm_sector_above_50d_ma,sector breadth,data/02_layer1_signals/signal_bm_sector_above_50d_ma.csv,0.11500335375527337,0.11874544474160295,4.901311884817649,3.315295836988125,1018,302,0.1222724434211527,0.06471391784549962,0.0009009009009009009,0.21724724760828865,multi_mom_equal,True,candidate-pass,"Positive full/holdout IC, no large stressed_panic damage, acceptable redundancy."
bm_sector_above_200d_ma,sector breadth,data/02_layer1_signals/signal_bm_sector_above_200d_ma.csv,0.12060061853607132,0.11878119847794241,5.128701095614511,3.2958615662864887,1030,309,0.12361345110290194,0.07410947951900825,0.0009009009009009009,0.3072365952313822,multi_mom_equal,True,candidate-pass,"Positive full/holdout IC, no large stressed_panic damage, acceptable redundancy."
bm_etf_positive_13w_mom,ETF breadth,data/02_layer1_signals/signal_bm_etf_positive_13w_mom.csv,0.12129117294599565,0.1257632318578575,5.223452129952134,3.51033376404635,1083,315,0.12361345110290194,0.08325388603629014,0.0009009009009009009,0.25423873760764293,multi_mom_equal,True,candidate-pass,"Positive full/holdout IC, no large stressed_panic damage, acceptable redundancy."
bm_etf_positive_26w_mom,ETF breadth,data/02_layer1_signals/signal_bm_etf_positive_26w_mom.csv,0.11981204437489963,0.1257632318578575,5.098946250875385,3.51033376404635,1070,315,0.12361345110290194,0.08325388603629014,0.0009009009009009009,0.2851071876879764,multi_mom_equal,True,candidate-pass,"Positive full/holdout IC, no large stressed_panic damage, acceptable redundancy."
bm_sector_positive_13w_mom,sector breadth,data/02_layer1_signals/signal_bm_sector_positive_13w_mom.csv,0.11687855024112075,0.11134215582115373,4.899616770764173,2.981177748181982,1020,298,0.12361345110290194,0.052112675972497656,0.0009009009009009009,0.2731702673047391,multi_mom_invvol,True,candidate-pass,"Positive full/holdout IC, no large stressed_panic damage, acceptable redundancy."
bm_sector_positive_26w_mom,sector breadth,data/02_layer1_signals/signal_bm_sector_positive_26w_mom.csv,0.12020804137369087,0.1200314823584411,5.157237443625947,3.3507706336986276,1035,310,0.12361345110290194,0.07960569631855866,0.0009009009009009009,0.3101985258950596,multi_mom_equal,True,candidate-pass,"Positive full/holdout IC, no large stressed_panic damage, acceptable redundancy."
bm_offensive_vs_defensive_sector_breadth,sector breadth,data/02_layer1_signals/signal_bm_offensive_vs_defensive_sector_breadth.csv,-0.016798393641781584,0.007007909658946948,-0.4780941497761889,0.32386866784816853,715,222,-0.007853974435730642,0.027561186724371255,0.0009009009009009009,0.0569948408697476,breadth_confirmed_momentum,True,research-only,full IC not positive
bm_risk_on_participation,risk-on breadth,data/02_layer1_signals/signal_bm_risk_on_participation.csv,0.1208884328489039,0.12013977468516138,4.828319118894572,3.0624665209420137,920,261,0.12628963105921368,0.04355207579869746,0.0009009009009009009,0.2765945323430524,multi_mom_invvol,True,candidate-pass,"Positive full/holdout IC, no large stressed_panic damage, acceptable redundancy."
bm_risk_on_minus_defensive_participation,risk-on breadth,data/02_layer1_signals/signal_bm_risk_on_minus_defensive_participation.csv,0.008092112298771239,0.02544080528025396,0.32677523661504904,0.7035830592325578,993,287,0.05061662175902223,-0.04072734816939593,0.0009009009009009009,0.18519502243972277,breadth_confirmed_momentum,True,promising-if-gated,stressed_panic damage
bm_breadth_change_4w,breadth thrust,data/02_layer1_signals/signal_bm_breadth_change_4w.csv,0.02359677374178012,-0.009164347583227176,1.3033964580022348,-0.2967904801405252,984,290,0.018662377558390827,0.014774003692102064,0.0045045045045045045,0.0817640114398659,breadth_confirmed_momentum,True,research-only,holdout IC not positive
bm_breadth_momentum_13w,breadth thrust,data/02_layer1_signals/signal_bm_breadth_momentum_13w.csv,0.006437117324131364,-0.04700256141447471,0.2716549226599402,-1.513182500700875,1079,315,0.02626661020929911,-0.08417893545890058,0.005405405405405406,0.06316992913121444,moving_average_distance,True,promising-if-gated,holdout IC not positive; stressed_panic damage
bm_participation_acceleration,breadth thrust,data/02_layer1_signals/signal_bm_participation_acceleration.csv,-0.015178434218736981,0.004166419801659157,-0.509004338850106,0.28330472378306865,1019,302,-0.0032987199407506747,0.03532664924264439,0.012612612612612612,0.03446450617396826,multi_mom_invvol,True,research-only,full IC not positive
