signal_name,source_phase,category,orthogonality,full_ic,holdout_ic,calm_trend_usefulness,stressed_panic_danger,implementation_difficulty,data_quality_risk,pit_dependence,overfitting_risk,recommendation,priority_score,verdict,verdict_reason
r2_commodity_regime__recovery_only,state_gated_macro,state-gated macro,0.9401361716548434,0.0936720931058326,0.0993491819290709,0.2611392236360141,-0.0300883785722749,medium,medium,none,medium,promising-if-gated,5.456208620737345,promising-if-gated,Gate improved stressed_panic behavior while retaining positive holdout/calm evidence.
r2_financial_conditions__recovery_only,state_gated_macro,state-gated macro,0.95991026564705,0.0749872010805823,0.1973297335676345,0.0872970893837061,-0.0416810275393621,medium,medium,none,medium,promising-if-gated,5.368104995037039,promising-if-gated,Gate improved stressed_panic behavior while retaining positive holdout/calm evidence.
r2_dollar_strength__recovery_only,state_gated_macro,state-gated macro,0.9557825050435153,0.1369093244953862,0.1346676709960512,0.2407178456681039,0.139734067765435,medium,medium,none,medium,reject,4.873292902628627,promising-if-gated,insufficient observations; stressed_panic damage remains
bm_etf_above_50d_ma,breadth,ETF breadth,0.787961695217203,0.118212317416309,0.1257632318578575,0.1236134511029019,-0.0832538860362901,low,low,none,low,candidate-pass,4.8454409560713705,candidate-pass,"Positive full/holdout IC, no large stressed_panic damage, acceptable redundancy."
bm_quality_breadth_confirmation,signal_quality,signal environment,0.7457612623923571,0.1212911729459956,0.1257632318578575,0.1236134511029019,-0.0832538860362901,low,low,none,low,candidate-pass,4.8340290785433915,candidate-pass,Positive full/holdout IC and no large stressed_panic damage.
bm_etf_positive_13w_mom,breadth,ETF breadth,0.7457612623923571,0.1212911729459956,0.1257632318578575,0.1236134511029019,-0.0832538860362901,low,low,none,low,candidate-pass,4.8340290785433915,candidate-pass,"Positive full/holdout IC, no large stressed_panic damage, acceptable redundancy."
bm_etf_above_200d_ma,breadth,ETF breadth,0.7206300946871107,0.1208001099115662,0.1257632318578575,0.1236134511029019,-0.0832538860362901,low,low,none,low,candidate-pass,4.803987280493851,candidate-pass,"Positive full/holdout IC, no large stressed_panic damage, acceptable redundancy."
bm_etf_positive_26w_mom,breadth,ETF breadth,0.7148928123120236,0.1198120443748996,0.1257632318578575,0.1236134511029019,-0.0832538860362901,low,low,none,low,candidate-pass,4.788369342752097,candidate-pass,"Positive full/holdout IC, no large stressed_panic damage, acceptable redundancy."
bm_risk_on_participation,breadth,risk-on breadth,0.7234054676569476,0.1208884328489039,0.1201397746851613,0.1262896310592136,-0.0435520757986974,low,low,none,low,candidate-pass,4.744703464897114,candidate-pass,"Positive full/holdout IC, no large stressed_panic damage, acceptable redundancy."
bm_sector_above_50d_ma,breadth,sector breadth,0.7827527523917114,0.1150033537552733,0.1187454447416029,0.1222724434211527,-0.0647139178454996,low,low,none,low,candidate-pass,4.692147508437709,candidate-pass,"Positive full/holdout IC, no large stressed_panic damage, acceptable redundancy."
bm_sector_positive_26w_mom,breadth,sector breadth,0.6898014741049404,0.1202080413736908,0.1200314823584411,0.1236134511029019,-0.0796056963185586,low,low,none,low,candidate-pass,4.68126173204168,candidate-pass,"Positive full/holdout IC, no large stressed_panic damage, acceptable redundancy."
bm_sector_above_200d_ma,breadth,sector breadth,0.6927634047686178,0.1206006185360713,0.1187811984779424,0.1236134511029019,-0.0741094795190082,low,low,none,low,candidate-pass,4.669395176121682,candidate-pass,"Positive full/holdout IC, no large stressed_panic damage, acceptable redundancy."
bm_sector_positive_13w_mom,breadth,sector breadth,0.7268297326952609,0.1168785502411207,0.1113421558211537,0.1236134511029019,-0.0521126759724976,low,low,none,low,candidate-pass,4.554655181246988,candidate-pass,"Positive full/holdout IC, no large stressed_panic damage, acceptable redundancy."
r2_credit_spread__calm_trend_only,state_gated_macro,state-gated macro,0.8385254351675764,0.0769428282160448,0.09162297911334,0.0581340031627178,,medium,medium,none,medium,candidate-pass,3.447370429329867,candidate-pass,Positive full/holdout IC and no large stressed_panic damage under this gate.
