signal_name,half_life_weeks,decay_classification,weekly_rebalance_viability_flag,fit_warning,ic_1w,nw_tstat_1w,ic_2w,nw_tstat_2w,ic_4w,nw_tstat_4w,ic_8w,nw_tstat_8w,ic_13w,nw_tstat_13w,avg_available_ic
contained_recovery_quality,3.1669416807050936,medium decay,,,0.0153400553839495,1.415481625804732,0.0131299216235672,0.9185404633796908,0.0122884696029139,0.6693854180478017,-0.0005222077849154,-0.0226132131410729,,,0.0100590597063788
xsmom_global,1930.4671032866459,slow decay,,,0.0500920536388939,4.11909470437788,0.0579245358778824,3.5982340173336995,0.0538409431602725,2.5255256863728492,0.0526163991177101,2.0009008352539848,,,0.053618482948689726
multi_mom_equal,inf,slow decay,,No observed exponential decay across available horizons.,0.0480760044208694,3.9599117708320737,0.056262061283352,3.512561282991589,0.0561248104147096,2.6588756882613573,0.0540046661036324,2.101684978389855,,,0.053616885555640856
moving_average_distance,inf,slow decay,,No observed exponential decay across available horizons.,0.0396427714697723,3.314001231107565,0.0483064167469139,3.0358338343476428,0.0537435090366631,2.554943426724377,0.0581252310944827,2.2327947445368466,,,0.049954482086958
multi_mom_invvol,inf,slow decay,,No observed exponential decay across available horizons.,0.0446575998776481,3.6513816628964726,0.0503020342576439,3.1271371465585585,0.0531067801265013,2.5125356293993497,0.0502572066180074,1.9484929350433835,,,0.04958090521995017
trend_clarity_momentum,inf,slow decay,,No observed exponential decay across available horizons.,0.0410915257651749,3.4593262548803407,0.0464837117832243,2.915754985862571,0.0432959366503564,2.0412767365467106,0.0432448139010068,1.6362867029518722,,,0.0435289970249406
breadth_confirmed_momentum,inf,slow decay,,No observed exponential decay across available horizons.,0.0290262638694825,2.450056041740966,0.0317265076992539,1.9714151029088165,0.0331893069260591,1.5753694371547096,0.0349237086439274,1.3792734353532583,,,0.032216446784680726
xsmom_asset_class_neutral,11.629437092791516,slow decay,,,0.0220898339428191,2.625352559509909,0.0249531067229948,2.235658730492454,0.0187905551444379,1.2623838473303617,0.0150788271605112,0.8005234387013617,,,0.02022808074269075
tsmom_vol_scaled,8.873219297791925,slow decay,,,0.0224638478227443,2.0578615120019927,0.0225359512950697,1.5136435261503367,0.0129408970796322,0.6501242602473214,0.0130653506688105,0.5409944833200838,,,0.017751511716564174
residual_momentum,7.450727796887391,slow decay,,,0.0127619586946367,1.3024279654427449,0.0116492038705396,0.8726486402346483,0.0042034717494868,0.243506654792546,0.0047550851107085,0.2282736991483843,,,0.0083424298563429
reversal_4w_global,inf,slow decay,,No observed exponential decay across available horizons.,0.0028774397007316,0.2571021472084845,0.0055306118484672,0.393369922999875,-0.0055574860270273,-0.3320954530609902,0.0038784074120044,0.2121471981432262,,,0.0016822432335439753
reversal_4w_asset_class_neutral,inf,slow decay,,No observed exponential decay across available horizons.,0.0001618894120267,0.0199485249565733,0.0013454923236973,0.1344198569784035,-0.0028387329576451,-0.2405199875786937,0.0066254863872456,0.5475694061192784,,,0.001323533791331125
quality_proxy_asset_class_neutral,7.755759584016203,slow decay,Weak/non-positive average IC.,,-0.0008810528386685,-0.1186004379616666,-0.0024399925103881,-0.2417765487391454,0.0015128049632823,0.1130974690852965,-0.001136812484032,-0.070451363527768,,,-0.000736263217451575
reversal_1w_global,27.8434394504426,slow decay,Weak/non-positive average IC.,,-0.0081377459726697,-0.7129600811892123,-0.0038649823246061,-0.3798590820270526,0.0097796041131947,0.8540003278308796,-0.0062983661876649,-0.5770762031587345,,,-0.0021303725929365004
reversal_1w_asset_class_neutral,256.0640112657198,slow decay,Weak/non-positive average IC.,,-0.0060531912074988,-0.8215976592992132,-0.0034205516184961,-0.4625574149357457,0.0016837469221261,0.2125641603489003,-0.0036621275753986,-0.484667285243388,,,-0.00286303086981685
carry_proxy_asset_class_neutral,inf,slow decay,Weak/non-positive average IC.,No observed exponential decay across available horizons.,-0.0036487208428697,-0.4871381636896123,-0.0100686170591867,-0.9318218789130784,-0.015947201562963,-1.1510818293589904,-0.0186124764779274,-1.095250560178964,,,-0.0120692539857367
carry_proxy,inf,slow decay,Weak/non-positive average IC.,No observed exponential decay across available horizons.,-0.0102099424890859,-1.1826935521174384,-0.0186322155152301,-1.5207625045428763,-0.0213835203006918,-1.3231741166639563,-0.0219854893420613,-1.0767812876869054,,,-0.018052791911767275
bab_proxy_asset_class_neutral,inf,slow decay,Weak/non-positive average IC.,No observed exponential decay across available horizons.,-0.0120835498002867,-1.4070109158797373,-0.0254630588175063,-2.184140712381043,-0.029306818167597,-1.9273745448835944,-0.0380666551939473,-2.049400405875641,,,-0.026230020494834326
value_proxy_asset_class_neutral,inf,slow decay,Weak/non-positive average IC.,No observed exponential decay across available horizons.,-0.0251515078982177,-3.172602109402901,-0.0294441762092504,-2.7817440470161268,-0.0323834393091909,-2.316306997553097,-0.0327064333195192,-1.8503893803169325,,,-0.02992138918404455
quality_proxy,inf,slow decay,Weak/non-positive average IC.,No observed exponential decay across available horizons.,-0.0269693266304873,-2.324340385437764,-0.0449842070030598,-2.8449705339572593,-0.0516350125236394,-2.417793162271822,-0.0649430652530607,-2.5102278323201315,,,-0.0471329028525618
value_proxy,inf,slow decay,Weak/non-positive average IC.,No observed exponential decay across available horizons.,-0.0475870414442495,-4.2514702095168495,-0.0497098390524944,-3.293068634256473,-0.0575549013854514,-2.9079742573357805,-0.060951765859126,-2.4884381030808203,,,-0.05395088693533032
bab_proxy,inf,slow decay,Weak/non-positive average IC.,No observed exponential decay across available horizons.,-0.0570502039926056,-4.103879595813248,-0.0931547723746369,-4.940975813330991,-0.1185041422767805,-4.653549238981135,-0.1486360906556263,-4.7298689176135165,,,-0.10433630232491234
google_fear_regime,,unclear,,No IC-by-horizon rows available.,,,,,,,,,,,
macro_risk_score,,unclear,,No IC-by-horizon rows available.,,,,,,,,,,,
vix_term_structure_regime,,unclear,,No IC-by-horizon rows available.,,,,,,,,,,,
