Date,Ticker,signal_name,signal_value_observed,source,frequency,lag_periods,research_only,notes,signal_value_tradable
2016-08-05,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2016-08-12,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2016-08-19,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2016-08-26,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2016-09-02,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2016-09-09,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2016-09-16,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2016-09-23,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2016-09-30,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2016-10-07,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2016-10-14,XLF,bm_sector_above_200d_ma,0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2016-10-21,XLF,bm_sector_above_200d_ma,0.6666666666666666,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.7777777777777778
2016-10-28,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.6666666666666666
2016-11-04,XLF,bm_sector_above_200d_ma,0.5555555555555556,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2016-11-11,XLF,bm_sector_above_200d_ma,0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.5555555555555556
2016-11-18,XLF,bm_sector_above_200d_ma,0.6666666666666666,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.7777777777777778
2016-11-25,XLF,bm_sector_above_200d_ma,0.6666666666666666,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.6666666666666666
