Date,Ticker,signal_name,signal_value_observed,source,frequency,lag_periods,research_only,notes,signal_value_tradable
2005-01-07,BIL,bm_breadth_momentum_13w,,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,
2005-01-14,BIL,bm_breadth_momentum_13w,,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,
2005-01-21,BIL,bm_breadth_momentum_13w,,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,
2005-01-28,BIL,bm_breadth_momentum_13w,,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,
2005-02-04,BIL,bm_breadth_momentum_13w,,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,
2005-02-11,BIL,bm_breadth_momentum_13w,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,
2005-02-18,BIL,bm_breadth_momentum_13w,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.0
2005-02-25,BIL,bm_breadth_momentum_13w,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.0
2005-03-04,BIL,bm_breadth_momentum_13w,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.0
2005-03-11,BIL,bm_breadth_momentum_13w,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.0
2005-03-18,BIL,bm_breadth_momentum_13w,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.0
2005-03-25,BIL,bm_breadth_momentum_13w,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.0
2005-04-01,BIL,bm_breadth_momentum_13w,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.0
2005-04-08,BIL,bm_breadth_momentum_13w,-0.36923076923076925,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.0
2005-04-15,BIL,bm_breadth_momentum_13w,-0.20659340659340658,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.36923076923076925
2005-04-22,BIL,bm_breadth_momentum_13w,-0.26593406593406593,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.20659340659340658
2005-04-29,BIL,bm_breadth_momentum_13w,-0.23956043956043954,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.26593406593406593
2005-05-06,BIL,bm_breadth_momentum_13w,-0.16043956043956042,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.23956043956043954
2005-05-13,BIL,bm_breadth_momentum_13w,-0.05934065934065935,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.16043956043956042
2005-05-20,BIL,bm_breadth_momentum_13w,-0.14945054945054945,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.05934065934065935
2005-05-27,BIL,bm_breadth_momentum_13w,-0.12527472527472525,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.14945054945054945
2005-06-03,BIL,bm_breadth_momentum_13w,-0.07472527472527471,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.12527472527472525
2005-06-10,BIL,bm_breadth_momentum_13w,-0.21098901098901096,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.07472527472527471
2005-06-17,BIL,bm_breadth_momentum_13w,-0.2813186813186813,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.21098901098901096
2005-06-24,BIL,bm_breadth_momentum_13w,-0.23736263736263735,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.2813186813186813
2005-07-01,BIL,bm_breadth_momentum_13w,-0.2461538461538461,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.23736263736263735
2005-07-08,BIL,bm_breadth_momentum_13w,-0.1758241758241758,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.2461538461538461
2005-07-15,BIL,bm_breadth_momentum_13w,-0.23076923076923078,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.1758241758241758
2005-07-22,BIL,bm_breadth_momentum_13w,-0.20659340659340664,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.23076923076923078
2005-07-29,BIL,bm_breadth_momentum_13w,-0.156043956043956,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.20659340659340664
2005-08-05,BIL,bm_breadth_momentum_13w,-0.12967032967032965,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.156043956043956
2005-08-12,BIL,bm_breadth_momentum_13w,-0.14945054945054947,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.12967032967032965
2005-08-19,BIL,bm_breadth_momentum_13w,-0.06813186813186822,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.14945054945054947
2005-08-26,BIL,bm_breadth_momentum_13w,0.03516483516483515,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.06813186813186822
2005-09-02,BIL,bm_breadth_momentum_13w,-0.05054945054945059,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,0.03516483516483515
2005-09-09,BIL,bm_breadth_momentum_13w,-0.11428571428571432,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.05054945054945059
2005-09-16,BIL,bm_breadth_momentum_13w,0.05714285714285716,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.11428571428571432
2005-09-23,BIL,bm_breadth_momentum_13w,0.05714285714285716,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,0.05714285714285716
2005-09-30,BIL,bm_breadth_momentum_13w,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,0.05714285714285716
2005-10-07,BIL,bm_breadth_momentum_13w,0.2681318681318682,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.0
2005-10-14,BIL,bm_breadth_momentum_13w,0.32307692307692304,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,0.2681318681318682
2005-10-21,BIL,bm_breadth_momentum_13w,0.31868131868131877,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,0.32307692307692304
2005-10-28,BIL,bm_breadth_momentum_13w,0.23516483516483522,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,0.31868131868131877
2005-11-04,BIL,bm_breadth_momentum_13w,0.07692307692307693,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,0.23516483516483522
2005-11-11,BIL,bm_breadth_momentum_13w,-0.021978021978021955,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,0.07692307692307693
2005-11-18,BIL,bm_breadth_momentum_13w,-0.08351648351648355,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.021978021978021955
2005-11-25,BIL,bm_breadth_momentum_13w,-0.1340659340659341,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.08351648351648355
2005-12-02,BIL,bm_breadth_momentum_13w,-0.057142857142857106,data/01_data_hub weekly/daily ETF prices,weekly,1,True,ETF breadth versus its 13-week average.,-0.1340659340659341
