base_signal,gated_signal_name,gate_name,avg_full_mean_ic,avg_holdout_mean_ic,avg_full_nw_tstat,avg_holdout_nw_tstat,min_full_n_dates,min_holdout_n_dates,calm_trend_mean_ic,stressed_panic_mean_ic,base_unconditional_stressed_panic_mean_ic,stressed_panic_improvement,max_redundancy_vs_strong,most_redundant_existing_signal,gate_active_share,research_only,verdict,verdict_reason
r2_cross_asset_divergence,r2_cross_asset_divergence__calm_trend_only,calm_trend_only,0.021347148139709008,-0.07109251661420432,0.533147070148358,-1.4782364075702876,273,102,0.033532031926286184,,-0.10382297764783685,,0.03620339949227233,multi_mom_invvol,0.26576576576576577,True,research-only,holdout IC not positive
r2_cross_asset_divergence,r2_cross_asset_divergence__no_stressed_panic,no_stressed_panic,0.012779158383182184,-0.004424506429138312,0.5373021261066652,-0.05769840548040146,727,246,0.018545796655311746,-0.1161054376328313,-0.10382297764783685,-0.012282459984994443,0.032665273969163154,breadth_confirmed_momentum,0.7927927927927928,True,research-only,holdout IC not positive; stressed_panic damage remains
r2_cross_asset_divergence,r2_cross_asset_divergence__recovery_only,recovery_only,0.08285072955945742,0.13612478934966493,1.4324393136738345,1.67244447211178,83,34,-0.01623278076806204,-0.3744239410157338,-0.10382297764783685,-0.27060096336789696,0.019460312663044172,breadth_confirmed_momentum,0.08288288288288288,True,research-only,insufficient observations; stressed_panic damage remains
r2_cross_asset_divergence,r2_cross_asset_divergence__vix_below_past_median,vix_below_past_median,0.005627257012873625,-0.08884582457650972,0.21243373411996216,-2.58526629582546,499,155,0.015247719108227979,-0.18932934610592356,-0.10382297764783685,-0.0855063684580867,0.02613728948859387,multi_mom_invvol,0.4864864864864865,True,research-only,holdout IC not positive; stressed_panic damage remains
r2_cross_asset_divergence,r2_cross_asset_divergence__breadth_confirms,breadth_confirms,-0.006565368747152685,-0.03553537519774499,-0.20323213459730088,-0.9324646025835325,907,308,0.018545796655311746,-0.10164878820431666,-0.10382297764783685,0.002174189443520186,0.08594784457269215,breadth_confirmed_momentum,0.981081081081081,True,reject,full IC not positive; holdout IC not positive; stressed_panic damage remains
r2_cross_asset_divergence,r2_cross_asset_divergence__calm_or_breadth_no_stress,calm_or_breadth_no_stress,0.012779158383182184,-0.004424506429138312,0.5373021261066652,-0.05769840548040146,727,246,0.018545796655311746,-0.1161054376328313,-0.10382297764783685,-0.012282459984994443,0.032665273969163154,breadth_confirmed_momentum,0.7810810810810811,True,research-only,holdout IC not positive; stressed_panic damage remains
r2_dollar_strength,r2_dollar_strength__unconditional,unconditional,0.03135849250571572,0.03877691568260457,1.5170004789927583,1.2049432351405087,907,315,0.029301193551684278,0.016079307230781874,0.016079307230781874,0.0,0.11216050999381273,breadth_confirmed_momentum,0.9990990990990991,True,candidate-pass,Positive full/holdout IC and no large stressed_panic damage under this gate.
r2_dollar_strength,r2_dollar_strength__calm_trend_only,calm_trend_only,0.032403269259308747,0.03877135253075996,0.9480266876401767,1.0409598813914684,273,102,0.024589502046855914,,0.016079307230781874,,0.025851768372672928,breadth_confirmed_momentum,0.26576576576576577,True,candidate-pass,Positive full/holdout IC and no large stressed_panic damage under this gate.
r2_dollar_strength,r2_dollar_strength__no_stressed_panic,no_stressed_panic,0.03143907598968596,0.03634839523145532,1.2940570496733275,1.030379932206732,724,246,0.029301193551684278,0.037539511120003324,0.016079307230781874,0.02146020388922145,0.08460751619714954,breadth_confirmed_momentum,0.7927927927927928,True,promising-if-gated,Gate improved stressed_panic behavior while retaining positive holdout/calm evidence.
r2_dollar_strength,r2_dollar_strength__recovery_only,recovery_only,0.1369093244953862,0.13466767099605123,2.6796478031684865,1.8480628334727993,83,34,0.24071784566810397,-0.13973406776543507,0.016079307230781874,-0.15581337499621695,0.04421749495648475,breadth_confirmed_momentum,0.08288288288288288,True,promising-if-gated,insufficient observations; stressed_panic damage remains
r2_dollar_strength,r2_dollar_strength__vix_below_past_median,vix_below_past_median,0.04003771968466546,0.015128992586577933,1.465776087660868,0.36144891089837156,499,155,0.027446898898782646,0.16437777433766437,0.016079307230781874,0.1482984671068825,0.0572348657051181,breadth_confirmed_momentum,0.4864864864864865,True,promising-if-gated,Gate improved stressed_panic behavior while retaining positive holdout/calm evidence.
r2_dollar_strength,r2_dollar_strength__breadth_confirms,breadth_confirms,0.0333610596566246,0.04471872021970653,1.6112309918300185,1.3954820234197451,900,308,0.029301193551684278,0.025744561863685168,0.016079307230781874,0.009665254632903294,0.10955179805413895,breadth_confirmed_momentum,0.981081081081081,True,candidate-pass,Positive full/holdout IC and no large stressed_panic damage under this gate.
r2_dollar_strength,r2_dollar_strength__calm_or_breadth_no_stress,calm_or_breadth_no_stress,0.03143907598968596,0.03634839523145532,1.2940570496733275,1.030379932206732,724,246,0.029301193551684278,0.037539511120003324,0.016079307230781874,0.02146020388922145,0.08460751619714954,breadth_confirmed_momentum,0.7810810810810811,True,promising-if-gated,Gate improved stressed_panic behavior while retaining positive holdout/calm evidence.
