signal_name,market_state,horizon_weeks,mean_ic,ic_tstat_nw,hit_rate,n_dates,mean_coverage,warning,base_signal,gate_name
r2_yield_curve__unconditional,calm_trend,1,-0.04997497866308859,-2.121943712377418,0.45185185185185184,270,34.32592592592592,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,neutral_mixed,1,-8.119671102242254e-05,-0.003612266392944719,0.49635036496350365,411,34.13138686131387,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,recovery_confirmed,1,0.04960625560316041,0.6881993608393787,0.5384615384615384,39,34.333333333333336,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,recovery_fragile,1,-0.06172873491337026,-1.1174491916482752,0.4222222222222222,45,34.22222222222222,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,stressed_panic,1,-0.027740899669607487,-0.7803609082935443,0.4883720930232558,215,34.51162790697674,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,calm_trend,2,-0.07499300154317044,-2.2891162547717405,0.40370370370370373,270,34.32592592592592,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,neutral_mixed,2,0.0128780687751519,0.43821279977372923,0.5304136253041363,411,34.13138686131387,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,recovery_confirmed,2,-0.01382766625317458,-0.1905855415460929,0.48717948717948717,39,34.333333333333336,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,recovery_fragile,2,-0.1095940638579139,-1.8807428867041065,0.28888888888888886,45,34.22222222222222,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,stressed_panic,2,-0.007225428390872108,-0.17660020403794105,0.4953271028037383,214,34.50934579439252,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,calm_trend,4,-0.06077465261511046,-1.4455717404785446,0.44074074074074077,270,34.32592592592592,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,neutral_mixed,4,-5.798647698190489e-05,-0.0016414575912113137,0.4938875305623472,409,34.127139364303176,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,recovery_confirmed,4,0.09407099505790628,1.0578367448431023,0.5641025641025641,39,34.333333333333336,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,recovery_fragile,4,-0.06727972988567228,-0.8425983984930573,0.4222222222222222,45,34.22222222222222,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,stressed_panic,4,0.007751269896682913,0.1397881490787408,0.49065420560747663,214,34.50934579439252,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,calm_trend,8,-0.11591594875587467,-2.3791248074209843,0.3888888888888889,270,34.32592592592592,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,neutral_mixed,8,-0.023543373325577363,-0.5461606755428373,0.4827586206896552,406,34.12068965517241,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,recovery_confirmed,8,0.19142887339615244,1.6042048427651354,0.6666666666666666,39,34.333333333333336,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,recovery_fragile,8,0.05901596596168686,0.5683134695315826,0.5333333333333333,45,34.22222222222222,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,stressed_panic,8,-0.022708509393807613,-0.33650239657298525,0.4694835680751174,213,34.50704225352113,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,calm_trend,13,-0.16858432401473633,-3.4056253163253696,0.37037037037037035,270,34.32592592592592,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,neutral_mixed,13,0.002783757783848412,0.06061073367104195,0.5062344139650873,401,34.109725685785534,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,recovery_confirmed,13,0.22175961155344995,2.1442046129992427,0.6666666666666666,39,34.333333333333336,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,recovery_fragile,13,-0.024086140771082086,-0.23244342431384238,0.4888888888888889,45,34.22222222222222,,r2_yield_curve,unconditional
r2_yield_curve__unconditional,stressed_panic,13,-0.06556849486090452,-0.9324448034347851,0.4084507042253521,213,34.50704225352113,,r2_yield_curve,unconditional
r2_yield_curve__calm_trend_only,calm_trend,1,-0.0425488344779447,-1.7010104507506525,0.45454545454545453,231,34.35064935064935,,r2_yield_curve,calm_trend_only
r2_yield_curve__calm_trend_only,neutral_mixed,1,-0.15399162992706547,-2.49901193038508,0.3333333333333333,36,34.361111111111114,,r2_yield_curve,calm_trend_only
r2_yield_curve__calm_trend_only,recovery_confirmed,1,-0.1347169455234782,,0.5,2,31.5,Small state sample; treat as directional only.,r2_yield_curve,calm_trend_only
r2_yield_curve__calm_trend_only,calm_trend,2,-0.06565380640297319,-1.886137403596231,0.4199134199134199,231,34.35064935064935,,r2_yield_curve,calm_trend_only
r2_yield_curve__calm_trend_only,neutral_mixed,2,-0.10393718203834121,-1.2479759915801396,0.4166666666666667,36,34.361111111111114,,r2_yield_curve,calm_trend_only
r2_yield_curve__calm_trend_only,recovery_confirmed,2,0.038054711648445094,,0.5,2,31.5,Small state sample; treat as directional only.,r2_yield_curve,calm_trend_only
