signal_name,category,gate,intended_use,verdict,b6_recommendation,avg_full_ic,2016_plus_avg_ic,2020_plus_avg_ic,2022_bear_rate_shock_avg_ic,2023_plus_avg_ic,calm_trend_avg_ic,stressed_panic_avg_ic,max_abs_redundancy_existing,most_redundant_existing_signal,subperiod_positive_share,portfolio_usefulness_score,stress_safety_flags,verdict_reason
r2_commodity_regime__recovery_only,gated_macro,recovery_only,macro_gate,research-only,gate-filter-candidate,0.0936720931058326,0.0890202507916267,0.0993491819290709,,0.0576853863196379,0.2611392236360141,0.0300883785722749,0.0598638283451566,breadth_confirmed_momentum,1.0,6.671882036753181,sample_size_too_small,Insufficient sample for a robust B6 decision.
bm_etf_above_50d_ma,breadth,none,alpha_or_offense_gate,promising-if-gated,gate-filter-candidate,0.1181802754162295,0.143971745090224,0.1257632318578575,-0.0296967388016945,0.1342467492354824,0.1233225431165702,0.0833595484366211,0.2120522705139374,multi_mom_equal,1.0,6.481697643689242,2022_ic_negative,"Passed B6 checks as a gated/filter candidate, not standalone alpha."
bm_etf_positive_13w_mom,breadth,none,alpha_or_offense_gate,promising-if-gated,gate-filter-candidate,0.1212870282288231,0.143971745090224,0.1257632318578575,-0.0296967388016945,0.1342467492354824,0.1233225431165702,0.0833595484366211,0.2542393052585996,multi_mom_equal,1.0,6.4395106089445795,2022_ic_negative,"Passed B6 checks as a gated/filter candidate, not standalone alpha."
bm_etf_above_200d_ma,breadth,none,alpha_or_offense_gate,promising-if-gated,gate-filter-candidate,0.120704522830994,0.143971745090224,0.1257632318578575,-0.0296967388016945,0.1342467492354824,0.1233225431165702,0.0833595484366211,0.279366154405351,multi_mom_equal,1.0,6.414383759797828,2022_ic_negative,"Passed B6 checks as a gated/filter candidate, not standalone alpha."
bm_etf_positive_26w_mom,breadth,none,alpha_or_offense_gate,promising-if-gated,gate-filter-candidate,0.1196167051681093,0.143971745090224,0.1257632318578575,-0.0296967388016945,0.1342467492354824,0.1233225431165702,0.0833595484366211,0.2851068441474972,multi_mom_equal,1.0,6.408643070055682,2022_ic_negative,"Passed B6 checks as a gated/filter candidate, not standalone alpha."
bm_sector_positive_26w_mom,sector_breadth,none,offense_gate,promising-if-gated,gate-filter-candidate,0.120067658346148,0.1406943450593815,0.1200314823584411,-0.0383232818386144,0.132155804161021,0.1233225431165702,0.0800532128642961,0.3102199740004832,multi_mom_equal,1.0,6.263711096200395,2022_ic_negative,"Passed B6 checks as a gated/filter candidate, not standalone alpha."
bm_sector_above_200d_ma,sector_breadth,none,offense_gate,promising-if-gated,gate-filter-candidate,0.1205433868440865,0.1399813107617764,0.1187811984779424,-0.0383232818386144,0.132155804161021,0.1233225431165702,0.0744929865965331,0.3072765606569536,multi_mom_equal,1.0,6.223849971639125,2022_ic_negative,"Passed B6 checks as a gated/filter candidate, not standalone alpha."
bm_sector_above_50d_ma,sector_breadth,none,offense_gate,promising-if-gated,gate-filter-candidate,0.1149712592933411,0.1391753676549847,0.1187454447416029,-0.0542060171001263,0.1316199741737115,0.1219949667794993,0.064871955298891,0.2172382109401594,multi_mom_equal,1.0,6.19120256828902,2022_ic_negative,"Passed B6 checks as a gated/filter candidate, not standalone alpha."
bm_quality_breadth_confirmation,signal_quality,none,offense_gate,promising-if-gated,gate-filter-candidate,0.1212870282288231,0.143971745090224,0.1257632318578575,-0.0296967388016945,0.1342467492354824,0.1233225431165702,0.0833595484366211,0.2542393052585996,multi_mom_equal,1.0,6.13951060894458,2022_ic_negative,"Passed B6 checks as a gated/filter candidate, not standalone alpha."
r2_financial_conditions__recovery_only,gated_macro,recovery_only,macro_gate,research-only,gate-filter-candidate,0.0749872010805823,0.0641655874272016,0.1973297335676345,,0.0974642764924503,0.0872970893837061,0.0416810275393621,0.04008973435295,breadth_confirmed_momentum,0.6,6.134648921225123,sample_size_too_small,Insufficient sample for a robust B6 decision.
