reason_category,n_weeks,avg_volatility_pressure,avg_breadth_sma_43,avg_breadth_13w_mom,avg_breadth_change_4w,avg_drawdown_pressure,avg_correlation_pressure,avg_market_trend_positive,avg_risk_regime_score,avg_recent_stress_26w,avg_transition_good_state_prob,avg_transition_non_stress_prob,avg_transition_persistence_prob
volatility_high,147,0.037635000089365364,0.7983479105928086,0.7730806608357629,0.06802721088435373,-0.0251487588123275,0.09611253487604994,1.0,-0.019590896989184314,0.7414965986394558,0.401036203718038,0.9573004609657497,0.7053209978822607
unknown,108,-0.008048902419271095,0.8128306878306878,0.7076719576719577,0.00396825396825397,-0.019347588865786566,-0.9893989317010871,1.0,-0.5258093683214807,0.0,0.6358130986627649,0.985547405782593,0.8263520532206688
breadth_or_trend_weak,38,-0.28181869200615867,0.6353383458646618,0.4454887218045112,-0.14661654135338345,-0.03812237409895058,-0.5701441417834762,1.0,-0.44343317022590756,0.0,0.27275270565142984,0.9587446493013727,0.8319516094429013
signal_failed,29,-0.4227484940312826,0.7413793103448275,0.6847290640394089,0.017241379310344824,-0.009778697450485763,-0.5354174767760215,1.0,-0.31983828437870687,0.0,0.2881559944632027,0.9829988851727983,0.8721004157932076
regime_uncertain,24,0.18961208034677365,0.8303571428571429,0.7797619047619048,-0.011904761904761913,-0.005473968255505058,-0.5857222065998607,1.0,-0.31746137726266815,0.0,0.1535790598290598,0.9244123931623932,0.7708333333333334
residual_normalization_cash,18,-0.4995782076682609,0.9007936507936508,0.873015873015873,0.11507936507936509,-0.001342279442988295,-1.2685614625014543,1.0,-0.8394937610552948,0.0,0.8551881841355525,1.0,0.8530420602789023
defensive_fallback,13,-0.15116343923237963,0.6703296703296704,0.5934065934065933,-0.005494505494505475,-0.06850143317189479,1.016383680858434,1.0,0.17017406328423534,0.9230769230769231,0.21953123041832714,0.9314459733814572,0.740507118329699
