variant_name,base_signal,decision,reason,event_count,event_frequency,event_start_count,incrementality_flag,best_horizon_weeks,best_return_lift_vs_all_weeks,best_return_lift_vs_raw,best_positive_barrier_lift_vs_raw,best_negative_barrier_lift_vs_raw,holdout_event_count_max,holdout_avg_return_best,assigned_next_phase
breadth_ret13_positive_x_recovery_confirmed_state_filtered_event,breadth_ret13_positive_x_recovery_confirmed_signal,KEEP_FOR_ADDITIONAL_EVENT_VALIDATION,Variant improves raw behavior but has simplification/state-overlap concerns.,44,0.03963963963963964,19,DUPLICATES_STATE_ENGINE,13,0.026572137756434463,0.026572137756434463,0.4417235319624804,-0.07321359289773376,34,0.05324794861914638,additional signal validation before portfolio pass-through
efa_spy_strength_scaled_score_event,leadlag_EFA_minus_SPY_13w_signal,KEEP_FOR_ADDITIONAL_EVENT_VALIDATION,Variant improves raw behavior but has simplification/state-overlap concerns.,211,0.1900900900900901,35,INCREMENTAL_SELECTIVE,13,0.009106613478787027,0.008103385435121877,0.2634616845143161,0.013290802764486978,141,0.029361274826713035,additional signal validation before portfolio pass-through
market_trend_vol_scaled_score_event,market_trend_positive_signal,KEEP_FOR_ADDITIONAL_EVENT_VALIDATION,Variant improves raw behavior but has simplification/state-overlap concerns.,178,0.16036036036036036,21,INCREMENTAL_SELECTIVE,13,0.0024360210420837115,0.0005219664715225836,0.22774524363249182,0.12124183922216929,121,0.026913714407127035,additional signal validation before portfolio pass-through
efa_spy_raw_top10_event,leadlag_EFA_minus_SPY_13w_signal,KEEP_FOR_OOO6_PORTFOLIO_PASS_THROUGH,Sized variant improves raw event behavior with acceptable selectivity and holdout.,84,0.07567567567567568,20,INCREMENTAL_SELECTIVE,13,0.010060414005394147,0.009057185961728997,0.046031746031746035,-0.02539682539682539,48,0.02606157846938748,OOO6 GGG1 portfolio pass-through
efa_spy_low_or_normal_vol_top20_event,leadlag_EFA_minus_SPY_13w_signal,KEEP_FOR_OOO6_PORTFOLIO_PASS_THROUGH,Sized variant improves raw event behavior with acceptable selectivity and holdout.,89,0.08018018018018018,21,INCREMENTAL_SELECTIVE,13,0.007880032221471926,0.0068768041778067765,0.10892172961138485,0.01532567049808431,48,0.020331882379376155,OOO6 GGG1 portfolio pass-through
efa_spy_vol_filtered_top20_event,leadlag_EFA_minus_SPY_13w_signal,KEEP_FOR_OOO6_PORTFOLIO_PASS_THROUGH,Sized variant improves raw event behavior with acceptable selectivity and holdout.,109,0.0981981981981982,24,INCREMENTAL_SELECTIVE,13,0.007044894085390267,0.0060416660417251175,0.0594852827862537,0.015102481121898603,60,0.01895688446685075,OOO6 GGG1 portfolio pass-through
efa_spy_raw_top30_event,leadlag_EFA_minus_SPY_13w_signal,KEEP_FOR_OOO6_PORTFOLIO_PASS_THROUGH,Sized variant improves raw event behavior with acceptable selectivity and holdout.,219,0.1972972972972973,39,INCREMENTAL_SELECTIVE,13,0.0028607588675688515,0.0018575308239037018,0.08234126984126988,-0.006944444444444434,114,0.020470646759345956,OOO6 GGG1 portfolio pass-through
market_trend_breadth_confirmed_event,market_trend_positive_signal,KEEP_FOR_OOO6_PORTFOLIO_PASS_THROUGH,Sized variant improves raw event behavior with acceptable selectivity and holdout.,344,0.3099099099099099,66,INCREMENTAL_SELECTIVE,13,0.002858680591072745,0.0009446260205116172,0.07007182642196902,0.00804127406035808,210,0.023805876956762215,OOO6 GGG1 portfolio pass-through
efa_spy_market_trend_confirmed_top20_event,leadlag_EFA_minus_SPY_13w_signal,KEEP_FOR_OOO6_PORTFOLIO_PASS_THROUGH,Sized variant improves raw event behavior with acceptable selectivity and holdout.,107,0.0963963963963964,32,INCREMENTAL_SELECTIVE,13,0.0014453026604156864,0.0004420746167505367,-0.007936507936507908,-0.033333333333333326,48,0.0201228092742273,OOO6 GGG1 portfolio pass-through
leadlag_GLD_minus_SPY_13w_vol_filtered_top20_event,leadlag_GLD_minus_SPY_13w_signal,KEEP_FOR_OOO6_PORTFOLIO_PASS_THROUGH,Sized variant improves raw event behavior with acceptable selectivity and holdout.,124,0.11171171171171171,33,INCREMENTAL_SELECTIVE,13,0.0012380038624032023,0.0001455240771729878,0.07495798319327729,0.007731092436974792,81,0.030103413003804508,OOO6 GGG1 portfolio pass-through
