variant_name,base_signal,horizon_weeks,market_state,event_count,avg_final_return,positive_barrier_hit_rate,negative_barrier_hit_rate,same_state_avg_return,same_state_positive_rate,same_state_negative_rate,return_lift_vs_same_state,positive_barrier_lift_vs_same_state,negative_barrier_lift_vs_same_state
breadth_ret13_positive_x_recovery_confirmed_state_filtered_event,breadth_ret13_positive_x_recovery_confirmed_signal,4,recovery_confirmed,43,0.016731987480889613,0.3953488372093023,0.11627906976744186,0.016731987480889613,0.3953488372093023,0.11627906976744186,0.0,0.0,0.0
breadth_ret13_positive_x_recovery_confirmed_state_filtered_event,breadth_ret13_positive_x_recovery_confirmed_signal,8,recovery_confirmed,43,0.032721388263432204,0.6744186046511628,0.046511627906976744,0.032721388263432204,0.6744186046511628,0.046511627906976744,0.0,0.0,0.0
breadth_ret13_positive_x_recovery_confirmed_state_filtered_event,breadth_ret13_positive_x_recovery_confirmed_signal,13,recovery_confirmed,43,0.045828379362982896,0.8372093023255814,0.046511627906976744,0.045828379362982896,0.8372093023255814,0.046511627906976744,0.0,0.0,0.0
breadth_ret13_positive_x_recovery_confirmed_top20_event,breadth_ret13_positive_x_recovery_confirmed_signal,4,calm_trend,287,0.005264166686956422,0.3170731707317073,0.20209059233449478,0.005264166686956422,0.3170731707317073,0.20209059233449478,0.0,0.0,0.0
breadth_ret13_positive_x_recovery_confirmed_top20_event,breadth_ret13_positive_x_recovery_confirmed_signal,4,neutral_mixed,423,0.006913860664367966,0.36879432624113473,0.12293144208037825,0.006913860664367966,0.36879432624113473,0.12293144208037825,0.0,0.0,0.0
breadth_ret13_positive_x_recovery_confirmed_top20_event,breadth_ret13_positive_x_recovery_confirmed_signal,4,recovery_confirmed,43,0.016731987480889613,0.3953488372093023,0.11627906976744186,0.016731987480889613,0.3953488372093023,0.11627906976744186,0.0,0.0,0.0
breadth_ret13_positive_x_recovery_confirmed_top20_event,breadth_ret13_positive_x_recovery_confirmed_signal,4,recovery_fragile,49,0.00374519511293821,0.22448979591836735,0.24489795918367346,0.00374519511293821,0.22448979591836735,0.24489795918367346,0.0,0.0,0.0
breadth_ret13_positive_x_recovery_confirmed_top20_event,breadth_ret13_positive_x_recovery_confirmed_signal,4,stressed_panic,226,0.00292564687544051,0.11061946902654868,0.11504424778761062,0.00292564687544051,0.11061946902654868,0.11504424778761062,0.0,0.0,0.0
breadth_ret13_positive_x_recovery_confirmed_top20_event,breadth_ret13_positive_x_recovery_confirmed_signal,8,calm_trend,287,0.01108697225977656,0.3902439024390244,0.17770034843205576,0.01108697225977656,0.3902439024390244,0.17770034843205576,0.0,0.0,0.0
breadth_ret13_positive_x_recovery_confirmed_top20_event,breadth_ret13_positive_x_recovery_confirmed_signal,8,neutral_mixed,420,0.012411932737063182,0.3761904761904762,0.1357142857142857,0.012411932737063182,0.3761904761904762,0.1357142857142857,0.0,0.0,0.0
