label,mean_ic,std_ic,t_stat,n_dates,pct_positive,component,scope
trend_r2_score,0.013771448629616647,0.30915433747296306,1.4482441270445128,1057,0.5023651844843898,trend_r2_score,full
trend_r2_score,0.014981873681098185,0.3191291267436844,1.4500196062968131,954,0.5031446540880503,trend_r2_score,dev
trend_r2_score,0.002560327279001238,0.19447212464062788,0.13361546789160067,103,0.49514563106796117,trend_r2_score,holdout
anti_whipsaw,-0.000941453137077223,0.23733662105779624,-0.1302396835398113,1078,0.5102040816326531,anti_whipsaw,full
anti_whipsaw,0.0011167140669651322,0.23624707216376187,0.14759711197915776,975,0.5076923076923077,anti_whipsaw,dev
anti_whipsaw,-0.020424103854953874,0.24775865325090973,-0.8366287619758352,103,0.5339805825242718,anti_whipsaw,holdout
trend_persistence_norm,0.0029486254791883694,0.34652493832471126,0.2815737589796805,1095,0.5013698630136987,trend_persistence_norm,full
trend_persistence_norm,0.004561233386142939,0.3530377306412223,0.40692746956493653,992,0.5050403225806451,trend_persistence_norm,dev
trend_persistence_norm,-0.012582510867403255,0.27698774483257643,-0.46102595075842323,103,0.46601941747572817,trend_persistence_norm,holdout
ma_distance_z,0.020301967774659726,0.37344507932170906,1.7242902920846916,1006,0.5228628230616302,ma_distance_z,full
ma_distance_z,0.02460436579390739,0.3800356111976496,1.9455023341103852,903,0.5337763012181617,ma_distance_z,dev
ma_distance_z,-0.017417113889230038,0.30873022484266077,-0.5725529475733784,103,0.42718446601941745,ma_distance_z,holdout
multi_window_agreement,0.012222881692139186,0.3453978787409353,1.1710110729143328,1095,0.5214611872146119,multi_window_agreement,full
multi_window_agreement,0.016122548409715116,0.35243433514621963,1.4408252598267894,992,0.5292338709677419,multi_window_agreement,dev
multi_window_agreement,-0.025335073490728017,0.2668152303521442,-0.9636740500596193,103,0.44660194174757284,multi_window_agreement,holdout
trend_quality_composite,0.014655975942139611,0.32896395987610866,1.4484513613749366,1057,0.5061494796594135,trend_quality_composite,full
trend_quality_composite,0.017758387981550525,0.33946772138399434,1.6157688908929655,954,0.5115303983228512,trend_quality_composite,dev
trend_quality_composite,-0.01407898605395757,0.20677480606061244,-0.6910227872063697,103,0.4563106796116505,trend_quality_composite,holdout
partial_ic,0.0075082027375680096,0.22224242129192762,1.0983645934347832,1057,0.5061494796594135,partial_ic,full
partial_ic,0.009925374528099922,0.2231357847466671,1.3738896959280738,954,0.5136268343815513,partial_ic,dev
partial_ic,-0.01487997093396057,0.21353604990817826,-0.7072117872622783,103,0.4368932038834951,partial_ic,holdout
mom13w_control,0.020079854035364476,0.3978258852860786,1.6702234357780499,1095,0.5123287671232877,mom13w_control,full
mom13w_control,0.022274150927507574,0.4003112263527485,1.7525048336823186,992,0.5231854838709677,mom13w_control,dev
mom13w_control,-0.0010535684598389004,0.3742282413132705,-0.028572274550373568,103,0.4077669902912621,mom13w_control,holdout
mom26w_control,0.030631725103668937,0.41477369110625406,2.429259360142586,1082,0.5166358595194085,mom26w_control,full
mom26w_control,0.03191800443301358,0.4214403982548316,2.36968660112175,979,0.5229826353421859,mom26w_control,dev
mom26w_control,0.01840582740048053,0.34656109884245334,0.5390066775446104,103,0.4563106796116505,mom26w_control,holdout
