variant,market_state,ann_return,sharpe,spy_capture
ggg_baseline_no_modifier,calm_trend,0.040850501925236316,0.5136249379525288,0.47348866999573624
ggg_baseline_no_modifier,neutral_mixed,0.11211233905762019,1.4615605918081227,0.9456616483785811
ggg_baseline_no_modifier,recovery_confirmed,0.025704515117367377,0.3442672689903927,0.3954557240128317
ggg_baseline_no_modifier,recovery_fragile,0.0666705276141002,1.1421213151968135,0.24764069057396362
ggg_baseline_no_modifier,stressed_panic,0.035802805834723506,0.48068706208748657,0.46401861979458403
phase1_r2a_only,calm_trend,0.04054225522552146,0.5286347338003082,0.4699158541672875
phase1_r2a_only,neutral_mixed,0.11219806378373276,1.468748189747995,0.9463847319078682
phase1_r2a_only,recovery_confirmed,0.02485723521261729,0.323528592510104,0.38205495653903593
phase1_r2a_only,recovery_fragile,0.06776670101903304,1.1607105643344504,0.2517123118540234
phase1_r2a_only,stressed_panic,0.03568525022167224,0.47912759717759495,0.4624950522404386
phase2_trend_quality_state_specific,calm_trend,0.04070912838746521,0.5118545995379631,0.47185004218904875
phase2_trend_quality_state_specific,neutral_mixed,0.11281344371785096,1.4626978651396543,0.9515754290940024
phase2_trend_quality_state_specific,recovery_confirmed,0.024397811346669185,0.3217582151498353,0.375655152626762
phase2_trend_quality_state_specific,recovery_fragile,0.06642486373101852,1.13817937587544,0.24672819781543084
phase2_trend_quality_state_specific,stressed_panic,0.035680094263562,0.47906634092249883,0.46242822897029945
phase2_ma_distance_state_specific,calm_trend,0.040718330209386755,0.5119687578165579,0.4719566983675002
phase2_ma_distance_state_specific,neutral_mixed,0.11411852666953592,1.4653557714580043,0.9625837347429185
phase2_ma_distance_state_specific,recovery_confirmed,0.02487326246372512,0.32689648670272425,0.38291618514589165
phase2_ma_distance_state_specific,recovery_fragile,0.06646001488950937,1.1386400157076841,0.2468587631112919
phase2_ma_distance_state_specific,stressed_panic,0.035701993927100384,0.4793357032145599,0.4627120573298967
phase1_r2a_plus_phase2_trend_quality,calm_trend,0.04041127781828302,0.5269351938081094,0.4683977254924839
phase1_r2a_plus_phase2_trend_quality,neutral_mixed,0.11284363892953264,1.4679577623812863,0.9518301241069872
phase1_r2a_plus_phase2_trend_quality,recovery_confirmed,0.023573865694680673,0.3020674168345528,0.3625630163282204
phase1_r2a_plus_phase2_trend_quality,recovery_fragile,0.06760495587287996,1.157951027676715,0.25111152645268114
phase1_r2a_plus_phase2_trend_quality,stressed_panic,0.035593070539676086,0.47790801901858104,0.46130036685710823
phase1_r2a_plus_phase2_ma_distance,calm_trend,0.04041938970816572,0.5270393529580121,0.4684917485220844
phase1_r2a_plus_phase2_ma_distance,neutral_mixed,0.11415791230657168,1.4715128328710732,0.9629159505075234
phase1_r2a_plus_phase2_ma_distance,recovery_confirmed,0.02401953990420047,0.3065459679438321,0.3693735305810164
phase1_r2a_plus_phase2_ma_distance,recovery_fragile,0.06763945347397349,1.1584503996467943,0.25123966417805504
phase1_r2a_plus_phase2_ma_distance,stressed_panic,0.035607168006486,0.47807734266911356,0.4614830756403788
