variant,ann_return,ann_vol,sharpe,max_drawdown,cvar_5,avg_turnover,cost_drag_annual,avg_BIL,avg_offense,hidden_beta_SPY,sharpe_calm_trend,ann_return_calm_trend,capture_calm_trend,sharpe_neutral_mixed,ann_return_neutral_mixed,capture_neutral_mixed,sharpe_recovery_confirmed,ann_return_recovery_confirmed,capture_recovery_confirmed,sharpe_recovery_fragile,ann_return_recovery_fragile,capture_recovery_fragile,sharpe_stressed_panic,ann_return_stressed_panic,capture_stressed_panic
ggg_baseline_no_modifier,0.07138099253495311,0.07624804196475425,0.9361682043972889,-0.11773854403501682,-0.02537714571816087,0.06183881682725351,0.0032127215214360857,0.2665801265614856,0.4162378001730258,0.24314482514415692,0.5136249379525288,0.040850501925236316,0.47348866999573624,1.4615605918081227,0.11211233905762019,0.9456616483785811,0.3442672689903927,0.025704515117367377,0.3954557240128317,1.1421213151968135,0.0666705276141002,0.24764069057396362,0.48068706208748657,0.035802805834723506,0.46401861979458403
phase1_r2a_only,0.07132173101562667,0.07541549350405646,0.945717222042582,-0.1160345788576096,-0.025024731417981092,0.06802723205238285,0.0035342292054025355,0.27440306738452347,0.40895284808596016,0.24117520766602168,0.5286347338003082,0.04054225522552146,0.4699158541672875,1.468748189747995,0.11219806378373276,0.9463847319078682,0.323528592510104,0.02485723521261729,0.38205495653903593,1.1607105643344504,0.06776670101903304,0.2517123118540234,0.47912759717759495,0.03568525022167224,0.4624950522404386
phase2_trend_quality_state_specific,0.0715510018556702,0.07648219475981381,0.9355249555843733,-0.11754636712647237,-0.025539364297067223,0.06529725979331275,0.0033923985385232074,0.266580126561486,0.4162378001730258,0.24404947225532303,0.5118545995379631,0.04070912838746521,0.47185004218904875,1.4626978651396543,0.11281344371785096,0.9515754290940024,0.3217582151498353,0.024397811346669185,0.375655152626762,1.13817937587544,0.06642486373101852,0.24672819781543084,0.47906634092249883,0.035680094263562,0.46242822897029945
phase2_ma_distance_state_specific,0.07213744857651405,0.07683505325812379,0.9388611775171373,-0.11736645329739026,-0.02560053485835558,0.06516356794604901,0.0033854528255069863,0.266580126561486,0.4162378001730258,0.2452419019313005,0.5119687578165579,0.040718330209386755,0.4719566983675002,1.4653557714580043,0.11411852666953592,0.9625837347429185,0.32689648670272425,0.02487326246372512,0.38291618514589165,1.1386400157076841,0.06646001488950937,0.2468587631112919,0.4793357032145599,0.035701993927100384,0.4627120573298967
phase1_r2a_plus_phase2_trend_quality,0.07148196304828791,0.07568266936086757,0.9444957960910445,-0.1160327370842974,-0.025181047432342056,0.0707555052410715,0.0036759716002181192,0.27440306738452347,0.40895284808596016,0.2421042719257737,0.5269351938081094,0.04041127781828302,0.4683977254924839,1.4679577623812863,0.11284363892953264,0.9518301241069872,0.3020674168345528,0.023573865694680673,0.3625630163282204,1.157951027676715,0.06760495587287996,0.25111152645268114,0.47790801901858104,0.035593070539676086,0.46130036685710823
phase1_r2a_plus_phase2_ma_distance,0.07206907033170062,0.07602067547067878,0.9480193366539831,-0.11603795282550255,-0.02526275580396545,0.07061169945036189,0.003668500435949071,0.27440306738452347,0.4089528480859602,0.24327865656687547,0.5270393529580121,0.04041938970816572,0.4684917485220844,1.4715128328710732,0.11415791230657168,0.9629159505075234,0.3065459679438321,0.02401953990420047,0.3693735305810164,1.1584503996467943,0.06763945347397349,0.25123966417805504,0.47807734266911356,0.035607168006486,0.4614830756403788
