variant,gate_verdict,ok,fail,gate_ok_0,gate_ok_1,gate_ok_2,gate_ok_3,gate_ok_4,gate_ok_5,gate_ok_6,gate_fail_7,gate_fail_6,gate_fail_4,gate_fail_5
phase1_r2a_only,FAIL,Holdout Sharpe Δ=+0.0213 ≥ -0.02; MaxDD Δ=+0.0017 ≥ -0.01; CVaR Δ=+0.0004 ≥ -0.002; Stressed-panic Sharpe Δ=-0.0016 (acceptable); Extra annual cost=0.032% (< 0.15%); Bootstrap P(cand>base)=0.719 ≥ 0.60; Rolling win rate=66.7% ≥ 55%,Full-history Sharpe Δ=+0.0095 < +0.01,Holdout Sharpe Δ=+0.0213 ≥ -0.02,MaxDD Δ=+0.0017 ≥ -0.01,CVaR Δ=+0.0004 ≥ -0.002,Stressed-panic Sharpe Δ=-0.0016 (acceptable),Extra annual cost=0.032% (< 0.15%),Bootstrap P(cand>base)=0.719 ≥ 0.60,Rolling win rate=66.7% ≥ 55%,Full-history Sharpe Δ=+0.0095 < +0.01,,,
phase2_trend_quality_state_specific,FAIL,Holdout Sharpe Δ=+0.0228 ≥ -0.02; MaxDD Δ=+0.0002 ≥ -0.01; CVaR Δ=-0.0002 ≥ -0.002; Stressed-panic Sharpe Δ=-0.0016 (acceptable); Extra annual cost=0.018% (< 0.15%); Bootstrap P(cand>base)=0.930 ≥ 0.60,Full-history Sharpe Δ=-0.0006 < +0.01; Rolling win rate=46.7% < 55%,Holdout Sharpe Δ=+0.0228 ≥ -0.02,MaxDD Δ=+0.0002 ≥ -0.01,CVaR Δ=-0.0002 ≥ -0.002,Stressed-panic Sharpe Δ=-0.0016 (acceptable),Extra annual cost=0.018% (< 0.15%),Bootstrap P(cand>base)=0.930 ≥ 0.60,,Rolling win rate=46.7% < 55%,Full-history Sharpe Δ=-0.0006 < +0.01,,
phase2_ma_distance_state_specific,FAIL,MaxDD Δ=+0.0004 ≥ -0.01; CVaR Δ=-0.0002 ≥ -0.002; Stressed-panic Sharpe Δ=-0.0014 (acceptable); Extra annual cost=0.017% (< 0.15%),Full-history Sharpe Δ=+0.0027 < +0.01; Holdout Sharpe Δ=-0.0273 < -0.02; Bootstrap P(cand>base)=0.070 < 0.60; Rolling win rate=33.3% < 55%,MaxDD Δ=+0.0004 ≥ -0.01,CVaR Δ=-0.0002 ≥ -0.002,Stressed-panic Sharpe Δ=-0.0014 (acceptable),Extra annual cost=0.017% (< 0.15%),,,,Rolling win rate=33.3% < 55%,Bootstrap P(cand>base)=0.070 < 0.60,Full-history Sharpe Δ=+0.0027 < +0.01,Holdout Sharpe Δ=-0.0273 < -0.02
phase1_r2a_plus_phase2_trend_quality,FAIL,Holdout Sharpe Δ=+0.0433 ≥ -0.02; MaxDD Δ=+0.0017 ≥ -0.01; CVaR Δ=+0.0002 ≥ -0.002; Stressed-panic Sharpe Δ=-0.0028 (acceptable); Extra annual cost=0.046% (< 0.15%); Bootstrap P(cand>base)=0.844 ≥ 0.60; Rolling win rate=66.7% ≥ 55%,Full-history Sharpe Δ=+0.0083 < +0.01,Holdout Sharpe Δ=+0.0433 ≥ -0.02,MaxDD Δ=+0.0017 ≥ -0.01,CVaR Δ=+0.0002 ≥ -0.002,Stressed-panic Sharpe Δ=-0.0028 (acceptable),Extra annual cost=0.046% (< 0.15%),Bootstrap P(cand>base)=0.844 ≥ 0.60,Rolling win rate=66.7% ≥ 55%,Full-history Sharpe Δ=+0.0083 < +0.01,,,
phase1_r2a_plus_phase2_ma_distance,FAIL,Full-history Sharpe Δ=+0.0119 ≥ +0.01; Holdout Sharpe Δ=-0.0069 ≥ -0.02; MaxDD Δ=+0.0017 ≥ -0.01; CVaR Δ=+0.0001 ≥ -0.002; Stressed-panic Sharpe Δ=-0.0026 (acceptable); Extra annual cost=0.046% (< 0.15%),Bootstrap P(cand>base)=0.460 < 0.60; Rolling win rate=53.3% < 55%,Full-history Sharpe Δ=+0.0119 ≥ +0.01,Holdout Sharpe Δ=-0.0069 ≥ -0.02,MaxDD Δ=+0.0017 ≥ -0.01,CVaR Δ=+0.0001 ≥ -0.002,Stressed-panic Sharpe Δ=-0.0026 (acceptable),Extra annual cost=0.046% (< 0.15%),,Rolling win rate=53.3% < 55%,Bootstrap P(cand>base)=0.460 < 0.60,,
