variant,decision_date,realization_date,cost_bps,active_assets,invested_weight,turnover,gross_return,cost,net_return
source_default,2005-01-04,2005-01-05,50,1,0.2,0.2,0.000161285408604,0.001,-0.000838714591396
source_default,2005-01-05,2005-01-06,50,0,0,0.20012900752,0,0.0010006450376,-0.0010006450376
source_default,2005-01-06,2005-01-07,50,0,0,0,0,0,0
source_default,2005-01-07,2005-01-10,50,1,0.2,0.2,0.000316054810714,0.001,-0.000683945189286
source_default,2005-01-10,2005-01-11,50,1,0.2,0.000252763961305,0.00117267956716,1.26381980653e-06,0.00117141574735
source_default,2005-01-11,2005-01-12,50,1,0.2,0.000937044800434,0.000269248421233,4.68522400217e-06,0.000264563197231
source_default,2005-01-12,2005-01-13,50,2,0.4,0.2,0.000263545546437,0.001,-0.000736454453563
source_default,2005-01-13,2005-01-14,50,3,0.6,0.201714306206,0.00225779275477,0.00100857153103,0.00124922122374
source_default,2005-01-14,2005-01-18,50,3,0.6,0.00159325037035,0.00114090513596,7.96625185176e-06,0.00113293888411
source_default,2005-01-18,2005-01-19,50,3,0.6,0.000576978688035,-0.00280233426134,2.88489344017e-06,-0.00280521915478
source_default,2005-01-19,2005-01-20,50,2,0.4,0.198875916237,4.13131833873e-05,0.000994379581185,-0.000953066397798
source_default,2005-01-20,2005-01-21,50,2,0.4,0.000388519448119,0.000665114984845,1.94259724059e-06,0.000663172387605
source_default,2005-01-21,2005-01-24,50,3,0.6,0.2,0.00135230127945,0.001,0.000352301279448
source_default,2005-01-24,2005-01-25,50,3,0.6,0.000670096597435,-0.0050334754596,3.35048298717e-06,-0.00503682594259
source_default,2005-01-25,2005-01-26,50,2,0.4,0.198855778093,0.000446477551346,0.000994278890464,-0.000547801339119
source_default,2005-01-26,2005-01-27,50,3,0.6,0.200018117955,-0.000507682840004,0.00100009058977,-0.00150777342978
source_default,2005-01-27,2005-01-28,50,2,0.4,0.399796823715,-0.000609113921199,0.00199898411857,-0.00260809803977
source_default,2005-01-28,2005-01-31,50,4,0.8,0.4003656911,0.00387262301011,0.0020018284555,0.0018707945546
source_default,2005-01-31,2005-02-01,50,6,1,0.333333333333,0.00327212240444,0.00166666666667,0.00160545573777
source_default,2005-02-01,2005-02-02,50,6,1,0.00139532994958,0.00250584870374,6.97664974791e-06,0.00249887205399
source_default,2005-02-02,2005-02-03,50,6,1,0.000934350992397,-0.00404232130061,4.67175496199e-06,-0.00404699305557
source_default,2005-02-03,2005-02-04,50,7,1,0.142857142857,0.0107593886685,0.000714285714286,0.0100451029542
source_default,2005-02-04,2005-02-07,50,7,1,0.001874214854,-0.000794375846336,9.37107427e-06,-0.000803746920606
source_default,2005-02-07,2005-02-08,50,7,1,0.00142243804773,0.00245926773229,7.11219023864e-06,0.00245215554205
source_default,2005-02-08,2005-02-09,50,7,1,0.000625649925227,-0.00507173550519,3.12824962614e-06,-0.00507486375481
source_default,2005-02-09,2005-02-10,50,6,1,0.141188392413,0.00106040684632,0.000705941962066,0.000354464884256
source_default,2005-02-10,2005-02-11,50,5,1,0.166784617139,0.00298582604877,0.000833923085695,0.00215190296308
source_default,2005-02-11,2005-02-14,50,7,1,0.285714285714,0.00465897294837,0.00142857142857,0.0032304015198
source_default,2005-02-14,2005-02-15,50,8,1,0.125,0.00253475622803,0.000625,0.00190975622803
source_default,2005-02-15,2005-02-16,50,9,1,0.111111111111,-0.00298914021916,0.000555555555556,-0.00354469577471
source_default,2005-02-16,2005-02-17,50,7,1,0.221934702255,-0.00424700276754,0.00110967351127,-0.00535667627882
source_default,2005-02-17,2005-02-18,50,5,1,0.284855347099,-0.00103379571727,0.00142427673549,-0.00245807245276
source_default,2005-02-18,2005-02-22,50,5,1,0.201976357884,-0.00520145759686,0.00100988178942,-0.00621133938628
source_default,2005-02-22,2005-02-23,50,3,0.6,0.4,-0.00209457830147,0.002,-0.00409457830147
source_default,2005-02-23,2005-02-24,50,2,0.4,0.199430614571,-0.000104722554909,0.000997153072857,-0.00110187562777
source_default,2005-02-24,2005-02-25,50,2,0.4,0.00039363536507,0.00311066162442,1.96817682535e-06,0.00310869344759
